"indicateur","libelle","rubrique","Unit","Date","Value"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Centre-Est","%","2018","11.7"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Centre-Nord","%","2018","28.9"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Centre-Ouest","%","2018","26.7"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Centre-Sud","%","2018","11.5"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Est","%","2018","19.6"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Hauts Bassins","%","2018","15.8"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Nord","%","2018","28.2"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Plateau-Central","%","2018","17.9"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Sahel","%","2018","42"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Sud-Ouest","%","2018","18"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Urbain","%","2018","31.2"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Rural","%","2018","16.3"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Masculin","%","2018","24.2"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Féminin","%","2018","44.5"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Aucun","%","2018","21.5"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Primaire","%","2018","15.6"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Post primaire","%","2018","29.2"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Secondaire et plus","%","2018","33.9"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Inactif","%","2018","28.3"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Agriculture","%","2018","9.9"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Industrie","%","2018","38.5"
"Revenu des emplois des ménages","Part de revenu de l'emploi (%)","Service","%","2018","31.9"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Burkina Faso","FCFA","2018","501376.7"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Boucle du Mouhoun","FCFA","2018","268845.2"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Cascades","FCFA","2018","279139.4"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Centre","FCFA","2018","845608"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Centre-Est","FCFA","2018","337153.7"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Centre-Nord","FCFA","2018","153836"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Centre-Ouest","FCFA","2018","452104.9"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Centre-Sud","FCFA","2018","247319.8"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Est","FCFA","2018","330247.1"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Hauts Bassins","FCFA","2018","342070.7"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Nord","FCFA","2018","202048.1"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Plateau-Central","FCFA","2018","251457.2"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Sahel","FCFA","2018","402531.8"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Sud-Ouest","FCFA","2018","243204.4"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Urbain","FCFA","2018","686110.8"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Rural","FCFA","2018","217400.6"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Masculin","FCFA","2018","505394.8"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Féminin","FCFA","2018","471377.9"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Aucun","FCFA","2018","350236.7"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Primaire","FCFA","2018","202068.2"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Post primaire","FCFA","2018","386714.4"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Secondaire et plus","FCFA","2018","1097634.5"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Inactif","FCFA","2018","253650.8"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Agriculture","FCFA","2018","118981.4"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Industrie","FCFA","2018","813051.5"
"Revenu des emplois des ménages","Revenu moyen de l'emploi par tête","Service","FCFA","2018","702500.2"
