"indicateur","rubrique","milieu","Unit","Date","Value"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_P1)","Milieu urbain","%","2003","19.3"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_P1)","Milieu urbain","%","2009","17.5"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_P1)","Milieu urbain","%","2014","2.9"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_P1)","Milieu urbain","%","2018","2.2"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_P1)","Ensemble","%","2003","16.9"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_P1)","Ensemble","%","2009","15.1"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_P1)","Ensemble","%","2014","9.7"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_P1)","Ensemble","%","2018","9.3"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_CTR)","Milieu rural","%","2003","6.4"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_CTR)","Milieu rural","%","2009","9.9"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_CTR)","Milieu rural","%","2014","93.4"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_CTR)","Milieu urbain","%","2003","93.6"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_CTR)","Milieu urbain","%","2009","90.1"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_CTR)","Milieu urbain","%","2014","6.6"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_CTR)","Ensemble","%","2003","100"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_CTR)","Ensemble","%","2009","100"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Profondeur de pauvreté (NA_CTR)","Ensemble","%","2014","100"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_P2)","Milieu rural","%","2003","2.4"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_P2)","Milieu rural","%","2009","2.6"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_P2)","Milieu rural","%","2014","4"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_P2)","Milieu rural","%","2018","4.1"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_P2)","Milieu urbain","%","2003","9.1"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_P2)","Milieu urbain","%","2009","7.9"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_P2)","Milieu urbain","%","2014","0.9"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_P2)","Milieu urbain","%","2018","0.8"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_P2)","Ensemble","%","2003","7.8"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_P2)","Ensemble","%","2009","6.7"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_P2)","Ensemble","%","2014","3.3"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_P2)","Ensemble","%","2018","3.3"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_CTR)","Milieu rural","%","2003","5.5"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_CTR)","Milieu rural","%","2009","8.7"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_CTR)","Milieu rural","%","2014","94"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_CTR)","Milieu urbain","%","2003","94.5"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_CTR)","Milieu urbain","%","2009","91.3"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_CTR)","Milieu urbain","%","2014","6"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_CTR)","Ensemble","%","2003","100"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_CTR)","Ensemble","%","2009","100"
"Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté","Sévérité de pauvreté (NA_CTR)","Ensemble","%","2014","100"
