"indicateur","rubrique","région","Unit","Date","Value"
"Répartition des ménages selon le lieu d'aisance par région","Latrines SANPLAT","Sud-Ouest","%","2018","0.8"
"Répartition des ménages selon le lieu d'aisance par région","Latrines SANPLAT","Burkina Faso","%","2018","7.5"
"Répartition des ménages selon le lieu d'aisance par région","Latrines dallés simplement","Boucle du Mouhoun","%","2018","56.1"
"Répartition des ménages selon le lieu d'aisance par région","Latrines dallés simplement","Cascades","%","2018","29.7"
"Répartition des ménages selon le lieu d'aisance par région","Latrines dallés simplement","Centre","%","2018","42.9"
"Répartition des ménages selon le lieu d'aisance par région","Latrines dallés simplement","Centre-Est","%","2018","31.9"
"Répartition des ménages selon le lieu d'aisance par région","Latrines dallés simplement","Centre-Nord","%","2018","25.3"
"Répartition des ménages selon le lieu d'aisance par région","Latrines dallés simplement","Centre-Ouest","%","2018","37.5"
"Répartition des ménages selon le lieu d'aisance par région","Latrines dallés simplement","Centre-Sud","%","2018","19.4"
"Répartition des ménages selon le lieu d'aisance par région","Latrines dallés simplement","Est","%","2018","15.7"
"Répartition des ménages selon le lieu d'aisance par région","Latrines dallés simplement","Hauts Bassins","%","2018","57.3"
"Répartition des ménages selon le lieu d'aisance par région","Latrines dallés simplement","Nord","%","2018","36.6"
"Répartition des ménages selon le lieu d'aisance par région","Latrines dallés simplement","Plateau-Central","%","2018","25"
"Répartition des ménages selon le lieu d'aisance par région","Latrines dallés simplement","Sahel","%","2018","24.6"
"Répartition des ménages selon le lieu d'aisance par région","Latrines dallés simplement","Sud-Ouest","%","2018","35.3"
"Répartition des ménages selon le lieu d'aisance par région","Latrines dallés simplement","Burkina Faso","%","2018","36.4"
"Répartition des ménages selon le lieu d'aisance par région","Fosse rudimentaire/trou ouvert","Boucle du Mouhoun","%","2018","4"
"Répartition des ménages selon le lieu d'aisance par région","Fosse rudimentaire/trou ouvert","Cascades","%","2018","6.2"
"Répartition des ménages selon le lieu d'aisance par région","Fosse rudimentaire/trou ouvert","Centre","%","2018","1"
"Répartition des ménages selon le lieu d'aisance par région","Fosse rudimentaire/trou ouvert","Centre-Est","%","2018","0.8"
"Répartition des ménages selon le lieu d'aisance par région","Fosse rudimentaire/trou ouvert","Centre-Nord","%","2018","3.1"
"Répartition des ménages selon le lieu d'aisance par région","Fosse rudimentaire/trou ouvert","Centre-Ouest","%","2018","1.7"
"Répartition des ménages selon le lieu d'aisance par région","Fosse rudimentaire/trou ouvert","Centre-Sud","%","2018","5.8"
"Répartition des ménages selon le lieu d'aisance par région","Fosse rudimentaire/trou ouvert","Est","%","2018","1"
"Répartition des ménages selon le lieu d'aisance par région","Fosse rudimentaire/trou ouvert","Hauts Bassins","%","2018","9.3"
"Répartition des ménages selon le lieu d'aisance par région","Fosse rudimentaire/trou ouvert","Nord","%","2018","3.8"
"Répartition des ménages selon le lieu d'aisance par région","Fosse rudimentaire/trou ouvert","Plateau-Central","%","2018","3.2"
"Répartition des ménages selon le lieu d'aisance par région","Fosse rudimentaire/trou ouvert","Sahel","%","2018","4.3"
"Répartition des ménages selon le lieu d'aisance par région","Fosse rudimentaire/trou ouvert","Sud-Ouest","%","2018","1.3"
"Répartition des ménages selon le lieu d'aisance par région","Fosse rudimentaire/trou ouvert","Burkina Faso","%","2018","3.3"
"Répartition des ménages selon le lieu d'aisance par région","Toilettes publiques","Boucle du Mouhoun","%","2018","0"
"Répartition des ménages selon le lieu d'aisance par région","Toilettes publiques","Cascades","%","2018","2.4"
"Répartition des ménages selon le lieu d'aisance par région","Toilettes publiques","Centre","%","2018","0"
"Répartition des ménages selon le lieu d'aisance par région","Toilettes publiques","Centre-Est","%","2018","0.2"
"Répartition des ménages selon le lieu d'aisance par région","Toilettes publiques","Centre-Nord","%","2018","0"
"Répartition des ménages selon le lieu d'aisance par région","Toilettes publiques","Centre-Ouest","%","2018","1.5"
"Répartition des ménages selon le lieu d'aisance par région","Toilettes publiques","Centre-Sud","%","2018","0.4"
"Répartition des ménages selon le lieu d'aisance par région","Toilettes publiques","Est","%","2018","2.1"
"Répartition des ménages selon le lieu d'aisance par région","Toilettes publiques","Hauts Bassins","%","2018","0.3"
"Répartition des ménages selon le lieu d'aisance par région","Toilettes publiques","Nord","%","2018","0.7"
"Répartition des ménages selon le lieu d'aisance par région","Toilettes publiques","Plateau-Central","%","2018","0.2"
"Répartition des ménages selon le lieu d'aisance par région","Toilettes publiques","Sahel","%","2018","0.4"
"Répartition des ménages selon le lieu d'aisance par région","Toilettes publiques","Sud-Ouest","%","2018","1.2"
"Répartition des ménages selon le lieu d'aisance par région","Toilettes publiques","Burkina Faso","%","2018","0.6"
"Répartition des ménages selon le lieu d'aisance par région","Dans la nature","Boucle du Mouhoun","%","2018","30.7"
"Répartition des ménages selon le lieu d'aisance par région","Dans la nature","Cascades","%","2018","26.3"
"Répartition des ménages selon le lieu d'aisance par région","Dans la nature","Centre","%","2018","2"
"Répartition des ménages selon le lieu d'aisance par région","Dans la nature","Centre-Est","%","2018","50.4"
"Répartition des ménages selon le lieu d'aisance par région","Dans la nature","Centre-Nord","%","2018","50.5"
"Répartition des ménages selon le lieu d'aisance par région","Dans la nature","Centre-Ouest","%","2018","45.5"
"Répartition des ménages selon le lieu d'aisance par région","Dans la nature","Centre-Sud","%","2018","65.8"
"Répartition des ménages selon le lieu d'aisance par région","Dans la nature","Est","%","2018","67.6"
"Répartition des ménages selon le lieu d'aisance par région","Dans la nature","Hauts Bassins","%","2018","14.5"
"Répartition des ménages selon le lieu d'aisance par région","Dans la nature","Nord","%","2018","51.4"
"Répartition des ménages selon le lieu d'aisance par région","Dans la nature","Plateau-Central","%","2018","43.2"
"Répartition des ménages selon le lieu d'aisance par région","Dans la nature","Sahel","%","2018","46.3"
"Répartition des ménages selon le lieu d'aisance par région","Dans la nature","Sud-Ouest","%","2018","57"
"Répartition des ménages selon le lieu d'aisance par région","Dans la nature","Burkina Faso","%","2018","36.7"
"Répartition des ménages selon le lieu d'aisance par région","Autre","Boucle du Mouhoun","%","2018","0.4"
