"indicateur","rubriques","région","Unit","Date","Value"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre-Ouest","%","2018","26.4"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre-Sud","%","2003","26.1"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre-Sud","%","2005","28.9"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre-Sud","%","2007","38.1"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Centre-Sud","%","2018","15.2"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Est","%","2003","67.4"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Est","%","2005","15.2"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Est","%","2007","38.7"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Est","%","2018","28.6"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Hauts-Bassins","%","2003","78.3"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Hauts-Bassins","%","2005","70.8"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Hauts-Bassins","%","2007","66.4"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Hauts-Bassins","%","2018","73.1"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Nord","%","2003","61.4"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Nord","%","2005","75.1"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Nord","%","2007","38.1"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Nord","%","2018","22"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Plateau Central","%","2003","60.8"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Plateau Central","%","2005","58.4"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Plateau Central","%","2007","37.8"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Plateau Central","%","2018","30.5"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Sahel","%","2003","53.3"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Sahel","%","2005","10.3"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Sahel","%","2007","40.4"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Sahel","%","2018","25.8"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Sud-Ouest","%","2003","34.5"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Sud-Ouest","%","2005","24.6"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Sud-Ouest","%","2007","29.8"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Sud-Ouest","%","2018","31.5"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Burkina Faso","%","2003","59.6"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Burkina Faso","%","2005","45.1"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Burkina Faso","%","2007","46.2"
"Pourcentage des ménages disposant de certains  biens par région","Lit ou matelas","Burkina Faso","%","2018","40.5"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Boucle du Mouhoun","%","2003","1.3"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Boucle du Mouhoun","%","2005","0.9"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Boucle du Mouhoun","%","2007","2.1"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Boucle du Mouhoun","%","2018","2.5"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Cascades","%","2003","2.3"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Cascades","%","2005","2.7"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Cascades","%","2007","2.5"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Cascades","%","2018","3.5"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre","%","2003","19.7"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre","%","2005","24.8"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre","%","2007","24"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre","%","2018","32.8"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre-Est","%","2003","2.8"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre-Est","%","2005","5"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre-Est","%","2007","3.4"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre-Est","%","2018","2.9"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre-Nord","%","2003","1.3"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre-Nord","%","2005","1.7"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre-Nord","%","2007","1.4"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre-Nord","%","2018","1.5"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre-Ouest","%","2003","2.5"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre-Ouest","%","2005","2.9"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre-Ouest","%","2007","3.2"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre-Ouest","%","2018","3.1"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre-Sud","%","2003","0"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre-Sud","%","2005","0.5"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre-Sud","%","2007","1.2"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Centre-Sud","%","2018","1"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Est","%","2003","1.7"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Est","%","2005","1.6"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Est","%","2007","2.3"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Est","%","2018","1.1"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Hauts-Bassins","%","2003","7.3"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Hauts-Bassins","%","2005","5.5"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Hauts-Bassins","%","2007","7.5"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Hauts-Bassins","%","2018","6.5"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Nord","%","2003","1.3"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Nord","%","2005","2.8"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Nord","%","2007","2.8"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Nord","%","2018","2.9"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Plateau Central","%","2003","1.2"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Plateau Central","%","2005","2.9"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Plateau Central","%","2007","1.6"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Plateau Central","%","2018","1.2"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Sahel","%","2003","0.7"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Sahel","%","2005","0.4"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Sahel","%","2007","1.7"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Sahel","%","2018","1.1"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Sud-Ouest","%","2003","0.5"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Sud-Ouest","%","2005","0.7"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Sud-Ouest","%","2007","1.5"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Sud-Ouest","%","2018","2.3"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Burkina Faso","%","2003","4.2"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Burkina Faso","%","2005","5"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Burkina Faso","%","2007","5.4"
"Pourcentage des ménages disposant de certains  biens par région","Réfrigérateur","Burkina Faso","%","2018","8"
