"indicateur","region","rubrique","Unit","Date","Value"
"Répartition des ménages par région selon la nature des murs du logement","Nord","Ciment/Béton/Pierres","%","2018","45.5"
"Répartition des ménages par région selon la nature des murs du logement","Nord","Briques cuites","%","2018","0.3"
"Répartition des ménages par région selon la nature des murs du logement","Nord","Banco amélioré/ semi-dur","%","2018","26.3"
"Répartition des ménages par région selon la nature des murs du logement","Nord","Pierres simples","%","2018","9"
"Répartition des ménages par région selon la nature des murs du logement","Nord","Paille, motte de terre","%","2018","12.3"
"Répartition des ménages par région selon la nature des murs du logement","Nord","Autre","%","2018","6.6"
"Répartition des ménages par région selon la nature des murs du logement","Nord","Ensemble","%","2018","100"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Est","Ciment/Béton/Pierres","%","2018","9.5"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Est","Briques cuites","%","2018","0.1"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Est","Banco amélioré/ semi-dur","%","2018","32.2"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Est","Pierres simples","%","2018","0.8"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Est","Paille, motte de terre","%","2018","56.7"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Est","Autre","%","2018","0.6"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Est","Ensemble","%","2018","100"
"Répartition des ménages par région selon la nature des murs du logement","Centre","Ciment/Béton/Pierres","%","2018","15.7"
"Répartition des ménages par région selon la nature des murs du logement","Centre","Briques cuites","%","2018","4.2"
"Répartition des ménages par région selon la nature des murs du logement","Centre","Banco amélioré/ semi-dur","%","2018","63"
"Répartition des ménages par région selon la nature des murs du logement","Centre","Pierres simples","%","2018","0"
"Répartition des ménages par région selon la nature des murs du logement","Centre","Paille, motte de terre","%","2018","13.3"
"Répartition des ménages par région selon la nature des murs du logement","Centre","Autre","%","2018","3.8"
"Répartition des ménages par région selon la nature des murs du logement","Centre","Ensemble","%","2018","100"
"Répartition des ménages par région selon la nature des murs du logement","Cascades","Ciment/Béton/Pierres","%","2018","6.9"
"Répartition des ménages par région selon la nature des murs du logement","Cascades","Briques cuites","%","2018","18.9"
"Répartition des ménages par région selon la nature des murs du logement","Cascades","Banco amélioré/ semi-dur","%","2018","38.4"
"Répartition des ménages par région selon la nature des murs du logement","Cascades","Pierres simples","%","2018","0"
"Répartition des ménages par région selon la nature des murs du logement","Cascades","Paille, motte de terre","%","2018","35.2"
"Répartition des ménages par région selon la nature des murs du logement","Cascades","Autre","%","2018","0.7"
"Répartition des ménages par région selon la nature des murs du logement","Cascades","Ensemble","%","2018","100"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Sud","Ciment/Béton/Pierres","%","2018","18.7"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Sud","Briques cuites","%","2018","1.2"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Sud","Banco amélioré/ semi-dur","%","2018","39.3"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Sud","Pierres simples","%","2018","3.6"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Sud","Paille, motte de terre","%","2018","21.7"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Sud","Autre","%","2018","15.5"
"Répartition des ménages par région selon la nature des murs du logement","Centre-Sud","Ensemble","%","2018","100"
"Répartition des ménages par région selon la nature des murs du logement","Burkina Faso","Ciment/Béton/Pierres","%","2018","32.8"
"Répartition des ménages par région selon la nature des murs du logement","Burkina Faso","Briques cuites","%","2018","4.3"
"Répartition des ménages par région selon la nature des murs du logement","Burkina Faso","Banco amélioré/ semi-dur","%","2018","34.5"
"Répartition des ménages par région selon la nature des murs du logement","Burkina Faso","Pierres simples","%","2018","1.6"
"Répartition des ménages par région selon la nature des murs du logement","Burkina Faso","Paille, motte de terre","%","2018","24.5"
"Répartition des ménages par région selon la nature des murs du logement","Burkina Faso","Autre","%","2018","2.2"
"Répartition des ménages par région selon la nature des murs du logement","Burkina Faso","Ensemble","%","2018","100"
