"indicateur","region","rubrique","Unit","Date","Value"
"Dépenses moyennes par région","Est","Dépenses annuelles moyennes par ménage","FCFA par ménage","2018","1564321.7"
"Dépenses moyennes par région","Est","Dépenses annuelles moyennes par tête","FCFA par tête","2009","142453"
"Dépenses moyennes par région","Est","Dépenses annuelles moyennes par tête","FCFA par tête","2018","258149.3"
"Dépenses moyennes par région","Est","Dépenses mensuelles moyennes par tête","FCFA par tête","2009","11871"
"Dépenses moyennes par région","Est","Dépenses mensuelles moyennes par tête","FCFA par tête","2018","21512.4416666667"
"Dépenses moyennes par région","Hauts-Bassins","Dépenses totales (milliards CFA)","FCFA","2009","349600000000"
"Dépenses moyennes par région","Hauts-Bassins","Dépenses totales (milliards CFA)","FCFA","2018","715962912254.7"
"Dépenses moyennes par région","Hauts-Bassins","Dépenses annuelles moyennes par ménage","FCFA par ménage","2009","1468817"
"Dépenses moyennes par région","Hauts-Bassins","Dépenses annuelles moyennes par ménage","FCFA par ménage","2018","2075333"
"Dépenses moyennes par région","Hauts-Bassins","Dépenses annuelles moyennes par tête","FCFA par tête","2009","217861"
"Dépenses moyennes par région","Hauts-Bassins","Dépenses annuelles moyennes par tête","FCFA par tête","2018","413885.3"
"Dépenses moyennes par région","Hauts-Bassins","Dépenses mensuelles moyennes par tête","FCFA par tête","2009","18155"
"Dépenses moyennes par région","Hauts-Bassins","Dépenses mensuelles moyennes par tête","FCFA par tête","2018","34490.4416666667"
"Dépenses moyennes par région","Nord","Dépenses totales (milliards CFA)","FCFA","2009","180400000000"
"Dépenses moyennes par région","Nord","Dépenses totales (milliards CFA)","FCFA","2018","276235822357"
"Dépenses moyennes par région","Nord","Dépenses annuelles moyennes par ménage","FCFA par ménage","2009","1261372"
"Dépenses moyennes par région","Nord","Dépenses annuelles moyennes par ménage","FCFA par ménage","2018","1306450.2"
"Dépenses moyennes par région","Nord","Dépenses annuelles moyennes par tête","FCFA par tête","2009","142045"
"Dépenses moyennes par région","Nord","Dépenses annuelles moyennes par tête","FCFA par tête","2018","213592.9"
"Dépenses moyennes par région","Nord","Dépenses mensuelles moyennes par tête","FCFA par tête","2009","11837"
"Dépenses moyennes par région","Nord","Dépenses mensuelles moyennes par tête","FCFA par tête","2018","17799.4083333333"
"Dépenses moyennes par région","Plateau Central","Dépenses totales (milliards CFA)","FCFA","2009","115700000000"
"Dépenses moyennes par région","Plateau Central","Dépenses totales (milliards CFA)","FCFA","2018","255520195794.7"
"Dépenses moyennes par région","Plateau Central","Dépenses annuelles moyennes par ménage","FCFA par ménage","2009","1108867"
"Dépenses moyennes par région","Plateau Central","Dépenses annuelles moyennes par ménage","FCFA par ménage","2018","1863601"
"Dépenses moyennes par région","Plateau Central","Dépenses annuelles moyennes par tête","FCFA par tête","2009","155571"
"Dépenses moyennes par région","Plateau Central","Dépenses annuelles moyennes par tête","FCFA par tête","2018","325163.1"
"Dépenses moyennes par région","Plateau Central","Dépenses mensuelles moyennes par tête","FCFA par tête","2009","12964"
"Dépenses moyennes par région","Plateau Central","Dépenses mensuelles moyennes par tête","FCFA par tête","2018","27096.925"
"Dépenses moyennes par région","Sahel","Dépenses totales (milliards CFA)","FCFA","2009","225900000000"
"Dépenses moyennes par région","Sahel","Dépenses totales (milliards CFA)","FCFA","2018","334518477919.4"
"Dépenses moyennes par région","Sahel","Dépenses annuelles moyennes par ménage","FCFA par ménage","2009","1321522"
"Dépenses moyennes par région","Sahel","Dépenses annuelles moyennes par ménage","FCFA par ménage","2018","1423943.4"
"Dépenses moyennes par région","Sahel","Dépenses annuelles moyennes par tête","FCFA par tête","2009","214854"
"Dépenses moyennes par région","Sahel","Dépenses annuelles moyennes par tête","FCFA par tête","2018","280931.4"
"Dépenses moyennes par région","Sahel","Dépenses mensuelles moyennes par tête","FCFA par tête","2009","17904"
"Dépenses moyennes par région","Sahel","Dépenses mensuelles moyennes par tête","FCFA par tête","2018","23410.95"
"Dépenses moyennes par région","Sud-Ouest","Dépenses totales (milliards CFA)","FCFA","2009","103200000000"
"Dépenses moyennes par région","Sud-Ouest","Dépenses totales (milliards CFA)","FCFA","2018","223622548119.4"
"Dépenses moyennes par région","Sud-Ouest","Dépenses annuelles moyennes par ménage","FCFA par ménage","2009","1035740"
"Dépenses moyennes par région","Sud-Ouest","Dépenses annuelles moyennes par ménage","FCFA par ménage","2018","1741500.1"
"Dépenses moyennes par région","Sud-Ouest","Dépenses annuelles moyennes par tête","FCFA par tête","2009","154562"
"Dépenses moyennes par région","Sud-Ouest","Dépenses annuelles moyennes par tête","FCFA par tête","2018","310515"
"Dépenses moyennes par région","Sud-Ouest","Dépenses mensuelles moyennes par tête","FCFA par tête","2009","12880"
"Dépenses moyennes par région","Sud-Ouest","Dépenses mensuelles moyennes par tête","FCFA par tête","2018","25876.25"
"Dépenses moyennes par région","Burkina Faso","Dépenses totales (milliards CFA)","FCFA","2018","223622548119.4"
"Dépenses moyennes par région","Burkina Faso","Dépenses annuelles moyennes par ménage","FCFA par ménage","2018","1741500.1"
"Dépenses moyennes par région","Burkina Faso","Dépenses annuelles moyennes par tête","FCFA par tête","2018","310515"
"Dépenses moyennes par région","Burkina Faso","Dépenses mensuelles moyennes par tête","FCFA par tête","2018","25876.25"
