"indicateur","rubrique","region","Unit","Date","Value"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (AA_CTR)","Centre-Sud","%","2003","7.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (AA_CTR)","Est","%","2003","6.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (AA_CTR)","Hauts-Bassins","%","2003","7.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (AA_CTR)","Nord","%","2003","13.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (AA_CTR)","Plateau Central","%","2003","7.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (AA_CTR)","Sahel","%","2003","4.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (AA_CTR)","Sud-Ouest","%","2003","5.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (AA_P2)","Burkina Faso","%","2003","7.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (AA_P2)","Boucle du Mouhoun","%","2003","9.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (AA_P2)","Cascades","%","2003","7.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (AA_P2)","Centre","%","2003","2.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (AA_P2)","Centre-Est","%","2003","9.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (AA_P2)","Centre-Nord","%","2003","2.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (AA_P2)","Centre-Ouest","%","2003","6.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (AA_P2)","Centre-Sud","%","2003","13.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (AA_P2)","Est","%","2003","5.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (AA_P2)","Hauts-Bassins","%","2003","4.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (AA_P2)","Nord","%","2003","11.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (AA_P2)","Plateau Central","%","2003","9.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (AA_P2)","Sahel","%","2003","5.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (AA_P2)","Sud-Ouest","%","2003","7.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Burkina Faso","%","2003","48.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Burkina Faso","%","2009","46.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Burkina Faso","%","2014","40.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Burkina Faso","%","2018","41.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Boucle du Mouhoun","%","2003","36.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Boucle du Mouhoun","%","2009","42.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Boucle du Mouhoun","%","2014","59.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Boucle du Mouhoun","%","2018","50.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Cascades","%","2003","66.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Cascades","%","2009","48.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Cascades","%","2014","22.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Cascades","%","2018","20.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre","%","2003","34.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre","%","2009","41.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre","%","2014","9.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre","%","2018","5.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre-Est","%","2003","38.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre-Est","%","2009","62.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre-Est","%","2014","36.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre-Est","%","2018","53.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre-Nord","%","2003","58.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre-Nord","%","2009","57"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre-Nord","%","2014","47"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre-Nord","%","2018","60.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre-Ouest","%","2003","42.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre-Ouest","%","2009","39.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre-Ouest","%","2014","51.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre-Ouest","%","2018","53.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre-Sud","%","2003","43.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre-Sud","%","2009","49.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre-Sud","%","2014","40.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Centre-Sud","%","2018","26.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Est","%","2003","61.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Est","%","2009","51.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Est","%","2014","50.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Est","%","2018","45.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Hauts-Bassins","%","2003","69.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Hauts-Bassins","%","2009","64.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Hauts-Bassins","%","2014","34.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Hauts-Bassins","%","2018","34"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Nord","%","2003","57"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Nord","%","2009","57.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Nord","%","2014","70.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Nord","%","2018","70.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Plateau Central","%","2003","24.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Plateau Central","%","2009","28.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Plateau Central","%","2014","45.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Plateau Central","%","2018","34.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Sahel","%","2003","41.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Sahel","%","2009","27.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Sahel","%","2014","20.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Sahel","%","2018","44.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Sud-Ouest","%","2003","62.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Sud-Ouest","%","2009","42.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Sud-Ouest","%","2014","41.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_PO)","Sud-Ouest","%","2018","45"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Burkina Faso","%","2003","100"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Burkina Faso","%","2009","100"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Burkina Faso","%","2014","100"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Burkina Faso","%","2018","100"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Boucle du Mouhoun","%","2003","8.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Boucle du Mouhoun","%","2009","9.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Boucle du Mouhoun","%","2014","14.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Boucle du Mouhoun","%","2018","12"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Cascades","%","2003","16.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Cascades","%","2009","10.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Cascades","%","2014","2.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Cascades","%","2018","2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre","%","2003","4.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre","%","2009","6.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre","%","2014","3.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre","%","2018","1.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre-Est","%","2003","6.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre-Est","%","2009","11.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre-Est","%","2014","7.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre-Est","%","2018","10.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre-Nord","%","2003","5.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre-Nord","%","2009","5.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre-Nord","%","2014","9.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre-Nord","%","2018","12.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre-Ouest","%","2003","7.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre-Ouest","%","2009","7.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre-Ouest","%","2014","10.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre-Ouest","%","2018","10.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre-Sud","%","2003","7.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre-Sud","%","2009","8.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre-Sud","%","2014","4.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Centre-Sud","%","2018","2.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Est","%","2003","7.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Est","%","2009","5.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Est","%","2014","10.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Est","%","2018","9.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Hauts-Bassins","%","2003","12.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Hauts-Bassins","%","2009","11.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Hauts-Bassins","%","2014","9.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Hauts-Bassins","%","2018","9.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Nord","%","2003","9.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Nord","%","2009","9.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Nord","%","2014","14.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Nord","%","2018","13.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Plateau Central","%","2003","5.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Plateau Central","%","2009","7.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Plateau Central","%","2014","5.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Plateau Central","%","2018","3.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Sahel","%","2003","3.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Sahel","%","2009","2.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Sahel","%","2014","3.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Sahel","%","2018","7.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Sud-Ouest","%","2003","5.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Sud-Ouest","%","2009","4.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Sud-Ouest","%","2014","4.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Incidence de pauvreté (NA_CTR)","Sud-Ouest","%","2018","4.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Burkina Faso","%","2003","16.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Burkina Faso","%","2009","15.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Burkina Faso","%","2014","9.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Burkina Faso","%","2018","12.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Boucle du Mouhoun","%","2003","11.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Boucle du Mouhoun","%","2009","12.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Boucle du Mouhoun","%","2014","15.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Boucle du Mouhoun","%","2018","14.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Cascades","%","2003","24.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Cascades","%","2009","14.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Cascades","%","2014","4.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Cascades","%","2018","5.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre","%","2003","11.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre","%","2009","14.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre","%","2014","2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre","%","2018","1.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre-Est","%","2003","12"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre-Est","%","2009","23.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre-Est","%","2014","10.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre-Est","%","2018","19.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre-Nord","%","2003","19.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre-Nord","%","2009","19.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre-Nord","%","2014","10.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre-Nord","%","2018","20"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre-Ouest","%","2003","11.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre-Ouest","%","2009","10"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre-Ouest","%","2014","11.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre-Ouest","%","2018","14.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre-Sud","%","2003","15.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre-Sud","%","2009","15.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre-Sud","%","2014","9.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Centre-Sud","%","2018","5.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Est","%","2003","22.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Est","%","2009","16.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Est","%","2014","11.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Est","%","2018","11.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Hauts-Bassins","%","2003","26.5"
