"indicateur","rubrique","region","Unit","Date","Value"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Hauts-Bassins","%","2009","23.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Hauts-Bassins","%","2014","7.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Hauts-Bassins","%","2018","8.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Nord","%","2003","19.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Nord","%","2009","20.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Nord","%","2014","18.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Nord","%","2018","25.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Plateau Central","%","2003","7.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Plateau Central","%","2009","8.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Plateau Central","%","2014","10.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Plateau Central","%","2018","9.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Sahel","%","2003","15.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Sahel","%","2009","7.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Sahel","%","2014","3.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Sahel","%","2018","13"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Sud-Ouest","%","2003","24.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Sud-Ouest","%","2009","11.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Sud-Ouest","%","2014","10.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_P1)","Sud-Ouest","%","2018","10.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Burkina Faso","%","2003","100"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Burkina Faso","%","2009","100"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Burkina Faso","%","2014","100"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Boucle du Mouhoun","%","2003","7.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Boucle du Mouhoun","%","2009","8.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Boucle du Mouhoun","%","2014","15.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Cascades","%","2003","18"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Cascades","%","2009","9.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Cascades","%","2014","1.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Centre","%","2003","4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Centre","%","2009","6.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Centre","%","2014","2.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Centre-Est","%","2003","6.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Centre-Est","%","2009","13.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Centre-Est","%","2014","8.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Centre-Nord","%","2003","5.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Centre-Nord","%","2009","5.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Centre-Nord","%","2014","9.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Centre-Ouest","%","2003","5.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Centre-Ouest","%","2009","5.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Centre-Ouest","%","2014","10"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Centre-Sud","%","2003","8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Centre-Sud","%","2009","8.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Centre-Sud","%","2014","4.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Est","%","2003","7.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Est","%","2009","5.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Est","%","2014","10.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Hauts-Bassins","%","2003","13.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Hauts-Bassins","%","2009","13.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Hauts-Bassins","%","2014","8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Nord","%","2003","9.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Nord","%","2009","10.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Nord","%","2014","16"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Plateau Central","%","2003","4.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Plateau Central","%","2009","7.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Plateau Central","%","2014","5.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Sahel","%","2003","3.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Sahel","%","2009","1.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Sahel","%","2014","2.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Sud-Ouest","%","2003","6.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Sud-Ouest","%","2009","3.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Profondeur de pauvreté (NA_CTR)","Sud-Ouest","%","2014","4.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Burkina Faso","%","2003","7.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Burkina Faso","%","2009","6.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Burkina Faso","%","2014","3.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Burkina Faso","%","2018","5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Boucle du Mouhoun","%","2003","5.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Boucle du Mouhoun","%","2009","4.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Boucle du Mouhoun","%","2014","5.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Boucle du Mouhoun","%","2018","5.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Cascades","%","2003","11.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Cascades","%","2009","6.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Cascades","%","2014","1.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Cascades","%","2018","1.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre","%","2003","5.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre","%","2009","7.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre","%","2014","0.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre","%","2018","0.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre-Est","%","2003","5.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre-Est","%","2009","11.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre-Est","%","2014","4.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre-Est","%","2018","9.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre-Nord","%","2003","8.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre-Nord","%","2009","9.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre-Nord","%","2014","3.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre-Nord","%","2018","8.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre-Ouest","%","2003","4.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre-Ouest","%","2009","3.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre-Ouest","%","2014","3.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre-Ouest","%","2018","5.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre-Sud","%","2003","7.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre-Sud","%","2009","6.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre-Sud","%","2014","3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Centre-Sud","%","2018","2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Est","%","2003","10.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Est","%","2009","7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Est","%","2014","3.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Est","%","2018","3.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Hauts-Bassins","%","2003","13.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Hauts-Bassins","%","2009","11.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Hauts-Bassins","%","2014","2.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Hauts-Bassins","%","2018","3.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Nord","%","2003","9.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Nord","%","2009","9.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Nord","%","2014","6.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Nord","%","2018","11.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Plateau Central","%","2003","3.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Plateau Central","%","2009","3.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Plateau Central","%","2014","3.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Plateau Central","%","2018","3.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Sahel","%","2003","8.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Sahel","%","2009","2.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Sahel","%","2014","1.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Sahel","%","2018","5.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Sud-Ouest","%","2003","12.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Sud-Ouest","%","2009","4.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Sud-Ouest","%","2014","3.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_P2)","Sud-Ouest","%","2018","3.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Burkina Faso","%","2003","100"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Burkina Faso","%","2009","100"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Burkina Faso","%","2014","100"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Boucle du Mouhoun","%","2003","7.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Boucle du Mouhoun","%","2009","7.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Boucle du Mouhoun","%","2014","16.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Cascades","%","2003","18.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Cascades","%","2009","9.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Cascades","%","2014","1.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Centre","%","2003","3.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Centre","%","2009","7.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Centre","%","2014","2.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Centre-Est","%","2003","5.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Centre-Est","%","2009","14.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Centre-Est","%","2014","10.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Centre-Nord","%","2003","5.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Centre-Nord","%","2009","6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Centre-Nord","%","2014","9.2"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Centre-Ouest","%","2003","4.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Centre-Ouest","%","2009","4.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Centre-Ouest","%","2014","9.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Centre-Sud","%","2003","8.4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Centre-Sud","%","2009","8.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Centre-Sud","%","2014","4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Est","%","2003","8.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Est","%","2009","5.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Est","%","2014","9.9"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Hauts-Bassins","%","2003","14.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Hauts-Bassins","%","2009","14.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Hauts-Bassins","%","2014","7.5"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Nord","%","2003","9.7"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Nord","%","2009","11.1"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Nord","%","2014","16.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Plateau Central","%","2003","4"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Plateau Central","%","2009","6.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Plateau Central","%","2014","5.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Sahel","%","2003","3.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Sahel","%","2009","1.6"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Sahel","%","2014","2.3"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Sud-Ouest","%","2003","6.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Sud-Ouest","%","2009","2.8"
"Indicateurs de pauvreté et contributions des régions à la pauvreté","Sévérité de pauvreté (NA_CTR)","Sud-Ouest","%","2014","4.6"
