"indicateur","region","rubrique","Unit","Date","Value"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Nord","Forage","%","2018","31.6"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Nord","Sources","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Nord","Fleuve/Rivière/Lac/Barrage","%","2018","1.6"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Nord","Eau en bouteille","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Nord","Vendeur ambulant","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Nord","Autre","%","2018","4.9"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Nord","Total","%","2018","100"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Ouest","Robinet privé","%","2018","3.6"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Ouest","Borne fontaine/Robinet public","%","2018","34.1"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Ouest","Puits ouverts","%","2018","6.1"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Ouest","Puits couverts","%","2018","2.9"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Ouest","Forage","%","2018","52.2"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Ouest","Sources","%","2018","0.4"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Ouest","Fleuve/Rivière/Lac/Barrage","%","2018","0.7"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Ouest","Eau en bouteille","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Ouest","Vendeur ambulant","%","2018","0.1"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Ouest","Autre","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Ouest","Total","%","2018","100"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Plateur Central","Robinet privé","%","2018","3.7"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Plateur Central","Borne fontaine/Robinet public","%","2018","15.1"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Plateur Central","Puits ouverts","%","2018","12.4"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Plateur Central","Puits couverts","%","2018","1.2"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Plateur Central","Forage","%","2018","66.4"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Plateur Central","Sources","%","2018","0.2"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Plateur Central","Fleuve/Rivière/Lac/Barrage","%","2018","0.9"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Plateur Central","Eau en bouteille","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Plateur Central","Vendeur ambulant","%","2018","0.1"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Plateur Central","Autre","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Plateur Central","Total","%","2018","100"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Nord","Robinet privé","%","2018","25.8"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Nord","Borne fontaine/Robinet public","%","2018","30.6"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Nord","Puits ouverts","%","2018","17.8"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Nord","Puits couverts","%","2018","3"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Nord","Forage","%","2018","17"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Nord","Sources","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Nord","Fleuve/Rivière/Lac/Barrage","%","2018","0.9"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Nord","Eau en bouteille","%","2018","0.2"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Nord","Vendeur ambulant","%","2018","4.2"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Nord","Autre","%","2018","0.6"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Nord","Total","%","2018","100"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Est","Robinet privé","%","2018","9.7"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Est","Borne fontaine/Robinet public","%","2018","8.8"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Est","Puits ouverts","%","2018","46.8"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Est","Puits couverts","%","2018","5.6"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Est","Forage","%","2018","29.1"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Est","Sources","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Est","Fleuve/Rivière/Lac/Barrage","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Est","Eau en bouteille","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Est","Vendeur ambulant","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Est","Autre","%","2018","0"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre-Est","Total","%","2018","100"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre","Robinet privé","%","2018","2.3"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre","Borne fontaine/Robinet public","%","2018","12.3"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre","Puits ouverts","%","2018","4.2"
"Répartition des ménages par région selon le mode d'approvisionnement en eau","Centre","Puits couverts","%","2018","0.5"
