domaine,chemin_relatif,format,nb_lignes,nb_colonnes,nb_valeurs_vides,ratio_valeurs_vides,colonnes,statut_analyse,message
population,data_raw/population/demographie/projection_provincial/KADIOGO.xlsx - KADIOGO.csv,csv,88,50,299,0.067955, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_provincial/KOULSE.xlsx - KOULSE.csv,csv,352,50,1199,0.068125, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_provincial/LIPTAKO.xlsx - LIPTAKO.csv,csv,352,50,1199,0.068125, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_provincial/NAKAMBE.xlsx - NAKAMBE.csv,csv,352,50,1199,0.068125, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_provincial/NANDO.xlsx - NANDO.csv,csv,440,50,1499,0.068136, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_provincial/NAZINON.xlsx - NAZINON.csv,csv,352,50,1199,0.068125, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_provincial/OUBRI.xlsx - OUBRI.csv,csv,352,50,1199,0.068125, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_provincial/SIRBA.xlsx - SIRBA.csv,csv,264,50,899,0.068106, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_provincial/SOUM.xlsx - SOUM.csv,csv,264,50,899,0.068106, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
population,data_raw/population/demographie/projection_provincial/SOUROU.xlsx - SOUROU.csv,csv,352,50,1199,0.068125, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,OK,"Delimiteur detecte: ,"
