indicateur,branche,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,trimestre,source_fichier,domaine
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2012 T3,1091.3,1091.3,2012 T3,2012 T3,trimestrielle,2012,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2012 T4,1275.2,1275.2,2012 T4,2012 T4,trimestrielle,2012,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2013 T1,1041.2,1041.2,2013 T1,2013 T1,trimestrielle,2013,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2013 T2,926.5,926.5,2013 T2,2013 T2,trimestrielle,2013,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2013 T3,814.9,814.9,2013 T3,2013 T3,trimestrielle,2013,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2013 T4,1119.7,1119.7,2013 T4,2013 T4,trimestrielle,2013,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2014 T1,1146.3,1146.3,2014 T1,2014 T1,trimestrielle,2014,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2014 T2,1019.9,1019.9,2014 T2,2014 T2,trimestrielle,2014,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2014 T3,897.1,897.1,2014 T3,2014 T3,trimestrielle,2014,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2014 T4,985.2,985.2,2014 T4,2014 T4,trimestrielle,2014,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2015 T1,1008.6,1008.6,2015 T1,2015 T1,trimestrielle,2015,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2015 T2,897.5,897.5,2015 T2,2015 T2,trimestrielle,2015,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2015 T3,511.6,511.6,2015 T3,2015 T3,trimestrielle,2015,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2015 T4,866.6,866.6,2015 T4,2015 T4,trimestrielle,2015,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2016 T1,864.7,864.7,2016 T1,2016 T1,trimestrielle,2016,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2016 T2,914.2,914.2,2016 T2,2016 T2,trimestrielle,2016,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2016 T3,1130.5,1130.5,2016 T3,2016 T3,trimestrielle,2016,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2016 T4,1203.4,1203.4,2016 T4,2016 T4,trimestrielle,2016,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2017 T1,1227.3,1227.3,2017 T1,2017 T1,trimestrielle,2017,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2017 T2,1228.1,1228.1,2017 T2,2017 T2,trimestrielle,2017,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2017 T3,1108.9,1108.9,2017 T3,2017 T3,trimestrielle,2017,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2017 T4,1188.1,1188.1,2017 T4,2017 T4,trimestrielle,2017,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2018 T1,1517.6,1517.6,2018 T1,2018 T1,trimestrielle,2018,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2018 T2,1926.5,1926.5,2018 T2,2018 T2,trimestrielle,2018,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2018 T3,1772.6,1772.6,2018 T3,2018 T3,trimestrielle,2018,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2018 T4,2069.9,2069.9,2018 T4,2018 T4,trimestrielle,2018,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2019 T1,1772.3,1772.3,2019 T1,2019 T1,trimestrielle,2019,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2019 T2,1698.0,1698.0,2019 T2,2019 T2,trimestrielle,2019,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2019 T3,1521.7,1521.7,2019 T3,2019 T3,trimestrielle,2019,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2019 T4,1653.832331,1653.832331,2019 T4,2019 T4,trimestrielle,2019,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2020 T1,1733.1,1733.1,2020 T1,2020 T1,trimestrielle,2020,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2020 T2,1856.5,1856.5,2020 T2,2020 T2,trimestrielle,2020,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2020 T3,2116.0,2116.0,2020 T3,2020 T3,trimestrielle,2020,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),Base 100 2007,2020 T4,2566.0,2566.0,2020 T4,2020 T4,trimestrielle,2020,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2007 T1,114.8,114.8,2007 T1,2007 T1,trimestrielle,2007,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2007 T2,99.7,99.7,2007 T2,2007 T2,trimestrielle,2007,2,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2007 T3,94.3,94.3,2007 T3,2007 T3,trimestrielle,2007,3,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2007 T4,91.2,91.2,2007 T4,2007 T4,trimestrielle,2007,4,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
Evolution de l'indice de la Production Industrielle par Branches Regroupées,INDUSTRIES ALIMENTAIRES ET DE TABAC (Divisions 15 & 16),Base 100 2007,2008 T1,110.1,110.1,2008 T1,2008 T1,trimestrielle,2008,1,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques
