indicateur,branche_d_activit,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine,branche,trimestre,domaine_d_activit_s,sexe
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2008 T2,379.2,379.2,2008 T2,2008 T2,trimestrielle,2008,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2008 T3,22.2,22.2,2008 T3,2008 T3,trimestrielle,2008,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),3.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2008 T4,275.7,275.7,2008 T4,2008 T4,trimestrielle,2008,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),4.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2009 T1,820.4,820.4,2009 T1,2009 T1,trimestrielle,2009,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2009 T2,737.3,737.3,2009 T2,2009 T2,trimestrielle,2009,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2009 T3,906.0,906.0,2009 T3,2009 T3,trimestrielle,2009,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),3.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2009 T4,1160.2,1160.2,2009 T4,2009 T4,trimestrielle,2009,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),4.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2010 T1,1113.2,1113.2,2010 T1,2010 T1,trimestrielle,2010,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2010 T2,1108.5,1108.5,2010 T2,2010 T2,trimestrielle,2010,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2010 T3,1083.3,1083.3,2010 T3,2010 T3,trimestrielle,2010,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),3.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2010 T4,1379.8,1379.8,2010 T4,2010 T4,trimestrielle,2010,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),4.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2011 T1,1336.5,1336.5,2011 T1,2011 T1,trimestrielle,2011,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),1.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2011 T2,1236.9,1236.9,2011 T2,2011 T2,trimestrielle,2011,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),2.0,,
Evolution de l'indice de la Production Industrielle par Branches Regroupées,,Base 100 2007,2011 T3,1150.5,1150.5,2011 T3,2011 T3,trimestrielle,2011,Evolution de l'indice de la Production Industrielle par Branches Regroupées.csv,activites_economiques,INDUSTRIES EXTRACTIVES (Divisions 10 à 14),3.0,,
