indicateur,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine,source_onglet,region_destination,province_destination,commune_destination,hommes,femmes,enfants_de_moins_de_5_ans,enfants_de_plus_de_5_ans,total_enfants,total_individus,admin_1_pcode,admin_2_pcode,admin_3_pcode,date_donnn_e,enregistrement_des_personnes_deplacees_internes
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2019,1.0,2019,2019,annuelle,2019.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2020,0.0,2020,2020,annuelle,2020.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2021,1.0,2021,2021,annuelle,2021.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2022,0.0,2022,2022,annuelle,2022.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2023,54.0,2023,2023,annuelle,2023.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2024,54.0,2024,2024,annuelle,2024.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2025,54.0,2025,2025,annuelle,2025.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2019,0.0,2019,2019,annuelle,2019.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2020,0.0,2020,2020,annuelle,2020.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2021,0.0,2021,2021,annuelle,2021.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2022,0.0,2022,2022,annuelle,2022.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2023,210.0,2023,2023,annuelle,2023.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2024,211.0,2024,2024,annuelle,2024.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2025,398.0,2025,2025,annuelle,2025.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2019,0.0,2019,2019,annuelle,2019.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2020,0.0,2020,2020,annuelle,2020.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2021,0.0,2021,2021,annuelle,2021.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
Effectif des réfugiés au Burkina Faso par région administrative,Nombre,2022,5.0,2022,2022,annuelle,2022.0,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi,,,,,,,,,,,,,,,
