enregistrement_des_personnes_deplacees_internes,source_onglet,r_gion,total_pdi,pdi_hommes,pdi_femmes,pdi_enfants,pdi_personnes_g_es,pdi_personnes_avec_handicap,source_fichier,domaine
LERABA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
LERABA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
LERABA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
LERABA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
LERABA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KADIOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KADIOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KADIOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KADIOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KADIOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KADIOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KADIOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BOULGOU,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOULPELOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOULPELOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOULPELOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOULPELOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOULPELOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOULPELOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOULPELOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOULPELOGO,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOURITENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOURITENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOURITENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOURITENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOURITENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOURITENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOURITENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOURITENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
KOURITENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BAM,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BAM,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BAM,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BAM,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BAM,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BAM,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BAM,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
BAM,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAMENTENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAMENTENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
NAMENTENGA,31122022,,,,,,,,situation-des-pdi-par-communes-accueil-du-31-decembre-2022-1.xlsx,pdi
