indicateur,region,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE SUD,Nombre,2022,0,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE SUD,Nombre,2023,0,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE SUD,Nombre,2024,0,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE SUD,Nombre,2025,0,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE OUEST,Nombre,2019,1,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE OUEST,Nombre,2021,0,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE OUEST,Nombre,2022,0,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE OUEST,Nombre,2023,1,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE OUEST,Nombre,2024,0,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE OUEST,Nombre,2025,0,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE EST,Nombre,2019,4,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE EST,Nombre,2021,0,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE EST,Nombre,2022,0,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE EST,Nombre,2023,0,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE EST,Nombre,2024,0,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CENTRE EST,Nombre,2025,0,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,HAUTS BASSINS,Nombre,2019,518,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,HAUTS BASSINS,Nombre,2020,551,2020,2020,annuelle,2020,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,HAUTS BASSINS,Nombre,2021,1232,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,HAUTS BASSINS,Nombre,2022,2162,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,HAUTS BASSINS,Nombre,2023,3129,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,HAUTS BASSINS,Nombre,2024,4277,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,HAUTS BASSINS,Nombre,2025,4475,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,BOUCLE DU MOUHOUN,Nombre,2019,0,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,BOUCLE DU MOUHOUN,Nombre,2020,0,2020,2020,annuelle,2020,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,BOUCLE DU MOUHOUN,Nombre,2021,0,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,BOUCLE DU MOUHOUN,Nombre,2022,379,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,BOUCLE DU MOUHOUN,Nombre,2023,379,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,BOUCLE DU MOUHOUN,Nombre,2024,70,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,BOUCLE DU MOUHOUN,Nombre,2025,172,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,EST,Nombre,2019,0,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,EST,Nombre,2020,0,2020,2020,annuelle,2020,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,EST,Nombre,2021,0,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,EST,Nombre,2022,0,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,EST,Nombre,2023,0,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,EST,Nombre,2024,733,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,EST,Nombre,2025,733,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CASCADES,Nombre,2019,1,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CASCADES,Nombre,2020,0,2020,2020,annuelle,2020,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CASCADES,Nombre,2021,1,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CASCADES,Nombre,2022,0,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CASCADES,Nombre,2023,54,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CASCADES,Nombre,2024,54,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,CASCADES,Nombre,2025,54,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,SUD OUEST,Nombre,2019,0,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,SUD OUEST,Nombre,2020,0,2020,2020,annuelle,2020,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,SUD OUEST,Nombre,2021,0,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,SUD OUEST,Nombre,2022,0,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,SUD OUEST,Nombre,2023,210,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,SUD OUEST,Nombre,2024,211,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,SUD OUEST,Nombre,2025,398,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,PLATEAU CENTRAL,Nombre,2019,0,2019,2019,annuelle,2019,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,PLATEAU CENTRAL,Nombre,2020,0,2020,2020,annuelle,2020,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,PLATEAU CENTRAL,Nombre,2021,0,2021,2021,annuelle,2021,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,PLATEAU CENTRAL,Nombre,2022,5,2022,2022,annuelle,2022,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,PLATEAU CENTRAL,Nombre,2023,7,2023,2023,annuelle,2023,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,PLATEAU CENTRAL,Nombre,2024,7,2024,2024,annuelle,2024,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
Effectif des réfugiés au Burkina Faso par région administrative,PLATEAU CENTRAL,Nombre,2025,7,2025,2025,annuelle,2025,Effectif des réfugiés au Burkina Faso par région administrative.csv,pdi
