"indicateur","branche","sexe","Unit","Date","Value"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Femme","%","2003","0.1"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Femme","%","2005","0.0477054230868816"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Femme","%","2007","0.1"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Femme","%","2010","0.0663057201082581"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Ensemble","%","2003","0.3"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Ensemble","%","2005","0.166697144508362"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Ensemble","%","2007","0.2"
"Répartition des travailleurs par branches d'activités selon le sexe","Production, distribution électricité, eau, gaz","Ensemble","%","2010","0.136209292471103"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Homme","%","2003","1.3"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Homme","%","2005","1.2169086933136"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Homme","%","2007","2.9"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Homme","%","2010","1.75725789493326"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Femme","%","2003","0.1"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Femme","%","2005","0.087367556989193"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Femme","%","2007","0.2"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Femme","%","2010","0.0767962124009196"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Ensemble","%","2003","0.7"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Ensemble","%","2005","0.647696852684021"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Ensemble","%","2007","1.9"
"Répartition des travailleurs par branches d'activités selon le sexe","Construction","Ensemble","%","2010","0.875989297064226"
"Répartition des travailleurs par branches d'activités selon le sexe","Commerce, réparations, activités domestiques","Homme","%","2003","6.3"
"Répartition des travailleurs par branches d'activités selon le sexe","Commerce, réparations, activités domestiques","Homme","%","2005","6.77292442321777"
"Répartition des travailleurs par branches d'activités selon le sexe","Commerce, réparations, activités domestiques","Homme","%","2007","11"
"Répartition des travailleurs par branches d'activités selon le sexe","Commerce, réparations, activités domestiques","Homme","%","2010","7.59989158762701"
"Répartition des travailleurs par branches d'activités selon le sexe","Commerce, réparations, activités domestiques","Femme","%","2003","6.8"
"Répartition des travailleurs par branches d'activités selon le sexe","Commerce, réparations, activités domestiques","Femme","%","2005","6.62816715240479"
"Répartition des travailleurs par branches d'activités selon le sexe","Commerce, réparations, activités domestiques","Femme","%","2007","18.9"
"Répartition des travailleurs par branches d'activités selon le sexe","Commerce, réparations, activités domestiques","Femme","%","2010","7.33393181612936"
"Répartition des travailleurs par branches d'activités selon le sexe","Commerce, réparations, activités domestiques","Ensemble","%","2003","6.5"
"Répartition des travailleurs par branches d'activités selon le sexe","Commerce, réparations, activités domestiques","Ensemble","%","2005","6.69994258880615"
"Répartition des travailleurs par branches d'activités selon le sexe","Commerce, réparations, activités domestiques","Ensemble","%","2007","16.2"
"Répartition des travailleurs par branches d'activités selon le sexe","Commerce, réparations, activités domestiques","Ensemble","%","2010","7.46041682461777"
"Répartition des travailleurs par branches d'activités selon le sexe","Hôtels, restaurants","Homme","%","2003","0.3"
"Répartition des travailleurs par branches d'activités selon le sexe","Hôtels, restaurants","Homme","%","2005","0.186613440513611"
"Répartition des travailleurs par branches d'activités selon le sexe","Hôtels, restaurants","Homme","%","2007","0.4"
"Répartition des travailleurs par branches d'activités selon le sexe","Hôtels, restaurants","Homme","%","2010","0.572697618130116"
"Répartition des travailleurs par branches d'activités selon le sexe","Hôtels, restaurants","Femme","%","2003","0.4"
"Répartition des travailleurs par branches d'activités selon le sexe","Hôtels, restaurants","Femme","%","2005","0.369494289159775"
"Répartition des travailleurs par branches d'activités selon le sexe","Hôtels, restaurants","Femme","%","2007","0.8"
"Répartition des travailleurs par branches d'activités selon le sexe","Hôtels, restaurants","Femme","%","2010","1.15152836694954"
"Répartition des travailleurs par branches d'activités selon le sexe","Hôtels, restaurants","Ensemble","%","2003","0.4"
"Répartition des travailleurs par branches d'activités selon le sexe","Hôtels, restaurants","Ensemble","%","2005","0.278772175312042"
"Répartition des travailleurs par branches d'activités selon le sexe","Hôtels, restaurants","Ensemble","%","2007","0.6"
"Répartition des travailleurs par branches d'activités selon le sexe","Hôtels, restaurants","Ensemble","%","2010","0.8762483433373"
"Répartition des travailleurs par branches d'activités selon le sexe","Transports, activités auxiliaires","Homme","%","2003","1.1"
"Répartition des travailleurs par branches d'activités selon le sexe","Transports, activités auxiliaires","Homme","%","2005","1.07236814498901"
"Répartition des travailleurs par branches d'activités selon le sexe","Transports, activités auxiliaires","Homme","%","2007","1.4"
"Répartition des travailleurs par branches d'activités selon le sexe","Transports, activités auxiliaires","Homme","%","2010","1.30137655768367"
"Répartition des travailleurs par branches d'activités selon le sexe","Transports, activités auxiliaires","Femme","%","2003","0.1"
"Répartition des travailleurs par branches d'activités selon le sexe","Transports, activités auxiliaires","Femme","%","2005","0.135802179574966"
"Répartition des travailleurs par branches d'activités selon le sexe","Transports, activités auxiliaires","Femme","%","2007","0.1"
"Répartition des travailleurs par branches d'activités selon le sexe","Transports, activités auxiliaires","Femme","%","2010","0.137504409924958"
"Répartition des travailleurs par branches d'activités selon le sexe","Transports, activités auxiliaires","Ensemble","%","2003","0.6"
"Répartition des travailleurs par branches d'activités selon le sexe","Transports, activités auxiliaires","Ensemble","%","2005","0.600402414798737"
"Répartition des travailleurs par branches d'activités selon le sexe","Transports, activités auxiliaires","Ensemble","%","2007","0.7"
"Répartition des travailleurs par branches d'activités selon le sexe","Transports, activités auxiliaires","Ensemble","%","2010","0.691018114872579"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités financières","Homme","%","2003","0.3"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités financières","Homme","%","2005","0.418215036392212"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités financières","Homme","%","2007","0.8"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités financières","Homme","%","2010","0.191037804595634"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités financières","Femme","%","2003","0.2"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités financières","Femme","%","2005","0.341857969760895"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités financières","Femme","%","2007","0.5"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités financières","Femme","%","2010","0.168141542791863"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités financières","Ensemble","%","2003","0.2"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités financières","Ensemble","%","2005","0.379735618829727"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités financières","Ensemble","%","2007","0.6"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités financières","Ensemble","%","2010","0.179030534958968"
"Répartition des travailleurs par branches d'activités selon le sexe","Immobilier, location, services aux entreprises","Homme","%","2003","0.2"
"Répartition des travailleurs par branches d'activités selon le sexe","Immobilier, location, services aux entreprises","Homme","%","2005","0.35148286819458"
"Répartition des travailleurs par branches d'activités selon le sexe","Immobilier, location, services aux entreprises","Homme","%","2007","0.9"
"Répartition des travailleurs par branches d'activités selon le sexe","Immobilier, location, services aux entreprises","Homme","%","2010","0.540359158483483"
"Répartition des travailleurs par branches d'activités selon le sexe","Immobilier, location, services aux entreprises","Femme","%","2003","0.1"
"Répartition des travailleurs par branches d'activités selon le sexe","Immobilier, location, services aux entreprises","Femme","%","2005","0.328317433595657"
"Répartition des travailleurs par branches d'activités selon le sexe","Immobilier, location, services aux entreprises","Femme","%","2007","0.4"
"Répartition des travailleurs par branches d'activités selon le sexe","Immobilier, location, services aux entreprises","Femme","%","2010","0.095826868192182"
"Répartition des travailleurs par branches d'activités selon le sexe","Immobilier, location, services aux entreprises","Ensemble","%","2003","0.2"
"Répartition des travailleurs par branches d'activités selon le sexe","Immobilier, location, services aux entreprises","Ensemble","%","2005","0.339808404445648"
"Répartition des travailleurs par branches d'activités selon le sexe","Immobilier, location, services aux entreprises","Ensemble","%","2007","0.7"
"Répartition des travailleurs par branches d'activités selon le sexe","Immobilier, location, services aux entreprises","Ensemble","%","2010","0.307237301410145"
"Répartition des travailleurs par branches d'activités selon le sexe","Administration publique","Homme","%","2003","1.5"
"Répartition des travailleurs par branches d'activités selon le sexe","Administration publique","Homme","%","2005","2.13644957542419"
"Répartition des travailleurs par branches d'activités selon le sexe","Administration publique","Homme","%","2007","2.9"
"Répartition des travailleurs par branches d'activités selon le sexe","Administration publique","Homme","%","2010","0.964827560123395"
"Répartition des travailleurs par branches d'activités selon le sexe","Administration publique","Femme","%","2003","0.5"
"Répartition des travailleurs par branches d'activités selon le sexe","Administration publique","Femme","%","2005","0.909149706363678"
"Répartition des travailleurs par branches d'activités selon le sexe","Administration publique","Femme","%","2007","1"
"Répartition des travailleurs par branches d'activités selon le sexe","Administration publique","Femme","%","2010","0.312276187805602"
"Répartition des travailleurs par branches d'activités selon le sexe","Administration publique","Ensemble","%","2003","1"
"Répartition des travailleurs par branches d'activités selon le sexe","Administration publique","Ensemble","%","2005","1.51797163486481"
"Répartition des travailleurs par branches d'activités selon le sexe","Administration publique","Ensemble","%","2007","0.9"
"Répartition des travailleurs par branches d'activités selon le sexe","Administration publique","Ensemble","%","2010","0.622616226834664"
"Répartition des travailleurs par branches d'activités selon le sexe","Education","Homme","%","2003","1.3"
"Répartition des travailleurs par branches d'activités selon le sexe","Education","Homme","%","2005","1.13419723510742"
"Répartition des travailleurs par branches d'activités selon le sexe","Education","Homme","%","2007","2.1"
"Répartition des travailleurs par branches d'activités selon le sexe","Education","Homme","%","2010","1.15883529673892"
"Répartition des travailleurs par branches d'activités selon le sexe","Education","Femme","%","2003","0.5"
"Répartition des travailleurs par branches d'activités selon le sexe","Education","Femme","%","2005","0.421811908483505"
"Répartition des travailleurs par branches d'activités selon le sexe","Education","Femme","%","2007","1"
"Répartition des travailleurs par branches d'activités selon le sexe","Education","Femme","%","2010","0.553407096048599"
"Répartition des travailleurs par branches d'activités selon le sexe","Education","Ensemble","%","2003","0.9"
"Répartition des travailleurs par branches d'activités selon le sexe","Education","Ensemble","%","2005","0.775201857089996"
"Répartition des travailleurs par branches d'activités selon le sexe","Education","Ensemble","%","2007","0.7"
"Répartition des travailleurs par branches d'activités selon le sexe","Education","Ensemble","%","2010","0.841336321856782"
"Répartition des travailleurs par branches d'activités selon le sexe","Santé, action sociale","Homme","%","2003","0.5"
"Répartition des travailleurs par branches d'activités selon le sexe","Santé, action sociale","Homme","%","2005","0.642154455184937"
"Répartition des travailleurs par branches d'activités selon le sexe","Santé, action sociale","Homme","%","2007","0.9"
"Répartition des travailleurs par branches d'activités selon le sexe","Santé, action sociale","Homme","%","2010","0.811427337801053"
"Répartition des travailleurs par branches d'activités selon le sexe","Santé, action sociale","Femme","%","2003","0.3"
"Répartition des travailleurs par branches d'activités selon le sexe","Santé, action sociale","Femme","%","2005","0.48600971698761"
"Répartition des travailleurs par branches d'activités selon le sexe","Santé, action sociale","Femme","%","2007","0.6"
"Répartition des travailleurs par branches d'activités selon le sexe","Santé, action sociale","Femme","%","2010","0.519875847162761"
"Répartition des travailleurs par branches d'activités selon le sexe","Santé, action sociale","Ensemble","%","2003","0.4"
"Répartition des travailleurs par branches d'activités selon le sexe","Santé, action sociale","Ensemble","%","2005","0.563467264175415"
"Répartition des travailleurs par branches d'activités selon le sexe","Santé, action sociale","Ensemble","%","2007","0.3"
"Répartition des travailleurs par branches d'activités selon le sexe","Santé, action sociale","Ensemble","%","2010","0.658531752003315"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités à caractère collectif","Homme","%","2003","0.5"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités à caractère collectif","Homme","%","2005","0.577732861042023"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités à caractère collectif","Homme","%","2007","1"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités à caractère collectif","Homme","%","2010","1.9566497198262"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités à caractère collectif","Femme","%","2003","0.2"
"Répartition des travailleurs par branches d'activités selon le sexe","Activités à caractère collectif","Femme","%","2005","0.333759069442749"
