,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOULSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,8,  7 041   ,  7 094   ,  14 135   ,  7 213   ,  7 301   ,  14 514   ,  7 436   ,  7 539   ,  14 975   ,  7 757   ,  7 847   ,  15 604   ,  8 093   ,  8 148   ,  16 241   ,  8 359   ,  8 357   ,  16 716   ,  8 604   ,  8 543   ,  17 147   ,  8 795   ,  8 684   ,  17 479   ,  9 609   ,  9 458   ,  19 067   ,  9 721   ,  9 552   ,  19 273   ,  9 840   ,  9 661   ,  19 501   ,  9 951   ,  9 762   ,  19 713   ,  10 052   ,  9 854   ,  19 906   ,  10 150   ,  9 941   ,  20 091   ,  10 247   ,  10 030   ,  20 277   ,  10 345   ,  10 118   ,  20 463   
,9,  6 779   ,  6 828   ,  13 607   ,  7 023   ,  7 115   ,  14 138   ,  7 196   ,  7 323   ,  14 519   ,  7 418   ,  7 562   ,  14 980   ,  7 739   ,  7 872   ,  15 611   ,  8 076   ,  8 172   ,  16 248   ,  8 332   ,  8 374   ,  16 706   ,  8 578   ,  8 561   ,  17 139   ,  9 586   ,  9 516   ,  19 102   ,  9 605   ,  9 501   ,  19 106   ,  9 697   ,  9 575   ,  19 272   ,  9 822   ,  9 690   ,  19 512   ,  9 933   ,  9 793   ,  19 726   ,  10 034   ,  9 885   ,  19 919   ,  10 132   ,  9 974   ,  20 106   ,  10 231   ,  10 063   ,  20 294   
,10,  6 385   ,  6 484   ,  12 869   ,  6 685   ,  6 822   ,  13 507   ,  6 927   ,  7 109   ,  14 036   ,  7 098   ,  7 318   ,  14 416   ,  7 318   ,  7 557   ,  14 875   ,  7 635   ,  7 866   ,  15 501   ,  7 960   ,  8 158   ,  16 118   ,  8 214   ,  8 358   ,  16 572   ,  9 246   ,  9 347   ,  18 593   ,  9 479   ,  9 526   ,  19 005   ,  9 478   ,  9 490   ,  18 968   ,  9 573   ,  9 570   ,  19 143   ,  9 697   ,  9 686   ,  19 383   ,  9 807   ,  9 789   ,  19 596   ,  9 907   ,  9 882   ,  19 789   ,  10 004   ,  9 971   ,  19 975   
,11,  6 124   ,  6 232   ,  12 356   ,  6 344   ,  6 471   ,  12 815   ,  6 643   ,  6 809   ,  13 452   ,  6 883   ,  7 096   ,  13 979   ,  7 053   ,  7 305   ,  14 358   ,  7 272   ,  7 542   ,  14 814   ,  7 580   ,  7 842   ,  15 422   ,  7 903   ,  8 133   ,  16 036   ,  8 922   ,  9 117   ,  18 039   ,  9 211   ,  9 345   ,  18 556   ,  9 421   ,  9 503   ,  18 924   ,  9 424   ,  9 474   ,  18 898   ,  9 520   ,  9 554   ,  19 074   ,  9 643   ,  9 670   ,  19 313   ,  9 754   ,  9 773   ,  19 527   ,  9 853   ,  9 866   ,  19 719   
,12,  5 899   ,  6 005   ,  11 904   ,  6 147   ,  6 247   ,  12 394   ,  6 368   ,  6 488   ,  12 856   ,  6 668   ,  6 826   ,  13 494   ,  6 910   ,  7 115   ,  14 025   ,  7 080   ,  7 322   ,  14 402   ,  7 294   ,  7 552   ,  14 846   ,  7 603   ,  7 853   ,  15 456   ,  8 674   ,  8 910   ,  17 584   ,  8 975   ,  9 155   ,  18 130   ,  9 245   ,  9 362   ,  18 607   ,  9 461   ,  9 526   ,  18 987   ,  9 466   ,  9 498   ,  18 964   ,  9 562   ,  9 578   ,  19 140   ,  9 686   ,  9 696   ,  19 382   ,  9 797   ,  9 799   ,  19 596   
,13,  5 614   ,  5 761   ,  11 375   ,  5 944   ,  6 069   ,  12 013   ,  6 195   ,  6 314   ,  12 509   ,  6 418   ,  6 556   ,  12 974   ,  6 721   ,  6 898   ,  13 619   ,  6 964   ,  7 189   ,  14 153   ,  7 130   ,  7 391   ,  14 521   ,  7 345   ,  7 624   ,  14 969   ,  8 381   ,  8 674   ,  17 055   ,  8 763   ,  9 018   ,  17 781   ,  9 047   ,  9 243   ,  18 290   ,  9 324   ,  9 459   ,  18 783   ,  9 543   ,  9 626   ,  19 169   ,  9 548   ,  9 598   ,  19 146   ,  9 645   ,  9 680   ,  19 325   ,  9 770   ,  9 798   ,  19 568   
,14,  5 301   ,  5 468   ,  10 769   ,  5 570   ,  5 685   ,  11 255   ,  5 898   ,  5 988   ,  11 886   ,  6 147   ,  6 230   ,  12 377   ,  6 368   ,  6 468   ,  12 836   ,  6 668   ,  6 805   ,  13 473   ,  6 904   ,  7 084   ,  13 988   ,  7 069   ,  7 283   ,  14 352   ,  7 971   ,  8 222   ,  16 193   ,  8 333   ,  8 570   ,  16 903   ,  8 693   ,  8 892   ,  17 585   ,  8 980   ,  9 119   ,  18 099   ,  9 255   ,  9 333   ,  18 588   ,  9 473   ,  9 498   ,  18 971   ,  9 479   ,  9 469   ,  18 948   ,  9 575   ,  9 550   ,  19 125   
,15,  4 887   ,  5 025   ,  9 912   ,  5 178   ,  5 206   ,  10 384   ,  5 442   ,  5 413   ,  10 855   ,  5 762   ,  5 702   ,  11 464   ,  6 006   ,  5 932   ,  11 938   ,  6 223   ,  6 158   ,  12 381   ,  6 511   ,  6 471   ,  12 982   ,  6 742   ,  6 736   ,  13 478   ,  7 559   ,  7 586   ,  15 145   ,  7 809   ,  7 843   ,  15 652   ,  8 145   ,  8 158   ,  16 303   ,  8 502   ,  8 469   ,  16 971   ,  8 785   ,  8 687   ,  17 472   ,  9 055   ,  8 889   ,  17 944   ,  9 268   ,  9 046   ,  18 314   ,  9 273   ,  9 019   ,  18 292   
,16,  4 358   ,  4 715   ,  9 073   ,  4 695   ,  4 915   ,  9 610   ,  4 975   ,  5 092   ,  10 067   ,  5 229   ,  5 295   ,  10 524   ,  5 538   ,  5 576   ,  11 114   ,  5 772   ,  5 800   ,  11 572   ,  5 975   ,  6 016   ,  11 991   ,  6 253   ,  6 322   ,  12 575   ,  7 090   ,  7 207   ,  14 297   ,  7 279   ,  7 427   ,  14 706   ,  7 503   ,  7 663   ,  15 166   ,  7 830   ,  7 975   ,  15 805   ,  8 176   ,  8 279   ,  16 455   ,  8 447   ,  8 491   ,  16 938   ,  8 708   ,  8 690   ,  17 398   ,  8 913   ,  8 842   ,  17 755   
,17,  4 087   ,  4 736   ,  8 823   ,  4 314   ,  4 800   ,  9 114   ,  4 649   ,  5 003   ,  9 652   ,  4 927   ,  5 183   ,  10 110   ,  5 179   ,  5 390   ,  10 569   ,  5 484   ,  5 675   ,  11 159   ,  5 712   ,  5 896   ,  11 608   ,  5 914   ,  6 115   ,  12 029   ,  6 776   ,  7 039   ,  13 815   ,  7 035   ,  7 344   ,  14 379   ,  7 208   ,  7 554   ,  14 762   ,  7 435   ,  7 798   ,  15 233   ,  7 760   ,  8 116   ,  15 876   ,  8 102   ,  8 425   ,  16 527   ,  8 372   ,  8 642   ,  17 014   ,  8 630   ,  8 843   ,  17 473   
