,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOULKIEMDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,8,  10 740   ,  10 643   ,  21 383   ,  10 925   ,  10 882   ,  21 807   ,  11 186   ,  11 163   ,  22 349   ,  11 592   ,  11 545   ,  23 137   ,  12 020   ,  11 908   ,  23 928   ,  12 338   ,  12 139   ,  24 477   ,  12 692   ,  12 396   ,  25 088   ,  12 966   ,  12 588   ,  25 554   ,  12 895   ,  12 470   ,  25 365   ,  12 969   ,  12 513   ,  25 482   ,  13 067   ,  12 586   ,  25 653   ,  13 143   ,  12 640   ,  25 783   ,  13 208   ,  12 682   ,  25 890   ,  13 269   ,  12 720   ,  25 989   ,  13 331   ,  12 756   ,  26 087   ,  13 395   ,  12 793   ,  26 188   
,9,  10 367   ,  10 281   ,  20 648   ,  10 666   ,  10 644   ,  21 310   ,  10 853   ,  10 884   ,  21 737   ,  11 116   ,  11 166   ,  22 282   ,  11 524   ,  11 548   ,  23 072   ,  11 953   ,  11 915   ,  23 868   ,  12 325   ,  12 196   ,  24 521   ,  12 681   ,  12 455   ,  25 136   ,  12 899   ,  12 592   ,  25 491   ,  12 851   ,  12 492   ,  25 343   ,  12 911   ,  12 520   ,  25 431   ,  13 008   ,  12 594   ,  25 602   ,  13 087   ,  12 650   ,  25 737   ,  13 154   ,  12 693   ,  25 847   ,  13 217   ,  12 732   ,  25 949   ,  13 283   ,  12 769   ,  26 052   
,10,  9 792   ,  9 800   ,  19 592   ,  10 181   ,  10 243   ,  20 424   ,  10 477   ,  10 604   ,  21 081   ,  10 665   ,  10 844   ,  21 509   ,  10 926   ,  11 127   ,  22 053   ,  11 331   ,  11 510   ,  22 841   ,  11 806   ,  11 924   ,  23 730   ,  12 175   ,  12 207   ,  24 382   ,  12 477   ,  12 414   ,  24 891   ,  12 715   ,  12 570   ,  25 285   ,  12 652   ,  12 456   ,  25 108   ,  12 712   ,  12 484   ,  25 196   ,  12 810   ,  12 559   ,  25 369   ,  12 890   ,  12 617   ,  25 507   ,  12 958   ,  12 661   ,  25 619   ,  13 023   ,  12 701   ,  25 724   
,11,  9 418   ,  9 454   ,  18 872   ,  9 687   ,  9 753   ,  19 440   ,  10 075   ,  10 195   ,  20 270   ,  10 371   ,  10 556   ,  20 927   ,  10 561   ,  10 796   ,  21 357   ,  10 822   ,  11 078   ,  21 900   ,  11 272   ,  11 506   ,  22 778   ,  11 747   ,  11 921   ,  23 668   ,  12 072   ,  12 155   ,  24 227   ,  12 389   ,  12 378   ,  24 767   ,  12 612   ,  12 518   ,  25 130   ,  12 549   ,  12 404   ,  24 953   ,  12 611   ,  12 435   ,  25 046   ,  12 710   ,  12 511   ,  25 221   ,  12 792   ,  12 569   ,  25 361   ,  12 862   ,  12 613   ,  25 475   
,12,  9 095   ,  9 146   ,  18 241   ,  9 413   ,  9 452   ,  18 865   ,  9 685   ,  9 751   ,  19 436   ,  10 074   ,  10 193   ,  20 267   ,  10 373   ,  10 555   ,  20 928   ,  10 566   ,  10 796   ,  21 362   ,  10 876   ,  11 124   ,  22 000   ,  11 332   ,  11 554   ,  22 886   ,  11 767   ,  11 926   ,  23 693   ,  12 105   ,  12 172   ,  24 277   ,  12 410   ,  12 380   ,  24 790   ,  12 633   ,  12 521   ,  25 154   ,  12 573   ,  12 409   ,  24 982   ,  12 636   ,  12 441   ,  25 077   ,  12 738   ,  12 518   ,  25 256   ,  12 823   ,  12 576   ,  25 399   
,13,  8 681   ,  8 809   ,  17 490   ,  9 126   ,  9 218   ,  18 344   ,  9 447   ,  9 526   ,  18 973   ,  9 722   ,  9 828   ,  19 550   ,  10 117   ,  10 275   ,  20 392   ,  10 421   ,  10 640   ,  21 061   ,  10 661   ,  10 928   ,  21 589   ,  10 976   ,  11 261   ,  22 237   ,  11 401   ,  11 652   ,  23 053   ,  11 851   ,  12 037   ,  23 888   ,  12 177   ,  12 272   ,  24 449   ,  12 484   ,  12 482   ,  24 966   ,  12 710   ,  12 626   ,  25 336   ,  12 652   ,  12 514   ,  25 166   ,  12 719   ,  12 546   ,  25 265   ,  12 824   ,  12 623   ,  25 447   
,14,  8 218   ,  8 392   ,  16 610   ,  8 576   ,  8 668   ,  17 244   ,  9 018   ,  9 070   ,  18 088   ,  9 338   ,  9 375   ,  18 713   ,  9 613   ,  9 672   ,  19 285   ,  10 006   ,  10 112   ,  20 118   ,  10 352   ,  10 516   ,  20 868   ,  10 594   ,  10 800   ,  21 394   ,  10 873   ,  11 090   ,  21 963   ,  11 299   ,  11 484   ,  22 783   ,  11 732   ,  11 850   ,  23 582   ,  12 057   ,  12 080   ,  24 137   ,  12 361   ,  12 290   ,  24 651   ,  12 588   ,  12 431   ,  25 019   ,  12 533   ,  12 321   ,  24 854   ,  12 601   ,  12 352   ,  24 953   
,15,  7 974   ,  8 364   ,  16 338   ,  8 390   ,  8 610   ,  17 000   ,  8 757   ,  8 893   ,  17 650   ,  9 212   ,  9 305   ,  18 517   ,  9 541   ,  9 618   ,  19 159   ,  9 826   ,  9 924   ,  19 750   ,  10 274   ,  10 419   ,  20 693   ,  10 633   ,  10 834   ,  21 467   ,  10 852   ,  11 096   ,  21 948   ,  11 144   ,  11 400   ,  22 544   ,  11 569   ,  11 792   ,  23 361   ,  12 013   ,  12 168   ,  24 181   ,  12 347   ,  12 405   ,  24 752   ,  12 662   ,  12 620   ,  25 282   ,  12 897   ,  12 765   ,  25 662   ,  12 844   ,  12 652   ,  25 496   
,16,  7 575   ,  7 766   ,  15 341   ,  8 107   ,  8 040   ,  16 147   ,  8 530   ,  8 276   ,  16 806   ,  8 909   ,  8 550   ,  17 459   ,  9 374   ,  8 946   ,  18 320   ,  9 712   ,  9 248   ,  18 960   ,  10 047   ,  9 582   ,  19 629   ,  10 508   ,  10 059   ,  20 567   ,  10 846   ,  10 429   ,  21 275   ,  11 070   ,  10 679   ,  21 749   ,  11 356   ,  10 957   ,  22 313   ,  11 790   ,  11 334   ,  23 124   ,  12 245   ,  11 696   ,  23 941   ,  12 588   ,  11 925   ,  24 513   ,  12 912   ,  12 132   ,  25 044   ,  13 155   ,  12 271   ,  25 426   
,17,  6 956   ,  7 376   ,  14 332   ,  7 291   ,  7 426   ,  14 717   ,  7 805   ,  7 689   ,  15 494   ,  8 216   ,  7 914   ,  16 130   ,  8 582   ,  8 177   ,  16 759   ,  9 034   ,  8 557   ,  17 591   ,  9 402   ,  8 881   ,  18 283   ,  9 729   ,  9 201   ,  18 930   ,  10 146   ,  9 634   ,  19 780   ,  10 474   ,  9 987   ,  20 461   ,  10 680   ,  10 215   ,  20 895   ,  10 956   ,  10 482   ,  21 438   ,  11 378   ,  10 844   ,  22 222   ,  11 820   ,  11 190   ,  23 010   ,  12 153   ,  11 410   ,  23 563   ,  12 470   ,  11 607   ,  24 077   
