,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAKAMBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOULGOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,8,  12 627   ,  12 317   ,  24 944   ,  12 878   ,  12 623   ,  25 501   ,  13 218   ,  12 980   ,  26 198   ,  13 732   ,  13 455   ,  27 187   ,  14 275   ,  13 914   ,  28 189   ,  14 687   ,  14 216   ,  28 903   ,  15 069   ,  14 480   ,  29 549   ,  15 357   ,  14 667   ,  30 024   ,  14 960   ,  14 235   ,  29 195   ,  15 086   ,  14 323   ,  29 409   ,  15 239   ,  14 446   ,  29 685   ,  15 372   ,  14 547   ,  29 919   ,  15 490   ,  14 632   ,  30 122   ,  15 602   ,  14 710   ,  30 312   ,  15 716   ,  14 789   ,  30 505   ,  15 827   ,  14 864   ,  30 691   
,9,  12 068   ,  11 561   ,  23 629   ,  12 447   ,  11 997   ,  24 444   ,  12 698   ,  12 298   ,  24 996   ,  13 037   ,  12 647   ,  25 684   ,  13 549   ,  13 111   ,  26 660   ,  14 087   ,  13 559   ,  27 646   ,  14 487   ,  13 842   ,  28 329   ,  14 868   ,  14 102   ,  28 970   ,  14 815   ,  13 968   ,  28 783   ,  14 799   ,  13 895   ,  28 694   ,  14 909   ,  13 963   ,  28 872   ,  15 062   ,  14 083   ,  29 145   ,  15 195   ,  14 183   ,  29 378   ,  15 313   ,  14 265   ,  29 578   ,  15 426   ,  14 343   ,  29 769   ,  15 538   ,  14 418   ,  29 956   
,10,  11 540   ,  10 982   ,  22 522   ,  12 028   ,  11 505   ,  23 533   ,  12 409   ,  11 940   ,  24 349   ,  12 663   ,  12 241   ,  24 904   ,  13 006   ,  12 588   ,  25 594   ,  13 519   ,  13 052   ,  26 571   ,  14 048   ,  13 488   ,  27 536   ,  14 452   ,  13 772   ,  28 224   ,  14 507   ,  13 723   ,  28 230   ,  14 825   ,  13 933   ,  28 758   ,  14 792   ,  13 843   ,  28 635   ,  14 903   ,  13 912   ,  28 815   ,  15 058   ,  14 031   ,  29 089   ,  15 193   ,  14 130   ,  29 323   ,  15 311   ,  14 213   ,  29 524   ,  15 424   ,  14 288   ,  29 712   
,11,  11 289   ,  10 596   ,  21 885   ,  11 642   ,  10 957   ,  22 599   ,  12 137   ,  11 481   ,  23 618   ,  12 525   ,  11 916   ,  24 441   ,  12 785   ,  12 217   ,  25 002   ,  13 133   ,  12 566   ,  25 699   ,  13 645   ,  13 018   ,  26 663   ,  14 183   ,  13 454   ,  27 637   ,  14 276   ,  13 440   ,  27 716   ,  14 692   ,  13 723   ,  28 415   ,  14 997   ,  13 917   ,  28 914   ,  14 965   ,  13 827   ,  28 792   ,  15 078   ,  13 895   ,  28 973   ,  15 237   ,  14 015   ,  29 252   ,  15 374   ,  14 113   ,  29 487   ,  15 493   ,  14 194   ,  29 687   
,12,  10 713   ,  10 000   ,  20 713   ,  11 114   ,  10 360   ,  21 474   ,  11 464   ,  10 713   ,  22 177   ,  11 954   ,  11 226   ,  23 180   ,  12 340   ,  11 652   ,  23 992   ,  12 599   ,  11 947   ,  24 546   ,  12 935   ,  12 278   ,  25 213   ,  13 443   ,  12 721   ,  26 164   ,  13 675   ,  12 863   ,  26 538   ,  14 105   ,  13 165   ,  27 270   ,  14 499   ,  13 426   ,  27 925   ,  14 801   ,  13 615   ,  28 416   ,  14 771   ,  13 527   ,  28 298   ,  14 885   ,  13 595   ,  28 480   ,  15 042   ,  13 711   ,  28 753   ,  15 177   ,  13 807   ,  28 984   
,13,  10 116   ,  9 407   ,  19 523   ,  10 661   ,  9 865   ,  20 526   ,  11 062   ,  10 221   ,  21 283   ,  11 414   ,  10 570   ,  21 984   ,  11 906   ,  11 077   ,  22 983   ,  12 293   ,  11 499   ,  23 792   ,  12 543   ,  11 780   ,  24 323   ,  12 883   ,  12 109   ,  24 992   ,  13 107   ,  12 275   ,  25 382   ,  13 661   ,  12 714   ,  26 375   ,  14 075   ,  12 998   ,  27 073   ,  14 469   ,  13 255   ,  27 724   ,  14 771   ,  13 441   ,  28 212   ,  14 744   ,  13 355   ,  28 099   ,  14 859   ,  13 421   ,  28 280   ,  15 016   ,  13 534   ,  28 550   
,14,  9 554   ,  8 969   ,  18 523   ,  9 994   ,  9 286   ,  19 280   ,  10 535   ,  9 740   ,  20 275   ,  10 935   ,  10 092   ,  21 027   ,  11 286   ,  10 438   ,  21 724   ,  11 776   ,  10 938   ,  22 714   ,  12 151   ,  11 345   ,  23 496   ,  12 403   ,  11 623   ,  24 026   ,  12 470   ,  11 692   ,  24 162   ,  12 994   ,  12 141   ,  25 135   ,  13 528   ,  12 562   ,  26 090   ,  13 939   ,  12 841   ,  26 780   ,  14 332   ,  13 095   ,  27 427   ,  14 633   ,  13 278   ,  27 911   ,  14 607   ,  13 192   ,  27 799   ,  14 720   ,  13 256   ,  27 976   
,15,  8 641   ,  8 534   ,  17 175   ,  9 113   ,  8 804   ,  17 917   ,  9 536   ,  9 116   ,  18 652   ,  10 057   ,  9 563   ,  19 620   ,  10 442   ,  9 908   ,  20 350   ,  10 780   ,  10 247   ,  21 027   ,  11 241   ,  10 730   ,  21 971   ,  11 605   ,  11 130   ,  22 735   ,  11 601   ,  11 168   ,  22 769   ,  11 947   ,  11 503   ,  23 450   ,  12 436   ,  11 933   ,  24 369   ,  12 949   ,  12 345   ,  25 294   ,  13 344   ,  12 618   ,  25 962   ,  13 721   ,  12 868   ,  26 589   ,  14 012   ,  13 047   ,  27 059   ,  13 986   ,  12 960   ,  26 946   
,16,  7 764   ,  8 148   ,  15 912   ,  8 328   ,  8 456   ,  16 784   ,  8 786   ,  8 725   ,  17 511   ,  9 197   ,  9 035   ,  18 232   ,  9 702   ,  9 478   ,  19 180   ,  10 076   ,  9 819   ,  19 895   ,  10 396   ,  10 147   ,  20 543   ,  10 845   ,  10 626   ,  21 471   ,  10 965   ,  10 794   ,  21 759   ,  11 222   ,  11 083   ,  22 305   ,  11 545   ,  11 403   ,  22 948   ,  12 018   ,  11 827   ,  23 845   ,  12 516   ,  12 235   ,  24 751   ,  12 900   ,  12 505   ,  25 405   ,  13 267   ,  12 752   ,  26 019   ,  13 547   ,  12 927   ,  26 474   
,17,  7 112   ,  8 030   ,  15 142   ,  7 473   ,  8 104   ,  15 577   ,  8 019   ,  8 411   ,  16 430   ,  8 463   ,  8 679   ,  17 142   ,  8 863   ,  8 988   ,  17 851   ,  9 352   ,  9 428   ,  18 780   ,  9 707   ,  9 760   ,  19 467   ,  10 018   ,  10 087   ,  20 105   ,  10 236   ,  10 346   ,  20 582   ,  10 595   ,  10 756   ,  21 351   ,  10 831   ,  11 031   ,  21 862   ,  11 143   ,  11 349   ,  22 492   ,  11 602   ,  11 770   ,  23 372   ,  12 085   ,  12 176   ,  24 261   ,  12 458   ,  12 444   ,  24 902   ,  12 812   ,  12 687   ,  25 499   
