indicateur,statut_juridique,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine,tranche_d_age,type,rubrique,localit
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,,Nombre,2016,1450,1450,2016,2016,annuelle,2016,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises,55 ans et plus,,,
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,,Nombre,2017,424,424,2017,2017,annuelle,2017,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises,55 ans et plus,,,
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,,Nombre,2018,1075,1075,2018,2018,annuelle,2018,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises,55 ans et plus,,,
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,,Nombre,2019,843,843,2019,2019,annuelle,2019,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises,55 ans et plus,,,
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,,Nombre,2010,4570,4570,2010,2010,annuelle,2010,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises,Ensemble,,,
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,,Nombre,2011,4949,4949,2011,2011,annuelle,2011,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises,Ensemble,,,
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,,Nombre,2012,5928,5928,2012,2012,annuelle,2012,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises,Ensemble,,,
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,,Nombre,2013,7180,7180,2013,2013,annuelle,2013,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises,Ensemble,,,
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,,Nombre,2014,8561,8561,2014,2014,annuelle,2014,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises,Ensemble,,,
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,,Nombre,2015,7564,7564,2015,2015,annuelle,2015,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises,Ensemble,,,
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,,Nombre,2016,11661,11661,2016,2016,annuelle,2016,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises,Ensemble,,,
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,,Nombre,2017,12609,12609,2017,2017,annuelle,2017,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises,Ensemble,,,
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,,Nombre,2018,12511,12511,2018,2018,annuelle,2018,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises,Ensemble,,,
Création des entreprises enregistrées au CEFORE selon l’âge du promoteur,,Nombre,2019,13137,13137,2019,2019,annuelle,2019,Création des entreprises enregistrées au CEFORE selon l’âge du promoteur.csv,entreprises,Ensemble,,,
Nombre et coût de projets financés par type de fonds,,Nombre,2003,1255,1255,2003,2003,annuelle,2003,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
Nombre et coût de projets financés par type de fonds,,Nombre,2004,1374,1374,2004,2004,annuelle,2004,Nombre de cout de projets finances.csv,entreprises,,Ensemble,Nombre,
