indicateur,rubrique,region,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Centre-Sud,%,2003,7.2,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Est,%,2003,6.7,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Hauts-Bassins,%,2003,7.3,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Nord,%,2003,13.6,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Plateau Central,%,2003,7.8,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Sahel,%,2003,4.7,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_CTR),Sud-Ouest,%,2003,5.5,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Burkina Faso,%,2003,7.1,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Boucle du Mouhoun,%,2003,9.6,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Cascades,%,2003,7.4,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Centre,%,2003,2.9,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Centre-Est,%,2003,9.1,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Centre-Nord,%,2003,2.8,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Centre-Ouest,%,2003,6.8,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Centre-Sud,%,2003,13.5,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Est,%,2003,5.3,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Hauts-Bassins,%,2003,4.5,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Nord,%,2003,11.8,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Plateau Central,%,2003,9.5,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Sahel,%,2003,5.8,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Sud-Ouest,%,2003,7.3,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Burkina Faso,%,2003,48.6,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Burkina Faso,%,2009,46.7,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Burkina Faso,%,2014,40.1,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Burkina Faso,%,2018,41.4,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Boucle du Mouhoun,%,2003,36.9,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Boucle du Mouhoun,%,2009,42.3,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Boucle du Mouhoun,%,2014,59.7,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Boucle du Mouhoun,%,2018,50.6,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Cascades,%,2003,66.7,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Cascades,%,2009,48.1,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Cascades,%,2014,22.6,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Cascades,%,2018,20.6,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre,%,2003,34.9,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre,%,2009,41.5,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre,%,2014,9.6,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre,%,2018,5.3,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Est,%,2003,38.7,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Est,%,2009,62.1,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Est,%,2014,36.1,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Est,%,2018,53.3,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Nord,%,2003,58.4,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Centre-Nord,%,2009,57.0,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages
