indicateur,rubrique,r_gion,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Répartition des ménages selon le lieu d'aisance par région,Latrines VIP,Centre-Nord,%,2018,9.6,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines VIP,Centre-Ouest,%,2018,3.1,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines VIP,Centre-Sud,%,2018,1.0,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines VIP,Est,%,2018,3.0,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines VIP,Hauts Bassins,%,2018,1.8,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines VIP,Nord,%,2018,0.1,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines VIP,Plateau-Central,%,2018,1.3,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines VIP,Sahel,%,2018,19.1,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines VIP,Sud-Ouest,%,2018,1.7,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
Répartition des ménages selon le lieu d'aisance par région,Latrines VIP,Burkina Faso,%,2018,5.2,2018,2018,annuelle,2018,Répartition des ménages selon le lieu d'aisance par région en 2018.csv,vulnerabilite_menages
