indicateur,rubrique,localites,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont le Mur du batiment principal est en matériaux non définitifs,NATIONAL,%,2018,62.9,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont le Mur du batiment principal est en matériaux non définitifs,Milieu Urbain,%,2014,38.6,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont le Mur du batiment principal est en matériaux non définitifs,Milieu Urbain,%,2018,21.6,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont le Mur du batiment principal est en matériaux non définitifs,Milieu Rural,%,2014,91.5,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont le Mur du batiment principal est en matériaux non définitifs,Milieu Rural,%,2018,81.6,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont la toiture du batiment principal est en matériaux non définitifs,NATIONAL,%,2014,34.8,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont la toiture du batiment principal est en matériaux non définitifs,NATIONAL,%,2018,19.5,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont la toiture du batiment principal est en matériaux non définitifs,Milieu Urbain,%,2014,5.0,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont la toiture du batiment principal est en matériaux non définitifs,Milieu Urbain,%,2018,1.69999999999999,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont la toiture du batiment principal est en matériaux non définitifs,Milieu Rural,%,2014,46.5,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont la toiture du batiment principal est en matériaux non définitifs,Milieu Rural,%,2018,27.6,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont le logement principal est en matériaux non définitifs,NATIONAL,%,2014,77.0,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont le logement principal est en matériaux non définitifs,NATIONAL,%,2018,62.5,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont le logement principal est en matériaux non définitifs,Milieu Urbain,%,2014,39.5,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont le logement principal est en matériaux non définitifs,Milieu Urbain,%,2018,21.5,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont le logement principal est en matériaux non définitifs,Milieu Rural,%,2014,91.9,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage dont le logement principal est en matériaux non définitifs,Milieu Rural,%,2018,81.2,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménages vivant en Zone Lotie,NATIONAL,%,2014,28.1,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménages vivant en Zone Lotie,Milieu Urbain,%,2014,82.8,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménages vivant en Zone Lotie,Milieu Rural,%,2014,6.5,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage utilisant principalement les Combustibles solides (bois et dérivés) comme source d'énergie,NATIONAL,%,2014,90.1,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage utilisant principalement les Combustibles solides (bois et dérivés) comme source d'énergie,NATIONAL,%,2018,76.1,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage utilisant principalement les Combustibles solides (bois et dérivés) comme source d'énergie,Milieu Urbain,%,2014,68.2,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage utilisant principalement les Combustibles solides (bois et dérivés) comme source d'énergie,Milieu Urbain,%,2018,35.9,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage utilisant principalement les Combustibles solides (bois et dérivés) comme source d'énergie,Milieu Rural,%,2014,98.7,2014,2014,annuelle,2014,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
Quelques indicateurs sur les conditions de vie des ménages,% de ménage utilisant principalement les Combustibles solides (bois et dérivés) comme source d'énergie,Milieu Rural,%,2018,94.4,2018,2018,annuelle,2018,Quelques indicateurs sur les conditions de vie des ménages.csv,vulnerabilite_menages
