annee,indicateur,valeur_moyenne
2006,Nombre d'allocataires,72.2
2006,Nombre d'employeurs du régime général,22.4
2006,Nombre d'enfants d'allocataires,192.5
2006,Nombre d'immatriculés,175.3
2006,Nombre de pensionnés,35.5
2006,Population utilisant des combustibles modernes pour cuisiner,4.4
2006,Pourcentage de la population ayant accès à des robinets,27.2
2006,Pourcentage de la population ayant des toilettes saines,0.6
2006,Pourcentage des ménages ayant accès à des robinets,23.8
2006,Pourcentage des ménages ayant des toilettes saines,2.4
2006,Pourcentage des ménages ayant une évacuation saine des ordures,10.1
2006,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,11.6
2006,Pourcentage des ménages possédant au moins un ordinateur,0.7
2006,Pourcentage des ménages possédant au moins un téléphone portable,16.9
2006,Pourcentage des ménages possédant au moins un téléviseur,13.5
2006,Pourcentage des ménages possédant au moins une voiture,2.0
2007,Nombre d'accidents du travail,1512.0
2007,Nombre d'allocataires,46.4
2007,Nombre d'employeurs du régime général,25.0
2007,Nombre d'enfants d'allocataires,147.6
2007,Nombre d'immatriculés,190.4
2007,Nombre de pensionnés,34.8
2007,Population utilisant des combustibles modernes pour cuisiner,6.8
2007,Pourcentage des ménages ayant accès à des robinets,23.1
2007,Pourcentage des ménages ayant des toilettes saines,5.8
2007,Pourcentage des ménages ayant une évacuation saine des ordures,9.1
2007,Pourcentage des ménages disposant de certains biens par région,35.32142857142857
2007,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,13.9
2007,Pourcentage des ménages possédant au moins un ordinateur,1.6
2007,Pourcentage des ménages possédant au moins un téléphone portable,21.6
2007,Pourcentage des ménages possédant au moins un téléviseur,16.9
2007,Pourcentage des ménages possédant au moins une voiture,2.8
2008,Nombre d'accidents du travail,1532.0
2008,Nombre d'allocataires,51.7
2008,Nombre d'employeurs du régime général,25.1
2008,Nombre d'enfants d'allocataires,154.9
2008,Nombre d'immatriculés,206.7
2008,Nombre de pensionnés,34.9
2009,Dépenses annuelles de consommation par ménage,1275.3
2009,Dépenses annuelles de consommation par tête,189.4
2009,Dépenses moyennes par région,54076839626.37255
2009,Evolution des indices de pauvreté,32700.875
2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,43.40555555555555
2009,Indicateurs de pauvreté et contributions des régions à la pauvreté,18.63452380952381
2009,Nombre d'accidents du travail,1673.0
2009,Nombre d'allocataires,58.0
2009,Nombre d'employeurs du régime général,37.2
2009,Nombre d'enfants d'allocataires,168.6
2009,Nombre d'immatriculés,224.2
2009,Nombre de pensionnés,35.5
2009,Part du quintile des ménages les plus pauvres dans la consommation nationale,6.7
2009,Part du quintile des ménages les plus riches dans la consommation nationale,47.0
2009,Pourcentage des dépenses alimentaires dans l'ensemble des dépenses des ménages,52.3
2009,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,14.0
2009,Pourcentage des ménages dont le mode principal d'électrictité est les plaques solaires,0.7
2009,Profondeur de la pauvreté,0.151
2009,Seuil de pauvreté,130.7
2009,Taux de pauvreté au seuil de pauvreté national,46.7
2010,Nombre d'accidents du travail,1613.0
2010,Nombre d'allocataires,61.5
2010,Nombre d'employeurs du régime général,41.5
2010,Nombre d'enfants d'allocataires,182.7
2010,Nombre d'immatriculés,243.4
2010,Nombre de pensionnés,39.6
2010,Population utilisant des combustibles modernes pour cuisiner,5.3
2010,Pourcentage de la population ayant accès à des robinets,21.0
2010,Pourcentage de la population ayant des toilettes saines,1.7
2010,Pourcentage des ménages ayant accès à des robinets,23.6
2010,Pourcentage des ménages ayant des toilettes saines,1.9
2010,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,13.1
2010,Pourcentage des ménages possédant au moins un ordinateur,1.6
2010,Pourcentage des ménages possédant au moins un téléphone portable,59.2
2010,Pourcentage des ménages possédant au moins un téléviseur,16.2
2010,Pourcentage des ménages possédant au moins une voiture,2.0
2011,Nombre d'accidents du travail,1812.0
2011,Nombre d'allocataires,67.0
2011,Nombre d'employeurs du régime général,46.9
2011,Nombre d'enfants d'allocataires,199.2
2011,Nombre d'immatriculés,261.9
2011,Nombre de pensionnés,35.8
2012,Nombre d'accidents du travail,1803.0
2012,Nombre d'allocataires,71.2
2012,Nombre d'employeurs du régime général,53.0
2012,Nombre d'enfants d'allocataires,207.8
2012,Nombre d'immatriculés,283.5
2012,Nombre de pensionnés,38.8
2013,Nombre d'accidents du travail,2012.0
2013,Nombre d'allocataires,79.3
2013,Nombre d'employeurs du régime général,61.3
2013,Nombre d'enfants d'allocataires,226.3
2013,Nombre d'immatriculés,298.6
2013,Nombre de pensionnés,42.2
2014,Dépenses annuelles de consommation par ménage,1533.2
2014,Dépenses annuelles de consommation par tête,207.9
2014,Evolution des indices de pauvreté,38395.775
2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,40.76111111111111
2014,Indicateurs de pauvreté et contributions des régions à la pauvreté,16.101190476190474
2014,Indice de Gini,0.353
2014,Nombre d'accidents du travail,1959.0
2014,Nombre d'allocataires,83.4
2014,Nombre d'employeurs du régime général,71.1
2014,Nombre d'enfants d'allocataires,247.3
2014,Nombre d'immatriculés,323.1
2014,Nombre de pensionnés,45.5
2014,Part du quintile des ménages les plus pauvres dans la consommation nationale,8.3
2014,Part du quintile des ménages les plus riches dans la consommation nationale,44.1
2014,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,19.3
2014,Pourcentage des ménages dont le mode principal d'électrictité est les plaques solaires,5.0
2014,Pourcentage des ménages possédant au moins un ordinateur,4.8
2014,Pourcentage des ménages possédant au moins un téléphone portable,64.3
2014,Pourcentage des ménages possédant au moins un téléviseur,21.4
2014,Pourcentage des ménages possédant au moins une voiture,3.2
2014,Profondeur de la pauvreté,0.097
2014,Quelques indicateurs sur les conditions de vie des ménages,51.00833333333333
2014,Seuil de pauvreté,153.5
2014,Taux de pauvreté au seuil de pauvreté national,40.1
2015,Nombre d'accidents du travail,1742.0
2015,Nombre d'allocataires,91.4
2015,Nombre d'employeurs du régime général,78.7
2015,Nombre d'enfants d'allocataires,269.3
2015,Nombre d'immatriculés,346.3
2015,Nombre de pensionnés,48.2
2016,Nombre d'accidents du travail,1545.0
2016,Nombre d'allocataires,98.9
2016,Nombre d'employeurs du régime général,90.4
2016,Nombre d'enfants d'allocataires,249.3
2016,Nombre d'immatriculés,369.5
2016,Nombre de pensionnés,48.1
2017,Nombre d'accidents du travail,1568.0
2017,Nombre d'allocataires,60.3
2017,Nombre d'employeurs du régime général,105.0
2017,Nombre d'enfants d'allocataires,212.7
2017,Nombre d'immatriculés,397.5
2017,Nombre de pensionnés,48.9
2018,Dépenses annuelles de consommation par ménage,2055.8
2018,Dépenses annuelles de consommation par tête,425.5
2018,Dépenses moyennes par région,118762569311.37619
2018,Evolution des indices de pauvreté,41252.125
2018,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,26.808333333333334
2018,Indicateurs de pauvreté et contributions des régions à la pauvreté,18.333928571428572
2018,Indice de Gini,0.386
2018,Nombre d'accidents du travail,1408.0
2018,Nombre d'allocataires,67.2
2018,Nombre d'employeurs du régime général,118.9
2018,Nombre d'enfants d'allocataires,227.7
2018,Nombre d'immatriculés,425.8
2018,Nombre de pensionnés,50.7
2018,Part du quintile des ménages les plus pauvres dans la consommation nationale,7.6
2018,Part du quintile des ménages les plus riches dans la consommation nationale,46.7
2018,Pourcentage des dépenses alimentaires dans l'ensemble des dépenses des ménages,47.9
2018,Pourcentage des ménages ayant accès à des robinets,40.3
2018,Pourcentage des ménages disposant de certains biens par région,34.858163265306125
2018,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,20.5
2018,Pourcentage des ménages dont le mode principal d'électrictité est les plaques solaires,25.6
2018,Pourcentage des ménages possédant au moins un ordinateur,6.3
2018,Pourcentage des ménages possédant au moins un téléphone portable,85.0
2018,Pourcentage des ménages possédant au moins un téléviseur,26.0
2018,Pourcentage des ménages possédant au moins une voiture,4.2
2018,Profondeur de la pauvreté,0.123
2018,Quelques indicateurs sur les conditions de vie des ménages,44.96190476190476
2018,Revenu des emplois des ménages,455945739707.7164
2018,Répartition des ménages par région selon la nature des murs du logement,28.569387755102042
2018,Répartition des ménages par région selon le mode d'approvisionnement en eau,18.18246753246753
2018,Répartition des ménages selon le lieu d'aisance par région,19.99857142857143
2018,Répartition ménages par Rég selon le mode d'énergie pour la cuisine,25.000892857142855
2018,Seuil de pauvreté,194.6
2018,Taux de pauvreté au seuil de pauvreté national,41.4
2019,Nombre d'accidents du travail,1303.0
2019,Nombre d'allocataires,76.2
2019,Nombre d'employeurs du régime général,130.4
2019,Nombre d'enfants d'allocataires,241.3
2019,Nombre d'immatriculés,454.2
2019,Nombre de pensionnés,52.5
2019,Population utilisant des combustibles modernes pour cuisiner,17.5
2019,Pourcentage des ménages ayant accès à des robinets,38.4
2019,Pourcentage des ménages ayant des toilettes saines,4.5
2019,Pourcentage des ménages ayant une évacuation saine des ordures,17.3
2019,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,17.6
2019,Pourcentage des ménages dont le mode principal d'électrictité est les plaques solaires,34.7
2019,Pourcentage des ménages possédant au moins un ordinateur,5.6
2019,Pourcentage des ménages possédant au moins un téléphone portable,86.1
2019,Pourcentage des ménages possédant au moins un téléviseur,29.7
2019,Pourcentage des ménages possédant au moins une voiture,3.4
2020,Nombre d'accidents du travail,1383.0
2020,Nombre d'allocataires,84.4
2020,Nombre d'employeurs du régime général,145.0
2020,Nombre d'enfants d'allocataires,245.5
2020,Nombre d'immatriculés,483.2
2020,Nombre de pensionnés,53.9
2021,Dépenses annuelles de consommation par ménage,2518.4
2021,Dépenses annuelles de consommation par tête,383.6
2021,Evolution des indices de pauvreté,61966.9
2021,Indice de Gini,0.366
2021,Nombre d'accidents du travail,1334.0
2021,Nombre d'allocataires,88.6
2021,Nombre d'employeurs du régime général,161.3
2021,Nombre d'enfants d'allocataires,254.0
2021,Nombre d'immatriculés,516.2
2021,Nombre de pensionnés,55.6
2021,Part du quintile des ménages les plus pauvres dans la consommation nationale,6.6
2021,Part du quintile des ménages les plus riches dans la consommation nationale,45.8
2021,Population utilisant des combustibles modernes pour cuisiner,12.4
2021,Pourcentage de la population ayant accès à des robinets,18.9
2021,Pourcentage de la population ayant des toilettes saines,2.4
2021,Pourcentage des dépenses alimentaires dans l'ensemble des dépenses des ménages,45.1
2021,Pourcentage des ménages ayant accès à des robinets,23.2
2021,Pourcentage des ménages ayant des toilettes saines,3.6
2021,Pourcentage des ménages dont le mode principal d'électrictité est l'électricité réseau,16.2
2021,Pourcentage des ménages dont le mode principal d'électrictité est les plaques solaires,46.0
2021,Pourcentage des ménages possédant au moins un ordinateur,7.8
2021,Pourcentage des ménages possédant au moins un téléphone portable,95.9
2021,Pourcentage des ménages possédant au moins un téléviseur,34.6
2021,Pourcentage des ménages possédant au moins une voiture,4.3
2021,Profondeur de la pauvreté,0.13
2021,Quelques indicateurs sur les conditions de vie des ménages,41.58888888888889
2021,Seuil de pauvreté,247.8
2021,Taux de pauvreté au seuil de pauvreté national,43.2
2022,Nombre d'accidents du travail,1330.0
2022,Nombre d'allocataires,91.1
2022,Nombre d'employeurs du régime général,177.0
2022,Nombre d'enfants d'allocataires,257.7
2022,Nombre d'immatriculés,545.1
2022,Nombre de pensionnés,57.8
2023,Nombre d'accidents du travail,1202.0
2023,Nombre d'allocataires,93.2
2023,Nombre d'employeurs du régime général,195.7
2023,Nombre d'enfants d'allocataires,257.5
2023,Nombre d'immatriculés,586.6
2023,Nombre de pensionnés,59.1
2024,Nombre d'accidents du travail,1171.0
2024,Nombre d'allocataires,97.4
2024,Nombre d'employeurs du régime général,216.7
2024,Nombre d'enfants d'allocataires,268.5
2024,Nombre d'immatriculés,617.0
2024,Nombre de pensionnés,62.2
