indicateur,rubrique,milieu,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),Milieu urbain,%,2014,13.7,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),Milieu urbain,%,2018,10.0,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),Ensemble,%,2003,48.6,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),Ensemble,%,2009,46.7,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),Ensemble,%,2014,40.1,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_PO),Ensemble,%,2018,36.2,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),Milieu rural,%,2003,8.1,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),Milieu rural,%,2009,12.0,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),Milieu rural,%,2014,92.5,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),Milieu rural,%,2018,93.3,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),Milieu urbain,%,2003,91.9,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),Milieu urbain,%,2009,88.0,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),Milieu urbain,%,2014,7.5,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),Milieu urbain,%,2018,6.7,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),Ensemble,%,2003,100.0,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),Ensemble,%,2009,100.0,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),Ensemble,%,2014,100.0,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),Ensemble,%,2018,100.0,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),Milieu rural,%,2003,6.0,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),Milieu rural,%,2009,6.8,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),Milieu rural,%,2014,11.6,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),Milieu rural,%,2018,11.2,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),Milieu urbain,%,2003,19.3,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),Milieu urbain,%,2009,17.5,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),Milieu urbain,%,2014,2.9,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),Milieu urbain,%,2018,2.2,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),Ensemble,%,2003,16.9,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),Ensemble,%,2009,15.1,2009,2009,annuelle,2009,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),Ensemble,%,2014,9.7,2014,2014,annuelle,2014,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),Ensemble,%,2018,9.3,2018,2018,annuelle,2018,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),Milieu rural,%,2003,6.4,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté.csv,vulnerabilite_menages
