date,region,province,marche,categorie,produit,unit,statut_prix,type_prix,devise,prix_local,prix_usd,date_source,periode_normalisee,granularite_temporelle,annee,trimestre,mois,source_fichier,domaine
avril 1992,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,cereales et tubercules,mil,KG,observe,detail,XOF,71.0,0.17,avril 1992,avril 1992,mensuelle,1992,2,4,wfp_food_prices_bfa.csv,prix
avril 1992,SAHEL,SOUM,Djibo,cereales et tubercules,mil,KG,observe,detail,XOF,65.0,0.15,avril 1992,avril 1992,mensuelle,1992,2,4,wfp_food_prices_bfa.csv,prix
avril 1992,SUD-OUEST,BOUGOURIBA,Diebougou,cereales et tubercules,mil,KG,observe,detail,XOF,79.67,0.19,avril 1992,avril 1992,mensuelle,1992,2,4,wfp_food_prices_bfa.csv,prix
mai 1992,BOUCLE DU MOUHOUN,SOUROU,Tougan,cereales et tubercules,mil,KG,observe,detail,XOF,68.0,0.16,mai 1992,mai 1992,mensuelle,1992,2,5,wfp_food_prices_bfa.csv,prix
mai 1992,CENTRE,KADIOGO,Ouagadougo (Sankaryare),cereales et tubercules,mil,KG,observe,detail,XOF,87.0,0.21,mai 1992,mai 1992,mensuelle,1992,2,5,wfp_food_prices_bfa.csv,prix
mai 1992,CENTRE-EST,BOULGOU,Tenkodogo,cereales et tubercules,mil,KG,observe,detail,XOF,79.0,0.19,mai 1992,mai 1992,mensuelle,1992,2,5,wfp_food_prices_bfa.csv,prix
mai 1992,CENTRE-NORD,BAM,Kongoussi,cereales et tubercules,mil,KG,observe,detail,XOF,64.0,0.15,mai 1992,mai 1992,mensuelle,1992,2,5,wfp_food_prices_bfa.csv,prix
mai 1992,CENTRE-OUEST,BOULKIEMDÉ,Koudougou,cereales et tubercules,mil,KG,observe,detail,XOF,71.0,0.17,mai 1992,mai 1992,mensuelle,1992,2,5,wfp_food_prices_bfa.csv,prix
mai 1992,SAHEL,OUDALAN,Gorom Gorom,cereales et tubercules,mil,KG,observe,detail,XOF,87.33,0.21,mai 1992,mai 1992,mensuelle,1992,2,5,wfp_food_prices_bfa.csv,prix
mai 1992,SAHEL,SOUM,Djibo,cereales et tubercules,mil,KG,observe,detail,XOF,63.0,0.15,mai 1992,mai 1992,mensuelle,1992,2,5,wfp_food_prices_bfa.csv,prix
