indicateur,r_gion,produits,unit,date,value,valeur,date_source,periode_normalisee,granularite_temporelle,annee,trimestre,mois,source_fichier,domaine
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Chou vert,FCFA/kg,juillet 2024,1727.49,1727.49,juillet 2024,juillet 2024,mensuelle,2024,3,7,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Chou vert,FCFA/kg,aout 2024,852.113,852.113,aout 2024,aout 2024,mensuelle,2024,3,8,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Chou vert,FCFA/kg,septembre 2024,534.188,534.188,septembre 2024,septembre 2024,mensuelle,2024,3,9,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Chou vert,FCFA/kg,novembre 2024,358.672939576226,358.672939576226,novembre 2024,novembre 2024,mensuelle,2024,4,11,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Chou vert,FCFA/kg,decembre 2024,254.051,254.051,decembre 2024,decembre 2024,mensuelle,2024,4,12,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Chou vert,FCFA/kg,janvier 2025,333.34138339644,333.34138339644,janvier 2025,janvier 2025,mensuelle,2025,1,1,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Chou vert,FCFA/kg,fevrier 2025,173.805029359086,173.805029359086,fevrier 2025,fevrier 2025,mensuelle,2025,1,2,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Chou vert,FCFA/kg,mars 2025,215.979912346283,215.979912346283,mars 2025,mars 2025,mensuelle,2025,1,3,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Chou vert,FCFA/kg,avril 2025,299.193417297381,299.193417297381,avril 2025,avril 2025,mensuelle,2025,2,4,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Chou vert,FCFA/kg,mai 2025,581.56186591576,581.56186591576,mai 2025,mai 2025,mensuelle,2025,2,5,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Chou vert,FCFA/kg,juin 2025,521.231648590678,521.231648590678,juin 2025,juin 2025,mensuelle,2025,2,6,Prix moyens mensuels de quelques produits par région2.csv,prix
Prix moyens mensuels de quelques produits par région,Boucle du Mouhoun,Chou vert,FCFA/kg,juillet 2025,531.265938217225,531.265938217225,juillet 2025,juillet 2025,mensuelle,2025,3,7,Prix moyens mensuels de quelques produits par région2.csv,prix
