localite,hommes,femmes,ensemble,age_urbain,age_rural,age_ensemble,age_urbain_1,age_rural_1,age_ensemble_1,age_urbain_2,age_rural_2,age_ensemble_2,age_urbain_3,age_rural_3,age_ensemble_3,age_urbain_4,age_rural_4,age_ensemble_4,age_urbain_5,age_rural_5,age_ensemble_5,age_urbain_6,age_rural_6,age_ensemble_6,age_urbain_7,age_rural_7,age_ensemble_7,age_urbain_8,age_rural_8,age_ensemble_8,age_urbain_9,age_rural_9,age_ensemble_9,age_urbain_10,age_rural_10,age_ensemble_10,age_urbain_11,age_rural_11,age_ensemble_11,age_urbain_12,age_rural_12,valeur,indicateur,annee,date_source,date,periode_normalisee,granularite_temporelle,source_fichier,domaine
72,2713.0,1493.0,1220.0,276.0,126.0,150.0,2437.0,1367.0,1070.0,996.0,574.0,422.0,196.0,103.0,93.0,800.0,471.0,329.0,3801.0,1919.0,1882.0,3001.0,1538.0,1463.0,800.0,381.0,419.0,2717.0,1375.0,1342.0,456.0,206.0,250.0,2261.0,1169.0,1092.0,2952.0,1604.0,1348.0,294.0,137.0,1220.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
73,2270.0,1280.0,990.0,253.0,132.0,121.0,2017.0,1148.0,869.0,783.0,429.0,354.0,158.0,77.0,81.0,625.0,352.0,273.0,2800.0,1439.0,1361.0,2258.0,1174.0,1084.0,542.0,265.0,277.0,1969.0,968.0,1001.0,311.0,114.0,197.0,1658.0,854.0,804.0,2254.0,1240.0,1014.0,227.0,119.0,990.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
74,2456.0,1214.0,1242.0,242.0,99.0,143.0,2214.0,1115.0,1099.0,936.0,487.0,449.0,198.0,101.0,97.0,738.0,386.0,352.0,3121.0,1471.0,1650.0,2399.0,1144.0,1255.0,722.0,327.0,395.0,2228.0,1019.0,1209.0,304.0,111.0,193.0,1924.0,908.0,1016.0,2314.0,1194.0,1120.0,192.0,81.0,1242.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
75,3512.0,1548.0,1964.0,301.0,124.0,177.0,3211.0,1424.0,1787.0,1186.0,566.0,620.0,218.0,107.0,111.0,968.0,459.0,509.0,4155.0,1718.0,2437.0,3096.0,1311.0,1785.0,1059.0,407.0,652.0,3830.0,1605.0,2225.0,639.0,235.0,404.0,3191.0,1370.0,1821.0,3646.0,1641.0,2005.0,334.0,126.0,1964.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
76,1533.0,802.0,731.0,151.0,77.0,74.0,1382.0,725.0,657.0,580.0,317.0,263.0,106.0,51.0,55.0,474.0,266.0,208.0,2106.0,1047.0,1059.0,1632.0,810.0,822.0,474.0,237.0,237.0,1582.0,715.0,867.0,248.0,93.0,155.0,1334.0,622.0,712.0,1475.0,839.0,636.0,146.0,75.0,731.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
77,1541.0,810.0,731.0,157.0,64.0,93.0,1384.0,746.0,638.0,635.0,360.0,275.0,113.0,57.0,56.0,522.0,303.0,219.0,2047.0,987.0,1060.0,1584.0,749.0,835.0,463.0,238.0,225.0,1427.0,711.0,716.0,230.0,103.0,127.0,1197.0,608.0,589.0,1534.0,846.0,688.0,170.0,93.0,731.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
78,1283.0,632.0,651.0,114.0,48.0,66.0,1169.0,584.0,585.0,453.0,259.0,194.0,70.0,34.0,36.0,383.0,225.0,158.0,1624.0,765.0,859.0,1229.0,573.0,656.0,395.0,192.0,203.0,1282.0,600.0,682.0,253.0,113.0,140.0,1029.0,487.0,542.0,1284.0,669.0,615.0,114.0,58.0,651.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
79,1818.0,870.0,948.0,156.0,56.0,100.0,1662.0,814.0,848.0,608.0,300.0,308.0,113.0,49.0,64.0,495.0,251.0,244.0,1944.0,868.0,1076.0,1435.0,659.0,776.0,509.0,209.0,300.0,2181.0,1035.0,1146.0,300.0,124.0,176.0,1881.0,911.0,970.0,1960.0,1050.0,910.0,162.0,63.0,948.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
80 et +,12082.0,5311.0,6771.0,1049.0,414.0,635.0,11033.0,4897.0,6136.0,3596.0,1664.0,1932.0,573.0,220.0,353.0,3023.0,1444.0,1579.0,15679.0,6028.0,9651.0,11687.0,4595.0,7092.0,3992.0,1433.0,2559.0,15618.0,6433.0,9185.0,2543.0,876.0,1667.0,13075.0,5557.0,7518.0,15029.0,6851.0,8178.0,1376.0,536.0,6771.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
Total,1901269.0,946183.0,955086.0,183219.0,90272.0,92947.0,1718050.0,855911.0,862139.0,812466.0,391906.0,420560.0,157797.0,76515.0,81282.0,654669.0,315391.0,339278.0,3030384.0,1489512.0,1540872.0,2415266.0,1183557.0,1231709.0,615118.0,305955.0,309163.0,1580508.0,734885.0,845623.0,292822.0,138503.0,154319.0,1287686.0,596382.0,691304.0,1874669.0,887414.0,987255.0,199797.0,96098.0,955086.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
