localite,hommes,femmes,ensemble,age_urbain,age_rural,age_ensemble,age_urbain_1,age_rural_1,age_ensemble_1,age_urbain_2,age_rural_2,age_ensemble_2,age_urbain_3,age_rural_3,age_ensemble_3,age_urbain_4,age_rural_4,age_ensemble_4,age_urbain_5,age_rural_5,age_ensemble_5,age_urbain_6,age_rural_6,age_ensemble_6,age_urbain_7,age_rural_7,age_ensemble_7,age_urbain_8,age_rural_8,age_ensemble_8,age_urbain_9,age_rural_9,age_ensemble_9,age_urbain_10,age_rural_10,age_ensemble_10,age_urbain_11,age_rural_11,age_ensemble_11,age_urbain_12,age_rural_12,valeur,indicateur,annee,date_source,date,periode_normalisee,granularite_temporelle,source_fichier,domaine
42,13954.0,6922.0,7032.0,1477.0,798.0,679.0,12477.0,6124.0,6353.0,5746.0,2857.0,2889.0,1294.0,683.0,611.0,4452.0,2174.0,2278.0,29581.0,16893.0,12688.0,24126.0,13609.0,10517.0,5455.0,3284.0,2171.0,11095.0,4931.0,6164.0,2285.0,1170.0,1115.0,8810.0,3761.0,5049.0,12522.0,5572.0,6950.0,1619.0,821.0,7032.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
43,12772.0,6358.0,6414.0,1347.0,719.0,628.0,11425.0,5639.0,5786.0,5263.0,2596.0,2667.0,1231.0,659.0,572.0,4032.0,1937.0,2095.0,24515.0,13866.0,10649.0,20264.0,11425.0,8839.0,4251.0,2441.0,1810.0,8976.0,3974.0,5002.0,1856.0,927.0,929.0,7120.0,3047.0,4073.0,10363.0,4864.0,5499.0,1160.0,638.0,6414.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
44,11676.0,5753.0,5923.0,1224.0,641.0,583.0,10452.0,5112.0,5340.0,4797.0,2456.0,2341.0,1098.0,583.0,515.0,3699.0,1873.0,1826.0,21693.0,12046.0,9647.0,17917.0,9848.0,8069.0,3776.0,2198.0,1578.0,7994.0,3553.0,4441.0,1537.0,799.0,738.0,6457.0,2754.0,3703.0,9067.0,4144.0,4923.0,1042.0,512.0,5923.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
45,17862.0,8383.0,9479.0,1966.0,1073.0,893.0,15896.0,7310.0,8586.0,7296.0,3566.0,3730.0,1545.0,867.0,678.0,5751.0,2699.0,3052.0,32628.0,19511.0,13117.0,26223.0,15666.0,10557.0,6405.0,3845.0,2560.0,16442.0,7402.0,9040.0,3433.0,1756.0,1677.0,13009.0,5646.0,7363.0,17199.0,7497.0,9702.0,1991.0,1073.0,9479.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
46,10764.0,5400.0,5364.0,1095.0,584.0,511.0,9669.0,4816.0,4853.0,4144.0,2105.0,2039.0,931.0,529.0,402.0,3213.0,1576.0,1637.0,18572.0,10284.0,8288.0,15330.0,8490.0,6840.0,3242.0,1794.0,1448.0,7822.0,3456.0,4366.0,1439.0,706.0,733.0,6383.0,2750.0,3633.0,8458.0,3751.0,4707.0,968.0,486.0,5364.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
47,10694.0,5328.0,5366.0,1076.0,575.0,501.0,9618.0,4753.0,4865.0,4199.0,2080.0,2119.0,999.0,531.0,468.0,3200.0,1549.0,1651.0,19509.0,10982.0,8527.0,16276.0,9125.0,7151.0,3233.0,1857.0,1376.0,8454.0,3833.0,4621.0,1631.0,826.0,805.0,6823.0,3007.0,3816.0,9299.0,4102.0,5197.0,1002.0,520.0,5366.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
48,9269.0,4623.0,4646.0,941.0,507.0,434.0,8328.0,4116.0,4212.0,3601.0,1805.0,1796.0,842.0,460.0,382.0,2759.0,1345.0,1414.0,16332.0,9135.0,7197.0,13665.0,7634.0,6031.0,2667.0,1501.0,1166.0,6938.0,3069.0,3869.0,1341.0,665.0,676.0,5597.0,2404.0,3193.0,7680.0,3399.0,4281.0,847.0,437.0,4646.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
49,11335.0,5432.0,5903.0,1000.0,536.0,464.0,10335.0,4896.0,5439.0,4977.0,2465.0,2512.0,1138.0,609.0,529.0,3839.0,1856.0,1983.0,17728.0,9690.0,8038.0,14749.0,8090.0,6659.0,2979.0,1600.0,1379.0,8843.0,3822.0,5021.0,1445.0,710.0,735.0,7398.0,3112.0,4286.0,9654.0,4631.0,5023.0,920.0,454.0,5903.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
50,16631.0,7376.0,9255.0,1549.0,800.0,749.0,15082.0,6576.0,8506.0,6640.0,3000.0,3640.0,1233.0,638.0,595.0,5407.0,2362.0,3045.0,25700.0,14400.0,11300.0,20558.0,11705.0,8853.0,5142.0,2695.0,2447.0,16250.0,7038.0,9212.0,2873.0,1422.0,1451.0,13377.0,5616.0,7761.0,19215.0,8256.0,10959.0,1879.0,996.0,9255.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
51,8590.0,4257.0,4333.0,829.0,420.0,409.0,7761.0,3837.0,3924.0,3531.0,1778.0,1753.0,691.0,356.0,335.0,2840.0,1422.0,1418.0,13230.0,7140.0,6090.0,10913.0,5921.0,4992.0,2317.0,1219.0,1098.0,6396.0,2893.0,3503.0,1075.0,535.0,540.0,5321.0,2358.0,2963.0,7163.0,3399.0,3764.0,648.0,329.0,4333.0,population_residente,2019,2019,2019,2019,annuelle,"Population résidente par année d'âge selon la région, le milieu de résidence et le sexe en 2019.xlsx - Ensemble des régions.csv",demographie
