indicateur,age,sexe,annee,date_source,date,periode_normalisee,granularite_temporelle,valeur,region,projection_type,source_fichier
population_projettee,0,ensemble,2033,2033,2033,2033,annuelle,44358.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,homme,2034,2034,2034,2034,annuelle,23079.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,femme,2034,2034,2034,2034,annuelle,21853.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,ensemble,2034,2034,2034,2034,annuelle,44932.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,homme,2035,2035,2035,2035,annuelle,23356.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,femme,2035,2035,2035,2035,annuelle,22115.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,0,ensemble,2035,2035,2035,2035,annuelle,45471.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,homme,2020,2020,2020,2020,annuelle,21420.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,femme,2020,2020,2020,2020,annuelle,20304.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,ensemble,2020,2020,2020,2020,annuelle,41724.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,homme,2021,2021,2021,2021,annuelle,21272.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,femme,2021,2021,2021,2021,annuelle,20103.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,ensemble,2021,2021,2021,2021,annuelle,41375.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,homme,2022,2022,2022,2022,annuelle,21332.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
population_projettee,1,femme,2022,2022,2022,2022,annuelle,20139.0,BANKUI,projection_regional,BANKUI.xlsx - BANKUI.csv
