indicateur,tranche_d_age,sexe,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine
Evolution de la population par groupes d'âge et par sexe,5 - 9,Ensemble,Nombre,1975,931794.0,1975,1975,annuelle,1975,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,5 - 9,Ensemble,Nombre,1985,1446777.0,1985,1985,annuelle,1985,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,5 - 9,Ensemble,Nombre,1991,1712644.0,1991,1991,annuelle,1991,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,5 - 9,Ensemble,Nombre,1996,1805497.07994107,1996,1996,annuelle,1996,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,5 - 9,Ensemble,Nombre,2006,2315710.0,2006,2006,annuelle,2006,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,5 - 9,Ensemble,Nombre,2019,3279794.0,2019,2019,annuelle,2019,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Homme,Nombre,1960,214728.0,1960,1960,annuelle,1960,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Homme,Nombre,1975,350695.0,1975,1975,annuelle,1975,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Homme,Nombre,1985,485220.0,1985,1985,annuelle,1985,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Homme,Nombre,1991,637300.0,1991,1991,annuelle,1991,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Homme,Nombre,1996,709590.201684288,1996,1996,annuelle,1996,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Homme,Nombre,2006,900103.0,2006,2006,annuelle,2006,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Homme,Nombre,2019,1358657.0,2019,2019,annuelle,2019,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Femme,Nombre,1960,162373.0,1960,1960,annuelle,1960,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Femme,Nombre,1975,299868.0,1975,1975,annuelle,1975,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Femme,Nombre,1985,453847.0,1985,1985,annuelle,1985,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Femme,Nombre,1991,601675.0,1991,1991,annuelle,1991,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Femme,Nombre,1996,671354.227572072,1996,1996,annuelle,1996,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Femme,Nombre,2006,846485.0,2006,2006,annuelle,2006,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Femme,Nombre,2019,1328748.0,2019,2019,annuelle,2019,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Ensemble,Nombre,1960,377101.0,1960,1960,annuelle,1960,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Ensemble,Nombre,1975,650563.0,1975,1975,annuelle,1975,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Ensemble,Nombre,1985,939067.0,1985,1985,annuelle,1985,Evolution de la population par groupes d'âge et par sexe.csv,demographie
Evolution de la population par groupes d'âge et par sexe,10-14,Ensemble,Nombre,1991,1238975.0,1991,1991,annuelle,1991,Evolution de la population par groupes d'âge et par sexe.csv,demographie
