"indicateur","couverture-vaccinale","Unit","Date","Value"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2002","64.5"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2003","72.3"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2004","79.5"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2005","86"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2006","82.6"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2007","93.7"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2008","97.6"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2009","99.4"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2010","99.3"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2011","104.027043199385"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2012","100.2"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2013","99.8438943533749"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2014","99.7"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2015","103.5"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2016","99.9"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2017","99.5"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2018","108.5"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2019","96"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2020","98.5"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2021","99.8"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2022","99.2139394424788"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-rougeoleux","%","2023","93.7"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","1998","34.4"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","1999","51.1"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2000","53.6"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2001","52.2"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2002","61.6"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2003","67.5"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2004","77.1"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2005","86.2"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2006","90.3"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2007","93.4"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2008","97.6"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2009","99.4"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2010","99.3"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2011","100.289834912076"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2012","100.1"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2013","99.8518415499304"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2014","99.7"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2015","103"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2016","56.8"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2017","44.6"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2018","100.2"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2019","97.7"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2020","97.8"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2021","99.8"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2022","99.2016903717593"
"Evolution de la couverture vaccinale des enfants de 0 à 11 mois","Anti-amarile","%","2023","93.6"
