annee,incident
2024,I-6940I-6491I-6491I-6491I-6489I-1386I-1385I-1384I-1382I-1382I-1381I-1379I-1379I-1375I-1374I-1373I-1371I-1370I-1369I-1367I-1365I-1364I-1363I-1361I-1360I-1360I-1360I-1359I-1358I-120I-119I-118I-117I-116I-115I-115I-114I-110I-109I-108I-108I-107I-106I-105I-104I-103I-102I-101I-100I-99I-98I-97I-97I-96I-95I-95I-94I-93I-93I-92I-91I-91I-90I-89I-87I-86I-85I-83I-82I-74I-73I-72I-71I-70I-69I-68I-67I-66I-66I-65I-64I-64I-64I-64I-63I-62I-62I-61I-61I-60I-59I-58I-57I-56I-55I-54I-53I-52I-51I-51I-50I-49I-48I-47I-46I-46I-45I-44I-43I-42I-41I-41I-40I-40I-37I-35I-34I-33I-32
2025,I-59750I-57106I-35880I-22639I-22626I-14741I-8083I-8029I-7979I-6990I-6989I-6983I-6983I-6983I-6983I-6963I-6960I-6948I-6947I-6946I-6945I-6944I-6943I-6942I-6942I-6939I-6938I-6541I-6497I-6496I-6496I-6495I-6493I-6492I-6490
