indicateur,rubrique,region,unite,date,valeur,date_source,periode_normalisee,granularite_temporelle,annee,source_fichier,domaine,region_norm
Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (AA_P1),Sud-Ouest,%,2003,17.5,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages,Sud-Ouest
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Boucle du Mouhoun,%,2003,9.6,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages,Boucle du Mouhoun
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Cascades,%,2003,7.4,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages,Cascades
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Centre,%,2003,2.9,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages,Centre
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Centre-Est,%,2003,9.1,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages,Centre-Est
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Centre-Nord,%,2003,2.8,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages,Centre-Nord
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Centre-Ouest,%,2003,6.8,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages,Centre-Ouest
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Centre-Sud,%,2003,13.5,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages,Centre-Sud
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Est,%,2003,5.3,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages,Est
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Hauts-Bassins,%,2003,4.5,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages,Hauts-Bassins
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Nord,%,2003,11.8,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages,Nord
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Plateau Central,%,2003,9.5,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages,Plateau-Central
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Sahel,%,2003,5.8,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages,Sahel
Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (AA_P2),Sud-Ouest,%,2003,7.3,2003,2003,annuelle,2003,Indicateurs de pauvreté et contributions des régions à la pauvreté.csv,vulnerabilite_menages,Sud-Ouest
