region_norm,prix_moyen
Boucle du Mouhoun,338.5421686746988
Cascades,360.52941176470586
Centre,449.63157894736844
Centre-Est,348.1063829787234
Centre-Nord,332.1111111111111
Centre-Ouest,310.06382978723406
Centre-Sud,353.4418604651163
Est,362.1525423728813
Hauts-Bassins,337.59375
Nord,332.27027027027026
Plateau-Central,339.6296296296296
Sahel,505.6136363636364
Sud-Ouest,362.4
