annee,theme,indicateur,rubrique,region,unite,valeur
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,91.9
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,88.0
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,7.5
2018,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,6.7
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,100.0
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,100.0
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,100.0
2018,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Incidence de pauvreté (NA_CTR),,%,100.0
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,6.0
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,6.8
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,11.6
2018,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,11.2
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,19.3
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,17.5
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,2.9
2018,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,2.2
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,16.9
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,15.1
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,9.7
2018,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_P1),,%,9.3
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),,%,6.4
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),,%,9.9
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),,%,93.4
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),,%,93.6
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),,%,90.1
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),,%,6.6
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),,%,100.0
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),,%,100.0
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Profondeur de pauvreté (NA_CTR),,%,100.0
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),,%,2.4
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),,%,2.6
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),,%,4.0
2018,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),,%,4.1
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),,%,9.1
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),,%,7.9
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),,%,0.9
2018,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),,%,0.8
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),,%,7.8
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),,%,6.7
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),,%,3.3
2018,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_P2),,%,3.3
2003,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),,%,5.5
2009,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),,%,8.7
2014,economie,Indicateurs de pauvreté et contributions des milieux de résidence à la pauvreté,Sévérité de pauvreté (NA_CTR),,%,94.0
