annee,theme,indicateur,rubrique,region,unite,valeur
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Sahel,%,41.8
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Sahel,%,27.6
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Sahel,%,20.6
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Sahel,%,44.2
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Sud-Ouest,%,62.6
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Sud-Ouest,%,42.7
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Sud-Ouest,%,41.5
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_PO),Sud-Ouest,%,45.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Burkina Faso,%,100.0
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Burkina Faso,%,100.0
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Burkina Faso,%,100.0
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Burkina Faso,%,100.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Boucle du Mouhoun,%,8.2
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Boucle du Mouhoun,%,9.5
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Boucle du Mouhoun,%,14.7
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Boucle du Mouhoun,%,12.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Cascades,%,16.7
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Cascades,%,10.4
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Cascades,%,2.2
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Cascades,%,2.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre,%,4.1
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre,%,6.1
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre,%,3.3
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre,%,1.7
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre-Est,%,6.8
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre-Est,%,11.6
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre-Est,%,7.2
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre-Est,%,10.3
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre-Nord,%,5.9
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre-Nord,%,5.4
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre-Nord,%,9.8
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre-Nord,%,12.3
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre-Ouest,%,7.2
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre-Ouest,%,7.1
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre-Ouest,%,10.6
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre-Ouest,%,10.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre-Sud,%,7.8
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre-Sud,%,8.8
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre-Sud,%,4.4
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Centre-Sud,%,2.7
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Est,%,7.6
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Est,%,5.4
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Est,%,10.9
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Est,%,9.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Hauts-Bassins,%,12.3
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Hauts-Bassins,%,11.5
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Hauts-Bassins,%,9.1
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Hauts-Bassins,%,9.1
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Nord,%,9.7
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Nord,%,9.9
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Nord,%,14.3
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Nord,%,13.8
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Plateau Central,%,5.1
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Plateau Central,%,7.8
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Plateau Central,%,5.4
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Plateau Central,%,3.9
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Sahel,%,3.1
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Sahel,%,2.3
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Sahel,%,3.5
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Sahel,%,7.4
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Sud-Ouest,%,5.5
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Sud-Ouest,%,4.1
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Sud-Ouest,%,4.5
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Incidence de pauvreté (NA_CTR),Sud-Ouest,%,4.7
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Burkina Faso,%,16.9
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Burkina Faso,%,15.1
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Burkina Faso,%,9.7
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Burkina Faso,%,12.3
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Boucle du Mouhoun,%,11.6
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Boucle du Mouhoun,%,12.2
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Boucle du Mouhoun,%,15.4
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Boucle du Mouhoun,%,14.3
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Cascades,%,24.9
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Cascades,%,14.8
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Cascades,%,4.4
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Cascades,%,5.4
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre,%,11.7
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre,%,14.9
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre,%,2.0
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre,%,1.1
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre-Est,%,12.0
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre-Est,%,23.2
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre-Est,%,10.6
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre-Est,%,19.7
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre-Nord,%,19.4
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre-Nord,%,19.8
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre-Nord,%,10.9
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre-Nord,%,20.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre-Ouest,%,11.5
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre-Ouest,%,10.0
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre-Ouest,%,11.8
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre-Ouest,%,14.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre-Sud,%,15.5
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre-Sud,%,15.6
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre-Sud,%,9.3
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Centre-Sud,%,5.8
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Est,%,22.1
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Est,%,16.3
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Est,%,11.7
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Est,%,11.5
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Hauts-Bassins,%,26.5
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Hauts-Bassins,%,23.7
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Hauts-Bassins,%,7.3
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Hauts-Bassins,%,8.5
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Nord,%,19.9
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Nord,%,20.1
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Nord,%,18.9
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Nord,%,25.6
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Plateau Central,%,7.5
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Plateau Central,%,8.5
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Plateau Central,%,10.9
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Plateau Central,%,9.2
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Sahel,%,15.9
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Sahel,%,7.4
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Sahel,%,3.8
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Sahel,%,13.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Sud-Ouest,%,24.4
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Sud-Ouest,%,11.2
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Sud-Ouest,%,10.1
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_P1),Sud-Ouest,%,10.8
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Burkina Faso,%,100.0
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Burkina Faso,%,100.0
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Burkina Faso,%,100.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Boucle du Mouhoun,%,7.4
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Boucle du Mouhoun,%,8.5
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Boucle du Mouhoun,%,15.8
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Cascades,%,18.0
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Cascades,%,9.9
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Cascades,%,1.8
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Centre,%,4.0
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Centre,%,6.8
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Centre,%,2.8
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Centre-Est,%,6.1
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Centre-Est,%,13.3
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Centre-Est,%,8.7
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Centre-Nord,%,5.6
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Centre-Nord,%,5.8
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Centre-Nord,%,9.5
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Centre-Ouest,%,5.6
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Centre-Ouest,%,5.6
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Centre-Ouest,%,10.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Centre-Sud,%,8.0
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Centre-Sud,%,8.6
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Centre-Sud,%,4.2
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Est,%,7.9
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Est,%,5.3
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Est,%,10.5
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Hauts-Bassins,%,13.5
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Hauts-Bassins,%,13.1
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Hauts-Bassins,%,8.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Nord,%,9.7
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Nord,%,10.7
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Nord,%,16.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Plateau Central,%,4.5
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Plateau Central,%,7.2
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Plateau Central,%,5.4
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Sahel,%,3.4
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Sahel,%,1.9
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Sahel,%,2.7
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Sud-Ouest,%,6.2
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Sud-Ouest,%,3.3
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Profondeur de pauvreté (NA_CTR),Sud-Ouest,%,4.5
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Burkina Faso,%,7.8
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Burkina Faso,%,6.7
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Burkina Faso,%,3.3
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Burkina Faso,%,5.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Boucle du Mouhoun,%,5.1
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Boucle du Mouhoun,%,4.8
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Boucle du Mouhoun,%,5.6
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Boucle du Mouhoun,%,5.7
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Cascades,%,11.9
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Cascades,%,6.4
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Cascades,%,1.3
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Cascades,%,1.9
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre,%,5.2
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre,%,7.5
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre,%,0.6
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre,%,0.3
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre-Est,%,5.1
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre-Est,%,11.3
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre-Est,%,4.2
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre-Est,%,9.5
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre-Nord,%,8.5
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre-Nord,%,9.2
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre-Nord,%,3.6
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre-Nord,%,8.4
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre-Ouest,%,4.4
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre-Ouest,%,3.7
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre-Ouest,%,3.7
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre-Ouest,%,5.5
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre-Sud,%,7.6
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre-Sud,%,6.6
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre-Sud,%,3.0
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Centre-Sud,%,2.0
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Est,%,10.6
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Est,%,7.0
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Est,%,3.7
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Est,%,3.9
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Hauts-Bassins,%,13.1
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Hauts-Bassins,%,11.3
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Hauts-Bassins,%,2.3
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Hauts-Bassins,%,3.2
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Nord,%,9.2
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Nord,%,9.2
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Nord,%,6.8
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Nord,%,11.7
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Plateau Central,%,3.1
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Plateau Central,%,3.6
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Plateau Central,%,3.6
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Plateau Central,%,3.5
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Sahel,%,8.2
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Sahel,%,2.9
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Sahel,%,1.1
2018,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Sahel,%,5.2
2003,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Sud-Ouest,%,12.5
2009,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Sud-Ouest,%,4.1
2014,economie,Indicateurs de pauvreté et contributions des régions à la pauvreté,Sévérité de pauvreté (NA_P2),Sud-Ouest,%,3.5
