"indicateur","emploi","rubriques","Unit","Date","Value"
"Evolution des personnels de santé du secteur public à partir de 2017","Technologiste biomédicale","Total","Nombre","2020","768"
"Evolution des personnels de santé du secteur public à partir de 2017","Technologiste biomédicale","Total","Nombre","2021","867"
"Evolution des personnels de santé du secteur public à partir de 2017","Préparateurs d’Etat en pharmacie","Total","Nombre","2017","122"
"Evolution des personnels de santé du secteur public à partir de 2017","Préparateurs d’Etat en pharmacie","Total","Nombre","2018","129"
"Evolution des personnels de santé du secteur public à partir de 2017","Préparateurs d’Etat en pharmacie","Total","Nombre","2019","149"
"Evolution des personnels de santé du secteur public à partir de 2017","Préparateurs d’Etat en pharmacie","Total","Nombre","2020","149"
"Evolution des personnels de santé du secteur public à partir de 2017","Préparateurs d’Etat en pharmacie","Total","Nombre","2021","165"
"Evolution des personnels de santé du secteur public à partir de 2017","Technicien de  génie sanitaire","Total","Nombre","2017","140"
"Evolution des personnels de santé du secteur public à partir de 2017","Technicien de  génie sanitaire","Total","Nombre","2018","156"
"Evolution des personnels de santé du secteur public à partir de 2017","Technicien de  génie sanitaire","Total","Nombre","2019","224"
"Evolution des personnels de santé du secteur public à partir de 2017","Technicien de  génie sanitaire","Total","Nombre","2020","224"
"Evolution des personnels de santé du secteur public à partir de 2017","Technicien de  génie sanitaire","Total","Nombre","2021","225"
"Evolution des personnels de santé du secteur public à partir de 2017","Accoucheuse auxiliaire","Total","Nombre","2017","2937"
"Evolution des personnels de santé du secteur public à partir de 2017","Accoucheuse auxiliaire","Total","Nombre","2018","2631"
"Evolution des personnels de santé du secteur public à partir de 2017","Accoucheuse auxiliaire","Total","Nombre","2019","2145"
"Evolution des personnels de santé du secteur public à partir de 2017","Accoucheuse auxiliaire","Total","Nombre","2020","2145"
"Evolution des personnels de santé du secteur public à partir de 2017","Accoucheuse auxiliaire","Total","Nombre","2021","1837"
"Evolution des personnels de santé du secteur public à partir de 2017","Agent Itinérant de Santé","Total","Nombre","2017","2729"
"Evolution des personnels de santé du secteur public à partir de 2017","Agent Itinérant de Santé","Total","Nombre","2018","2784"
"Evolution des personnels de santé du secteur public à partir de 2017","Agent Itinérant de Santé","Total","Nombre","2019","2978"
"Evolution des personnels de santé du secteur public à partir de 2017","Agent Itinérant de Santé","Total","Nombre","2020","2978"
"Evolution des personnels de santé du secteur public à partir de 2017","Agent Itinérant de Santé","Total","Nombre","2021","2935"
"Evolution des personnels de santé du secteur public à partir de 2017","Fille de salle/Garçon de salle","Total","Nombre","2017","1143"
"Evolution des personnels de santé du secteur public à partir de 2017","Fille de salle/Garçon de salle","Total","Nombre","2018","1360"
"Evolution des personnels de santé du secteur public à partir de 2017","Fille de salle/Garçon de salle","Total","Nombre","2019","1329"
"Evolution des personnels de santé du secteur public à partir de 2017","Fille de salle/Garçon de salle","Total","Nombre","2020","1329"
"Evolution des personnels de santé du secteur public à partir de 2017","Fille de salle/Garçon de salle","Total","Nombre","2021","1505"
