"indicateur","region","infrastructures","Unit","Date","Value"
"Infrastructures sanitaires par région à partir de 2017","Centre","0fficines et Dépôts  privés","Nombre","2020","137"
"Infrastructures sanitaires par région à partir de 2017","Centre","0fficines et Dépôts  privés","Nombre","2021","145"
"Infrastructures sanitaires par région à partir de 2017","Centre","0fficines et Dépôts  privés","Nombre","2022","242"
"Infrastructures sanitaires par région à partir de 2017","Centre","Infirmerie de garnison","Nombre","2017","8"
"Infrastructures sanitaires par région à partir de 2017","Centre","Infirmerie de garnison","Nombre","2020","0"
"Infrastructures sanitaires par région à partir de 2017","Centre","Infirmerie de garnison","Nombre","2021","7"
"Infrastructures sanitaires par région à partir de 2017","Centre","Infirmerie/SST","Nombre","2017","29"
"Infrastructures sanitaires par région à partir de 2017","Centre","Infirmerie/SST","Nombre","2020","65"
"Infrastructures sanitaires par région à partir de 2017","Centre","Infirmerie/SST","Nombre","2021","67"
"Infrastructures sanitaires par région à partir de 2017","Centre","Infirmerie/SST","Nombre","2022","80"
"Infrastructures sanitaires par région à partir de 2017","Centre","Infirmerie/SST","Nombre","2023","55"
"Infrastructures sanitaires par région à partir de 2017","Centre","Autres (CREN,…)","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Hospitalier Universitaire","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Hospitalier Universitaire","Nombre","2018","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Hospitalier Universitaire","Nombre","2019","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Hospitalier Universitaire","Nombre","2020","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Hospitalier Universitaire","Nombre","2021","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Hospitalier Universitaire","Nombre","2022","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Hospitalier Universitaire","Nombre","2023","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Hospitalier Régional","Nombre","2017","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Hospitalier Régional","Nombre","2018","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Hospitalier Régional","Nombre","2019","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Hospitalier Régional","Nombre","2020","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Hospitalier Régional","Nombre","2021","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Hospitalier Régional","Nombre","2022","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Hospitalier Régional","Nombre","2023","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Médical avec Antenne chirurgicale","Nombre","2017","6"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Médical avec Antenne chirurgicale","Nombre","2018","6"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Médical avec Antenne chirurgicale","Nombre","2019","6"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Médical avec Antenne chirurgicale","Nombre","2020","6"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Médical avec Antenne chirurgicale","Nombre","2021","6"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Médical avec Antenne chirurgicale","Nombre","2022","6"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Médical avec Antenne chirurgicale","Nombre","2023","6"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Médical","Nombre","2017","2"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Médical","Nombre","2018","6"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Médical","Nombre","2019","2"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Médical","Nombre","2020","2"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Médical","Nombre","2021","2"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Médical","Nombre","2022","2"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre Médical","Nombre","2023","4"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre de Santé et de Promotion Sociale","Nombre","2017","138"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre de Santé et de Promotion Sociale","Nombre","2018","142"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre de Santé et de Promotion Sociale","Nombre","2019","143"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre de Santé et de Promotion Sociale","Nombre","2020","169"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre de Santé et de Promotion Sociale","Nombre","2021","170"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre de Santé et de Promotion Sociale","Nombre","2022","184"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Centre de Santé et de Promotion Sociale","Nombre","2023","188"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Dispensaire","Nombre","2017","11"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Dispensaire","Nombre","2018","13"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Dispensaire","Nombre","2019","11"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Dispensaire","Nombre","2020","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Dispensaire","Nombre","2021","2"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Dispensaire","Nombre","2022","2"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Dispensaire","Nombre","2023","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Maternités isolées","Nombre","2017","3"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Maternités isolées","Nombre","2018","4"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Maternités isolées","Nombre","2019","5"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Maternités isolées","Nombre","2020","4"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Maternités isolées","Nombre","2021","4"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Maternités isolées","Nombre","2022","2"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Maternités isolées","Nombre","2023","2"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Formation Sanitaire Privée","Nombre","2017","23"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Formation Sanitaire Privée","Nombre","2020","40"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Formation Sanitaire Privée","Nombre","2021","41"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Formation Sanitaire Privée","Nombre","2022","43"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","0fficines et Dépôts  privés","Nombre","2017","54"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","0fficines et Dépôts  privés","Nombre","2018","49"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","0fficines et Dépôts  privés","Nombre","2020","71"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","0fficines et Dépôts  privés","Nombre","2021","78"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","0fficines et Dépôts  privés","Nombre","2022","93"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Infirmerie de garnison","Nombre","2017","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Infirmerie de garnison","Nombre","2020","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Infirmerie de garnison","Nombre","2021","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Infirmerie/SST","Nombre","2017","5"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Infirmerie/SST","Nombre","2020","10"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Infirmerie/SST","Nombre","2021","10"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Infirmerie/SST","Nombre","2022","11"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Infirmerie/SST","Nombre","2023","12"
"Infrastructures sanitaires par région à partir de 2017","Centre-Est","Autres (CREN,…)","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Hospitalier Universitaire","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Hospitalier Universitaire","Nombre","2018","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Hospitalier Universitaire","Nombre","2019","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Hospitalier Universitaire","Nombre","2020","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Hospitalier Universitaire","Nombre","2021","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Hospitalier Universitaire","Nombre","2022","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Hospitalier Universitaire","Nombre","2023","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Hospitalier Régional","Nombre","2017","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Hospitalier Régional","Nombre","2018","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Hospitalier Régional","Nombre","2019","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Hospitalier Régional","Nombre","2020","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Hospitalier Régional","Nombre","2021","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Hospitalier Régional","Nombre","2022","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Hospitalier Régional","Nombre","2023","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Médical avec Antenne chirurgicale","Nombre","2017","3"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Médical avec Antenne chirurgicale","Nombre","2018","3"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Médical avec Antenne chirurgicale","Nombre","2019","3"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Médical avec Antenne chirurgicale","Nombre","2020","3"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Médical avec Antenne chirurgicale","Nombre","2021","3"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Médical avec Antenne chirurgicale","Nombre","2022","3"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Médical avec Antenne chirurgicale","Nombre","2023","3"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Médical","Nombre","2017","4"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Médical","Nombre","2018","9"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Médical","Nombre","2019","6"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Médical","Nombre","2020","6"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Médical","Nombre","2021","8"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Médical","Nombre","2022","8"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre Médical","Nombre","2023","9"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre de Santé et de Promotion Sociale","Nombre","2017","141"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre de Santé et de Promotion Sociale","Nombre","2018","148"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre de Santé et de Promotion Sociale","Nombre","2019","144"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre de Santé et de Promotion Sociale","Nombre","2020","148"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre de Santé et de Promotion Sociale","Nombre","2021","164"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre de Santé et de Promotion Sociale","Nombre","2022","171"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Centre de Santé et de Promotion Sociale","Nombre","2023","177"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Dispensaire","Nombre","2017","14"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Dispensaire","Nombre","2018","22"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Dispensaire","Nombre","2019","17"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Dispensaire","Nombre","2020","17"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Dispensaire","Nombre","2021","11"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Dispensaire","Nombre","2022","9"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Dispensaire","Nombre","2023","6"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Maternités isolées","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Maternités isolées","Nombre","2018","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Maternités isolées","Nombre","2019","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Maternités isolées","Nombre","2020","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Maternités isolées","Nombre","2021","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Maternités isolées","Nombre","2022","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Maternités isolées","Nombre","2023","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Formation Sanitaire Privée","Nombre","2017","13"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Formation Sanitaire Privée","Nombre","2020","20"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Formation Sanitaire Privée","Nombre","2021","20"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Formation Sanitaire Privée","Nombre","2022","24"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","0fficines et Dépôts  privés","Nombre","2017","35"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","0fficines et Dépôts  privés","Nombre","2018","44"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","0fficines et Dépôts  privés","Nombre","2020","50"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","0fficines et Dépôts  privés","Nombre","2021","39"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","0fficines et Dépôts  privés","Nombre","2022","61"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Infirmerie de garnison","Nombre","2017","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Infirmerie de garnison","Nombre","2020","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Infirmerie de garnison","Nombre","2021","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Infirmerie/SST","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Infirmerie/SST","Nombre","2020","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Infirmerie/SST","Nombre","2021","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Infirmerie/SST","Nombre","2022","6"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Infirmerie/SST","Nombre","2023","6"
"Infrastructures sanitaires par région à partir de 2017","Centre-Nord","Autres (CREN,…)","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Hospitalier Universitaire","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Hospitalier Universitaire","Nombre","2018","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Hospitalier Universitaire","Nombre","2019","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Hospitalier Universitaire","Nombre","2020","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Hospitalier Universitaire","Nombre","2021","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Hospitalier Universitaire","Nombre","2022","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Hospitalier Universitaire","Nombre","2023","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Hospitalier Régional","Nombre","2017","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Hospitalier Régional","Nombre","2018","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Hospitalier Régional","Nombre","2019","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Hospitalier Régional","Nombre","2020","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Hospitalier Régional","Nombre","2021","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Hospitalier Régional","Nombre","2022","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Hospitalier Régional","Nombre","2023","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Médical avec Antenne chirurgicale","Nombre","2017","2"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Médical avec Antenne chirurgicale","Nombre","2018","3"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Médical avec Antenne chirurgicale","Nombre","2019","2"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Médical avec Antenne chirurgicale","Nombre","2020","3"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Médical avec Antenne chirurgicale","Nombre","2021","3"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Médical avec Antenne chirurgicale","Nombre","2022","3"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Médical avec Antenne chirurgicale","Nombre","2023","3"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Médical","Nombre","2017","7"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Médical","Nombre","2018","10"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Médical","Nombre","2019","11"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Médical","Nombre","2020","10"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Médical","Nombre","2021","14"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Médical","Nombre","2022","14"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre Médical","Nombre","2023","14"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre de Santé et de Promotion Sociale","Nombre","2017","201"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre de Santé et de Promotion Sociale","Nombre","2018","218"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre de Santé et de Promotion Sociale","Nombre","2019","214"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre de Santé et de Promotion Sociale","Nombre","2020","225"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre de Santé et de Promotion Sociale","Nombre","2021","228"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre de Santé et de Promotion Sociale","Nombre","2022","233"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Centre de Santé et de Promotion Sociale","Nombre","2023","235"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Dispensaire","Nombre","2017","3"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Dispensaire","Nombre","2018","5"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Dispensaire","Nombre","2019","4"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Dispensaire","Nombre","2020","3"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Dispensaire","Nombre","2021","2"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Dispensaire","Nombre","2022","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Dispensaire","Nombre","2023","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Maternités isolées","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Maternités isolées","Nombre","2018","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Maternités isolées","Nombre","2019","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Maternités isolées","Nombre","2020","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Maternités isolées","Nombre","2021","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Maternités isolées","Nombre","2022","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Maternités isolées","Nombre","2023","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Formation Sanitaire Privée","Nombre","2017","23"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Formation Sanitaire Privée","Nombre","2020","28"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Formation Sanitaire Privée","Nombre","2021","31"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Formation Sanitaire Privée","Nombre","2022","34"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","0fficines et Dépôts  privés","Nombre","2017","63"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","0fficines et Dépôts  privés","Nombre","2018","45"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","0fficines et Dépôts  privés","Nombre","2020","71"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","0fficines et Dépôts  privés","Nombre","2021","78"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","0fficines et Dépôts  privés","Nombre","2022","76"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Infirmerie de garnison","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Infirmerie de garnison","Nombre","2020","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Infirmerie de garnison","Nombre","2021","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Infirmerie/SST","Nombre","2017","10"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Infirmerie/SST","Nombre","2020","15"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Infirmerie/SST","Nombre","2021","14"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Infirmerie/SST","Nombre","2022","14"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Infirmerie/SST","Nombre","2023","15"
"Infrastructures sanitaires par région à partir de 2017","Centre-Ouest","Autres (CREN,…)","Nombre","2017","1"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Hospitalier Universitaire","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Hospitalier Universitaire","Nombre","2018","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Hospitalier Universitaire","Nombre","2019","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Hospitalier Universitaire","Nombre","2020","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Hospitalier Universitaire","Nombre","2021","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Hospitalier Universitaire","Nombre","2022","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Hospitalier Universitaire","Nombre","2023","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Hospitalier Régional","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Hospitalier Régional","Nombre","2018","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Hospitalier Régional","Nombre","2019","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Hospitalier Régional","Nombre","2020","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Hospitalier Régional","Nombre","2021","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Hospitalier Régional","Nombre","2022","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Hospitalier Régional","Nombre","2023","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Médical avec Antenne chirurgicale","Nombre","2017","4"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Médical avec Antenne chirurgicale","Nombre","2018","4"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Médical avec Antenne chirurgicale","Nombre","2019","4"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Médical avec Antenne chirurgicale","Nombre","2020","4"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Médical avec Antenne chirurgicale","Nombre","2021","4"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Médical avec Antenne chirurgicale","Nombre","2022","4"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Médical avec Antenne chirurgicale","Nombre","2023","4"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Médical","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Médical","Nombre","2018","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Médical","Nombre","2019","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Médical","Nombre","2020","2"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Médical","Nombre","2021","4"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Médical","Nombre","2022","5"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre Médical","Nombre","2023","5"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre de Santé et de Promotion Sociale","Nombre","2017","108"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre de Santé et de Promotion Sociale","Nombre","2018","113"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre de Santé et de Promotion Sociale","Nombre","2019","115"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre de Santé et de Promotion Sociale","Nombre","2020","117"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre de Santé et de Promotion Sociale","Nombre","2021","122"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre de Santé et de Promotion Sociale","Nombre","2022","122"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Centre de Santé et de Promotion Sociale","Nombre","2023","129"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Dispensaire","Nombre","2017","20"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Dispensaire","Nombre","2018","17"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Dispensaire","Nombre","2019","14"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Dispensaire","Nombre","2020","15"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Dispensaire","Nombre","2021","14"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Dispensaire","Nombre","2022","15"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Dispensaire","Nombre","2023","14"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Maternités isolées","Nombre","2017","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Maternités isolées","Nombre","2018","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Maternités isolées","Nombre","2019","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Maternités isolées","Nombre","2020","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Maternités isolées","Nombre","2021","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Maternités isolées","Nombre","2022","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Maternités isolées","Nombre","2023","0"
"Infrastructures sanitaires par région à partir de 2017","Centre-Sud","Formation Sanitaire Privée","Nombre","2017","3"
