"indicateur","localités","Unit","Date","Value"
"Densité par région et province des quatres derniers recensements","Koulpelogo","Habitants/km2","2006","48.3670531039641"
"Densité par région et province des quatres derniers recensements","Koulpelogo","Habitants/km2","2019","67.3"
"Densité par région et province des quatres derniers recensements","Kouritenga","Habitants/km2","1985","75.7291110263258"
"Densité par région et province des quatres derniers recensements","Kouritenga","Habitants/km2","1996","95.4280808851583"
"Densité par région et province des quatres derniers recensements","Kouritenga","Habitants/km2","2006","125.8218237314"
"Densité par région et province des quatres derniers recensements","Kouritenga","Habitants/km2","2019","171.5"
"Densité par région et province des quatres derniers recensements","Région du Centre-Est","Habitants/km2","1985","46.0925900655022"
"Densité par région et province des quatres derniers recensements","Région du Centre-Est","Habitants/km2","1996","58.2081741266376"
"Densité par région et province des quatres derniers recensements","Région du Centre-Est","Habitants/km2","2006","77.2390829694323"
"Densité par région et province des quatres derniers recensements","Région du Centre-Est","Habitants/km2","2019","109"
"Densité par région et province des quatres derniers recensements","Bam","Habitants/km2","1985","39.8077864838394"
"Densité par région et province des quatres derniers recensements","Bam","Habitants/km2","1996","51.7999510284035"
"Densité par région et province des quatres derniers recensements","Bam","Habitants/km2","2006","67.3827130264447"
"Densité par région et province des quatres derniers recensements","Bam","Habitants/km2","2019","118.7"
"Densité par région et province des quatres derniers recensements","Namentenga","Habitants/km2","1985","30.9078255490257"
"Densité par région et province des quatres derniers recensements","Namentenga","Habitants/km2","1996","39.0872254871636"
"Densité par région et province des quatres derniers recensements","Namentenga","Habitants/km2","2006","50.8536962573461"
"Densité par région et province des quatres derniers recensements","Namentenga","Habitants/km2","2019","80.4"
"Densité par région et province des quatres derniers recensements","Sanmatenga","Habitants/km2","1985","39.5827771797632"
"Densité par région et province des quatres derniers recensements","Sanmatenga","Habitants/km2","1996","49.9496232508073"
"Densité par région et province des quatres derniers recensements","Sanmatenga","Habitants/km2","2006","64.3717976318622"
"Densité par région et province des quatres derniers recensements","Sanmatenga","Habitants/km2","2019","95.4"
"Densité par région et province des quatres derniers recensements","Région du Centre-Ouest","Habitants/km2","1985","36.234419589432"
"Densité par région et province des quatres derniers recensements","Région du Centre-Ouest","Habitants/km2","1996","43.4289791033784"
"Densité par région et province des quatres derniers recensements","Région du Centre-Ouest","Habitants/km2","2006","54.6150234741784"
"Densité par région et province des quatres derniers recensements","Région du Centre-Ouest","Habitants/km2","2019","76"
"Densité par région et province des quatres derniers recensements","Boulkiemde","Habitants/km2","1985","85.5723992502343"
"Densité par région et province des quatres derniers recensements","Boulkiemde","Habitants/km2","1996","98.711808809747"
"Densité par région et province des quatres derniers recensements","Boulkiemde","Habitants/km2","2006","118.370665417057"
"Densité par région et province des quatres derniers recensements","Boulkiemde","Habitants/km2","2019","161.3"
"Densité par région et province des quatres derniers recensements","Sanguie","Habitants/km2","1985","41.9210881728729"
"Densité par région et province des quatres derniers recensements","Sanguie","Habitants/km2","1996","48.1541578236543"
"Densité par région et province des quatres derniers recensements","Sanguie","Habitants/km2","2006","57.3096662164769"
"Densité par région et province des quatres derniers recensements","Sanguie","Habitants/km2","2019","76.7"
"Densité par région et province des quatres derniers recensements","Sissili","Habitants/km2","1985","16.260668812089"
"Densité par région et province des quatres derniers recensements","Sissili","Habitants/km2","1996","21.4683083811389"
"Densité par région et province des quatres derniers recensements","Sissili","Habitants/km2","2006","29.1603469987407"
"Densité par région et province des quatres derniers recensements","Sissili","Habitants/km2","2019","47.6"
"Densité par région et province des quatres derniers recensements","Ziro","Habitants/km2","1985","17.2609204368175"
"Densité par région et province des quatres derniers recensements","Ziro","Habitants/km2","1996","23.2486349453978"
"Densité par région et province des quatres derniers recensements","Ziro","Habitants/km2","2006","34.3047971918877"
"Densité par région et province des quatres derniers recensements","Ziro","Habitants/km2","2019","45.7"
"Densité par région et province des quatres derniers recensements","Région du Centre-Sud","Habitants/km2","1985","38.2006541147353"
"Densité par région et province des quatres derniers recensements","Région du Centre-Sud","Habitants/km2","1996","46.9102802086096"
"Densité par région et province des quatres derniers recensements","Région du Centre-Sud","Habitants/km2","2006","56.6996375850791"
"Densité par région et province des quatres derniers recensements","Région du Centre-Sud","Habitants/km2","2019","68"
"Densité par région et province des quatres derniers recensements","Bazega","Habitants/km2","1985","46.0961150353179"
