"indicateur","tranche-d-age","sexe","Unit","Date","Value"
"Evolution de la population par groupes d'âge et par sexe","70 - 74","Femme","Nombre","2019","103898"
"Evolution de la population par groupes d'âge et par sexe","70 - 74","Ensemble","Nombre","1960","39647"
"Evolution de la population par groupes d'âge et par sexe","70 - 74","Ensemble","Nombre","1975","66073"
"Evolution de la population par groupes d'âge et par sexe","70 - 74","Ensemble","Nombre","1985","86645"
"Evolution de la population par groupes d'âge et par sexe","70 - 74","Ensemble","Nombre","1991","111956"
"Evolution de la population par groupes d'âge et par sexe","70 - 74","Ensemble","Nombre","1996","115393.549290534"
"Evolution de la population par groupes d'âge et par sexe","70 - 74","Ensemble","Nombre","2006","136282"
"Evolution de la population par groupes d'âge et par sexe","70 - 74","Ensemble","Nombre","2019","196255"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Homme","Nombre","1960","11584"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Homme","Nombre","1975","17506"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Homme","Nombre","1985","21680"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Homme","Nombre","1991","30087"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Homme","Nombre","1996","31754.9801778587"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Homme","Nombre","2006","37186"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Homme","Nombre","2019","51523"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Femme","Nombre","1960","10337"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Femme","Nombre","1975","14683"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Femme","Nombre","1985","23964"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Femme","Nombre","1991","15842"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Femme","Nombre","1996","31151.7468894133"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Femme","Nombre","2006","39927"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Femme","Nombre","2019","56119"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Ensemble","Nombre","1960","21921"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Ensemble","Nombre","1975","32189"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Ensemble","Nombre","1985","45644"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Ensemble","Nombre","1991","45929"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Ensemble","Nombre","1996","62906.727067272"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Ensemble","Nombre","2006","77113"
"Evolution de la population par groupes d'âge et par sexe","75 - 79","Ensemble","Nombre","2019","107642"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Homme","Nombre","1960","8511"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Homme","Nombre","1975","27671"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Homme","Nombre","1985","27286"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Homme","Nombre","1991","28555"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Homme","Nombre","1996","31369.3775345833"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Homme","Nombre","2006","40643"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Homme","Nombre","2019","63908"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Femme","Nombre","1960","7344"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Femme","Nombre","1975","23719"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Femme","Nombre","1985","41086"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Femme","Nombre","1991","22090"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Femme","Nombre","1996","44501.491665135"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Femme","Nombre","2006","55964"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Femme","Nombre","2019","88595"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Ensemble","Nombre","1960","15855"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Ensemble","Nombre","1975","51390"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Ensemble","Nombre","1985","68372"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Ensemble","Nombre","1991","50645"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Ensemble","Nombre","1996","75870.8691997183"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Ensemble","Nombre","2006","96607"
"Evolution de la population par groupes d'âge et par sexe","80 ou +","Ensemble","Nombre","2019","152503"
"Evolution de la population par groupes d'âge et par sexe","nd","Homme","Nombre","2006","33762"
"Evolution de la population par groupes d'âge et par sexe","nd","Femme","Nombre","2006","40725"
"Evolution de la population par groupes d'âge et par sexe","nd","Ensemble","Nombre","2006","74487"
"Evolution de la population par groupes d'âge et par sexe","Total","Homme","Nombre","1960","2145918"
"Evolution de la population par groupes d'âge et par sexe","Total","Homme","Nombre","1975","2827578"
"Evolution de la population par groupes d'âge et par sexe","Total","Homme","Nombre","1985","3833237"
"Evolution de la population par groupes d'âge et par sexe","Total","Homme","Nombre","1991","4492152"
"Evolution de la population par groupes d'âge et par sexe","Total","Homme","Nombre","1996","4970882"
"Evolution de la population par groupes d'âge et par sexe","Total","Homme","Nombre","2006","6768739"
"Evolution de la population par groupes d'âge et par sexe","Total","Homme","Nombre","2019","9900847"
"Evolution de la population par groupes d'âge et par sexe","Total","Femme","Nombre","1960","2171852"
"Evolution de la population par groupes d'âge et par sexe","Total","Femme","Nombre","1975","2810625"
"Evolution de la population par groupes d'âge et par sexe","Total","Femme","Nombre","1985","4131468"
"Evolution de la population par groupes d'âge et par sexe","Total","Femme","Nombre","1991","4698639"
"Evolution de la population par groupes d'âge et par sexe","Total","Femme","Nombre","1996","5341727"
"Evolution de la population par groupes d'âge et par sexe","Total","Femme","Nombre","2006","7248523"
"Evolution de la population par groupes d'âge et par sexe","Total","Femme","Nombre","2019","10604308"
"Evolution de la population par groupes d'âge et par sexe","Total","Ensemble","Nombre","1960","4317770"
"Evolution de la population par groupes d'âge et par sexe","Total","Ensemble","Nombre","1975","5638203"
"Evolution de la population par groupes d'âge et par sexe","Total","Ensemble","Nombre","1985","7964705"
"Evolution de la population par groupes d'âge et par sexe","Total","Ensemble","Nombre","1991","9190791"
"Evolution de la population par groupes d'âge et par sexe","Total","Ensemble","Nombre","1996","10312609"
"Evolution de la population par groupes d'âge et par sexe","Total","Ensemble","Nombre","2006","14017262"
"Evolution de la population par groupes d'âge et par sexe","Total","Ensemble","Nombre","2019","20505155"
