Répartition de la population résidente (ménages ordinaires et collectifs) par année d’âge selon le milieu de résidence et le sexe en 2019,,,,,,,,,
,,,,,,,,,
Âge,Ensemble,,,Urbain,,,Rural,,
,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme
70,89 214,36 576,52 638,16 805,7 331,9 474,72 409,29 245,43 164
71,26 923,14 522,12 401,6 458,3 263,3 195,20 465,11 259,9 206
72,29 931,15 541,14 390,7 098,3 494,3 604,22 833,12 047,10 786
73,23 951,12 696,11 255,5 565,2 742,2 823,18 386,9 954,8 432
74,26 236,13 022,13 214,5 967,2 733,3 234,20 269,10 289,9 980
75,38 722,16 686,22 036,7 763,3 200,4 563,30 959,13 486,17 473
76,17 596,9 017,8 579,3 875,1 819,2 056,13 721,7 198,6 523
77,16 715,8 840,7 875,3 794,1 803,1 991,12 921,7 037,5 884
78,14 254,7 173,7 081,3 086,1 423,1 663,11 168,5 750,5 418
79,20 355,9 807,10 548,3 804,1 646,2 158,16 551,8 161,8 390
80 et +,152 503,63 908,88 595,29 094,11 230,17 864,123 409,52 678,70 731
Total,20 505 155,9 900 847,10 604 308,5 360 112,2 613 979,2 746 133,15 145 043,7 286 868,7 858 175
