"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3"
3061,"trNumberPortabilityFixed","Number portability required from fixed operators",,,33,"BFA","Burkina Faso","No",2015,"","","Fixed Number Portability (FNP) is a process by which customers may keep their fixed telephone number when changing either service provider, service or location or both. ",,,
3061,"trNumberPortabilityFixed","Number portability required from fixed operators",,,33,"BFA","Burkina Faso","No",2017,"","","Fixed Number Portability (FNP) is a process by which customers may keep their fixed telephone number when changing either service provider, service or location or both. ",,,
3061,"trNumberPortabilityFixed","Number portability required from fixed operators",,,33,"BFA","Burkina Faso","No",2018,"","","Fixed Number Portability (FNP) is a process by which customers may keep their fixed telephone number when changing either service provider, service or location or both. ",,,
3061,"trNumberPortabilityFixed","Number portability required from fixed operators",,,33,"BFA","Burkina Faso","No",2019,"","","Fixed Number Portability (FNP) is a process by which customers may keep their fixed telephone number when changing either service provider, service or location or both. ",,,
3062,"trNumberPortabilityMobile","Number portability required from mobile operators",,,33,"BFA","Burkina Faso","Yes",2015,"","","Mobile number portability (MNP) is a service that allows a mobile service customer to change telecom carrier and keep the same phone number.",,,
3062,"trNumberPortabilityMobile","Number portability required from mobile operators",,,33,"BFA","Burkina Faso","No",2017,"","","Mobile number portability (MNP) is a service that allows a mobile service customer to change telecom carrier and keep the same phone number.",,,
3062,"trNumberPortabilityMobile","Number portability required from mobile operators",,,33,"BFA","Burkina Faso","No",2018,"","","Mobile number portability (MNP) is a service that allows a mobile service customer to change telecom carrier and keep the same phone number.",,,
3062,"trNumberPortabilityMobile","Number portability required from mobile operators",,,33,"BFA","Burkina Faso","No",2019,"","","Mobile number portability (MNP) is a service that allows a mobile service customer to change telecom carrier and keep the same phone number.",,,
5136,"trNumberPortabilityMobileYes","Number portability currently available to mobile subscribers",,,33,"BFA","Burkina Faso","No",2015,"","","Mobile number portability (MNP) is a service that allows a mobile service customer to change telecom carrier and keep the same phone number.",,,
12670,"tpIMR_RetailRegulated","Retail international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2015,"","","Retail International mobile roaming prices regulated",,,
12670,"tpIMR_RetailRegulated","Retail international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2016,"","","Retail International mobile roaming prices regulated",,,
12670,"tpIMR_RetailRegulated","Retail international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2017,"","","Retail International mobile roaming prices regulated",,,
12670,"tpIMR_RetailRegulated","Retail international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2018,"","","Retail International mobile roaming prices regulated",,,
12670,"tpIMR_RetailRegulated","Retail international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2019,"","","Retail International mobile roaming prices regulated",,,
12670,"tpIMR_RetailRegulated","Retail international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2020,"","","Retail International mobile roaming prices regulated",,,
12670,"tpIMR_RetailRegulated","Retail international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2021,"","","Retail International mobile roaming prices regulated",,,
12670,"tpIMR_RetailRegulated","Retail international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2022,"","","Retail International mobile roaming prices regulated",,,
12670,"tpIMR_RetailRegulated","Retail international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2023,"","","Retail International mobile roaming prices regulated",,,
12672,"tpIMR_WholesaleRegulated","Wholesale international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2015,"","","Wholesale International mobile roaming prices regulated",,,
12672,"tpIMR_WholesaleRegulated","Wholesale international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2016,"","","Wholesale International mobile roaming prices regulated",,,
12672,"tpIMR_WholesaleRegulated","Wholesale international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2017,"","","Wholesale International mobile roaming prices regulated",,,
12672,"tpIMR_WholesaleRegulated","Wholesale international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2018,"","","Wholesale International mobile roaming prices regulated",,,
12672,"tpIMR_WholesaleRegulated","Wholesale international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2020,"","","Wholesale International mobile roaming prices regulated",,,
12672,"tpIMR_WholesaleRegulated","Wholesale international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2021,"","","Wholesale International mobile roaming prices regulated",,,
12672,"tpIMR_WholesaleRegulated","Wholesale international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2022,"","","Wholesale International mobile roaming prices regulated",,,
12672,"tpIMR_WholesaleRegulated","Wholesale international mobile roaming prices regulated",,,33,"BFA","Burkina Faso","No",2023,"","","Wholesale International mobile roaming prices regulated",,,
12678,"tpIMR_MeasuresToReduceBillShock","Are operators taken any measures to reduce the risk of bill shock",,,33,"BFA","Burkina Faso","No",2015,"","","Are operators taken any measures to reduce the risk of bill shock?",,,
12678,"tpIMR_MeasuresToReduceBillShock","Are operators taken any measures to reduce the risk of bill shock",,,33,"BFA","Burkina Faso","No",2017,"","","Are operators taken any measures to reduce the risk of bill shock?",,,
12678,"tpIMR_MeasuresToReduceBillShock","Are operators taken any measures to reduce the risk of bill shock",,,33,"BFA","Burkina Faso","Yes",2018,"","","Are operators taken any measures to reduce the risk of bill shock?",,,
12678,"tpIMR_MeasuresToReduceBillShock","Are operators taken any measures to reduce the risk of bill shock",,,33,"BFA","Burkina Faso","Yes",2019,"","","Are operators taken any measures to reduce the risk of bill shock?",,,
12678,"tpIMR_MeasuresToReduceBillShock","Are operators taken any measures to reduce the risk of bill shock",,,33,"BFA","Burkina Faso","Yes",2020,"","","Are operators taken any measures to reduce the risk of bill shock?",,,
12678,"tpIMR_MeasuresToReduceBillShock","Are operators taken any measures to reduce the risk of bill shock",,,33,"BFA","Burkina Faso","Yes",2021,"","","Are operators taken any measures to reduce the risk of bill shock?",,,
12678,"tpIMR_MeasuresToReduceBillShock","Are operators taken any measures to reduce the risk of bill shock",,,33,"BFA","Burkina Faso","Yes",2022,"","","Are operators taken any measures to reduce the risk of bill shock?",,,
12678,"tpIMR_MeasuresToReduceBillShock","Are operators taken any measures to reduce the risk of bill shock",,,33,"BFA","Burkina Faso","Yes",2023,"","","Are operators taken any measures to reduce the risk of bill shock?",,,
20366,"tpInternetConn_Access","Country access to international connectivity",,,33,"BFA","Burkina Faso","Yes",2015,"","","Country access to international connectivity",,,
20366,"tpInternetConn_Access","Country access to international connectivity",,,33,"BFA","Burkina Faso","Yes",2018,"","","Country access to international connectivity",,,
20366,"tpInternetConn_Access","Country access to international connectivity",,,33,"BFA","Burkina Faso","Yes",2019,"","","Country access to international connectivity",,,
