"indicateurs","rubriques","Unit","Date","Value"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2015","0.406899674339343"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2016","0.4"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2018","0.4"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2019","0.36"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2020","0.35"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2021","0.37"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2022","0.37"
"Indicateurs de télécommunications de téléphonie fixe","Taux de pénétration (%)","","2023","0.36"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2000","152"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2001","173"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2002","187"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2003","191"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2004","208"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2005","251"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2006","269"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2007","308"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2008","353"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2009","353"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2010","353"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2011","353"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2012","353"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2013","353"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2014","353"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2015","353"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2016","353"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2017","353"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2018","353"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2019","353"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2020","353"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2021","353"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2022","353"
"Indicateurs de télécommunications de téléphonie fixe","Nombre de villes et localités couvertes","","2023","353"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2000","36844.5"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2001","42146.7"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2002","39554.2"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2003","41498.7"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2004","47108.1"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2005","49129"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2006","46740.5"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2007","46350.6"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2008","43849.4"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2009","45033.4"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2010","47037"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2011","35674.9"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2012","25795.7"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2013","24038.6"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2014","23675"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2015","20996"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2016","28454.5"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2018","7375.8"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2019","7443.6"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2020","25484.7"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2021","23356.021908"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2022","23356.0219078"
"Indicateurs de télécommunications de téléphonie fixe","Chiffre d'affaires (en millions FCFA)","","2023","48708.61"
