"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4"
2555,"trRA_CollegialBody_NoFemale","Number of female members",,,33,"BFA","Burkina Faso","0",2015,"","","",,,,
2555,"trRA_CollegialBody_NoFemale","Number of female members",,,33,"BFA","Burkina Faso","0",2017,"","","",,,,
2555,"trRA_CollegialBody_NoFemale","Number of female members",,,33,"BFA","Burkina Faso","0",2018,"","","",,,,
2555,"trRA_CollegialBody_NoFemale","Number of female members",,,33,"BFA","Burkina Faso","0",2019,"","","",,,,
2555,"trRA_CollegialBody_NoFemale","Number of female members",,,33,"BFA","Burkina Faso","0",2022,"","","",,,,
20334,"tpTelecom_Price_Retail_OTT_Voice","Price regulation of OTT voice and messaging",,,33,"BFA","Burkina Faso","Without price control",2015,"","","OTT voice and messaging",,,,
20335,"tpTelecom_Price_Retail_Video","Price regulation of OTT video",,,33,"BFA","Burkina Faso","Without price control",2015,"","","OTT video",,,,
5354,"tpTelecom_Price_Wholesale_InterconFixedTermination","Price regulation of interconnection: fixed termination services",,,33,"BFA","Burkina Faso","With price control",2015,"","","Interconnection: fixed termination",,,,
5356,"tpTelecom_Price_Wholesale_InterconMobileTerminatio","Price regulation of interconnection: mobile termination services",,,33,"BFA","Burkina Faso","With price control",2015,"","","Interconnection: mobile termination",,,,
11767,"trRA_WhoAppointsMembers","Who appoints the members and the Head?",,,33,"BFA","Burkina Faso",,2015,"","","","President/Head of State","Parliament",,
12575,"trNormalPeriodOfAppointment","What is the normal period of appointment for the members and the Head of the Regulatory Authority?",,,33,"BFA","Burkina Faso","6 year or more",2015,"","","",,,,
16130,"trTotalNumberMembers","If the ICT Regulatory Authority is a collegial body, what is the total number of members/commissioners (including the Head)?",,,33,"BFA","Burkina Faso","3, 5 or 7",2015,"","","",,,,
5354,"tpTelecom_Price_Wholesale_InterconFixedTermination","Price regulation of interconnection: fixed termination services",,,33,"BFA","Burkina Faso","With price control",2016,"","","Interconnection: fixed termination",,,,
5356,"tpTelecom_Price_Wholesale_InterconMobileTerminatio","Price regulation of interconnection: mobile termination services",,,33,"BFA","Burkina Faso","With price control",2016,"","","Interconnection: mobile termination",,,,
5337,"tpTelecom_Price_Retail_Mobile_Voice","Price regulation of retail voice services",,,33,"BFA","Burkina Faso","Without price control",2017,"","","Retail voice",,,,
5338,"tpTelecom_Price_Retail_Mobile_SMS","Price regulation of retail SMS",,,33,"BFA","Burkina Faso","Without price control",2017,"","","SMS retail ",,,,
5339,"tpTelecom_Price_Retail_Mobile_NationalRoaming","Price regulation of national retail roaming services (voice, SMS)",,,33,"BFA","Burkina Faso","Without price control",2017,"","","National retail roaming (voice, SMS)",,,,
5340,"tpTelecom_Price_Retail_Mobile_InternationalRoaming","Price regulation of international retail roaming services (voice, SMS)",,,33,"BFA","Burkina Faso","Without price control",2017,"","","International retail roaming (voice, SMS)",,,,
5341,"tpTelecom_Price_Retial_Mobile_InternetAndData","Price regulation of retail Internet access and data services",,,33,"BFA","Burkina Faso","Without price control",2017,"","","Retail Internet access & data",,,,
12661,"tpTelecom_Price_Retail_Mobile_DataRoaming","Price regulation of retail data roaming (Internet connection) services",,,33,"BFA","Burkina Faso","Without price control",2017,"","","Retail data roaming (Internet connection)",,,,
20331,"tpTelecom_Price_Retail_Mobile_CallingCards","Price regulation of retail mobile calling cards",,,33,"BFA","Burkina Faso","Without price control",2017,"","","Retail mobile calling cards",,,,
20334,"tpTelecom_Price_Retail_OTT_Voice","Price regulation of OTT voice and messaging",,,33,"BFA","Burkina Faso","Without price control",2017,"","","OTT voice and messaging",,,,
20335,"tpTelecom_Price_Retail_Video","Price regulation of OTT video",,,33,"BFA","Burkina Faso","Without price control",2017,"","","OTT video",,,,
19268,"trFramework_ICT_accessibility","ICT accessibility policies",,,33,"BFA","Burkina Faso","There is no framework in place for the time being",2017,"","","",,,,
11767,"trRA_WhoAppointsMembers","Who appoints the members and the Head?",,,33,"BFA","Burkina Faso","President/Head of State",2017,"","","",,,,
12575,"trNormalPeriodOfAppointment","What is the normal period of appointment for the members and the Head of the Regulatory Authority?",,,33,"BFA","Burkina Faso","Other",2017,"","","",,,,
21566,"trReasonsForRemoval","What are the reasons for removal?",,,33,"BFA","Burkina Faso",,2017,"","","","Failure to commit appropriate time to their duties","Conflict of interests","Misbehavior and/or abuse","Criminal or other offence"
21568,"trPowerToRemoveHead","Who has the power to remove the Head/ Commissioners?",,,33,"BFA","Burkina Faso","President/Head of State",2017,"","","",,,,
