LIPTAKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,8,  10 195   ,  9 588   ,  19 783   ,  10 378   ,  9 802   ,  20 180   ,  10 630   ,  10 056   ,  20 686   ,  11 017   ,  10 400   ,  21 417   ,  11 423   ,  10 732   ,  22 155   ,  11 721   ,  10 944   ,  22 665   ,  11 991   ,  11 128   ,  23 119   ,  12 183   ,  11 254   ,  23 437   ,  14 292   ,  13 181   ,  27 473   ,  14 432   ,  13 306   ,  27 738   ,  14 489   ,  13 366   ,  27 855   ,  14 575   ,  13 456   ,  28 031   ,  14 643   ,  13 530   ,  28 173   ,  14 703   ,  13 599   ,  28 302   ,  14 763   ,  13 669   ,  28 432   ,  14 819   ,  13 738   ,  28 557   
,9,  9 878   ,  9 236   ,  19 114   ,  10 169   ,  9 561   ,  19 730   ,  10 352   ,  9 777   ,  20 129   ,  10 604   ,  10 032   ,  20 636   ,  10 992   ,  10 379   ,  21 371   ,  11 398   ,  10 713   ,  22 111   ,  11 687   ,  10 918   ,  22 605   ,  11 958   ,  11 104   ,  23 062   ,  14 350   ,  13 273   ,  27 623   ,  14 353   ,  13 247   ,  27 600   ,  14 369   ,  13 259   ,  27 628   ,  14 477   ,  13 369   ,  27 846   ,  14 563   ,  13 460   ,  28 023   ,  14 629   ,  13 535   ,  28 164   ,  14 690   ,  13 604   ,  28 294   ,  14 750   ,  13 675   ,  28 425   
,10,  9 186   ,  8 778   ,  17 964   ,  9 556   ,  9 173   ,  18 729   ,  9 838   ,  9 498   ,  19 336   ,  10 016   ,  9 715   ,  19 731   ,  10 260   ,  9 971   ,  20 231   ,  10 637   ,  10 319   ,  20 956   ,  11 021   ,  10 644   ,  21 665   ,  11 304   ,  10 851   ,  22 155   ,  13 665   ,  13 047   ,  26 712   ,  13 983   ,  13 291   ,  27 274   ,  13 865   ,  13 153   ,  27 018   ,  13 931   ,  13 214   ,  27 145   ,  14 034   ,  13 324   ,  27 358   ,  14 116   ,  13 414   ,  27 530   ,  14 180   ,  13 489   ,  27 669   ,  14 238   ,  13 560   ,  27 798   
,11,  8 639   ,  8 443   ,  17 082   ,  8 891   ,  8 709   ,  17 600   ,  9 250   ,  9 105   ,  18 355   ,  9 524   ,  9 428   ,  18 952   ,  9 696   ,  9 646   ,  19 342   ,  9 934   ,  9 903   ,  19 837   ,  10 290   ,  10 241   ,  20 531   ,  10 665   ,  10 567   ,  21 232   ,  12 927   ,  12 737   ,  25 664   ,  13 321   ,  13 051   ,  26 372   ,  13 512   ,  13 181   ,  26 693   ,  13 447   ,  13 092   ,  26 539   ,  13 509   ,  13 153   ,  26 662   ,  13 608   ,  13 263   ,  26 871   ,  13 687   ,  13 353   ,  27 040   ,  13 750   ,  13 429   ,  27 179   
,12,  8 274   ,  8 143   ,  16 417   ,  8 567   ,  8 415   ,  16 982   ,  8 818   ,  8 682   ,  17 500   ,  9 174   ,  9 077   ,  18 251   ,  9 446   ,  9 402   ,  18 848   ,  9 618   ,  9 621   ,  19 239   ,  9 846   ,  9 871   ,  19 717   ,  10 202   ,  10 211   ,  20 413   ,  12 497   ,  12 459   ,  24 956   ,  12 908   ,  12 794   ,  25 702   ,  13 185   ,  12 996   ,  26 181   ,  13 422   ,  13 175   ,  26 597   ,  13 356   ,  13 087   ,  26 443   ,  13 417   ,  13 148   ,  26 565   ,  13 516   ,  13 257   ,  26 773   ,  13 594   ,  13 348   ,  26 942   
,13,  7 484   ,  7 818   ,  15 302   ,  7 872   ,  8 179   ,  16 051   ,  8 152   ,  8 454   ,  16 606   ,  8 391   ,  8 724   ,  17 115   ,  8 730   ,  9 123   ,  17 853   ,  8 990   ,  9 452   ,  18 442   ,  9 146   ,  9 666   ,  18 812   ,  9 365   ,  9 920   ,  19 285   ,  11 475   ,  12 135   ,  23 610   ,  11 976   ,  12 612   ,  24 588   ,  12 262   ,  12 841   ,  25 103   ,  12 571   ,  13 092   ,  25 663   ,  12 796   ,  13 272   ,  26 068   ,  12 732   ,  13 183   ,  25 915   ,  12 790   ,  13 245   ,  26 035   ,  12 884   ,  13 355   ,  26 239   
,14,  7 158   ,  7 425   ,  14 583   ,  7 475   ,  7 668   ,  15 143   ,  7 863   ,  8 025   ,  15 888   ,  8 142   ,  8 295   ,  16 437   ,  8 382   ,  8 561   ,  16 943   ,  8 722   ,  8 954   ,  17 676   ,  8 974   ,  9 272   ,  18 246   ,  9 133   ,  9 484   ,  18 617   ,  11 058   ,  11 513   ,  22 571   ,  11 538   ,  11 994   ,  23 532   ,  11 938   ,  12 360   ,  24 298   ,  12 266   ,  12 630   ,  24 896   ,  12 575   ,  12 878   ,  25 453   ,  12 799   ,  13 054   ,  25 853   ,  12 734   ,  12 966   ,  25 700   ,  12 792   ,  13 027   ,  25 819   
,15,  6 758   ,  7 375   ,  14 133   ,  7 114   ,  7 591   ,  14 705   ,  7 429   ,  7 841   ,  15 270   ,  7 815   ,  8 206   ,  16 021   ,  8 094   ,  8 484   ,  16 578   ,  8 334   ,  8 759   ,  17 093   ,  8 666   ,  9 155   ,  17 821   ,  8 918   ,  9 481   ,  18 399   ,  10 737   ,  11 480   ,  22 217   ,  11 071   ,  11 865   ,  22 936   ,  11 452   ,  12 258   ,  23 710   ,  11 892   ,  12 678   ,  24 570   ,  12 220   ,  12 954   ,  25 174   ,  12 526   ,  13 207   ,  25 733   ,  12 749   ,  13 388   ,  26 137   ,  12 685   ,  13 298   ,  25 983   
,16,  6 400   ,  7 062   ,  13 462   ,  6 852   ,  7 311   ,  14 163   ,  7 214   ,  7 526   ,  14 740   ,  7 534   ,  7 776   ,  15 310   ,  7 927   ,  8 139   ,  16 066   ,  8 211   ,  8 417   ,  16 628   ,  8 447   ,  8 683   ,  17 130   ,  8 786   ,  9 078   ,  17 864   ,  10 696   ,  11 128   ,  21 824   ,  10 962   ,  11 464   ,  22 426   ,  11 207   ,  11 748   ,  22 955   ,  11 634   ,  12 180   ,  23 814   ,  12 081   ,  12 598   ,  24 679   ,  12 413   ,  12 872   ,  25 285   ,  12 724   ,  13 123   ,  25 847   ,  12 952   ,  13 302   ,  26 254   
,17,  6 079   ,  6 732   ,  12 811   ,  6 376   ,  6 777   ,  13 153   ,  6 828   ,  7 017   ,  13 845   ,  7 189   ,  7 224   ,  14 413   ,  7 508   ,  7 465   ,  14 973   ,  7 901   ,  7 817   ,  15 718   ,  8 178   ,  8 078   ,  16 256   ,  8 415   ,  8 335   ,  16 750   ,  10 353   ,  10 317   ,  20 670   ,  10 730   ,  10 760   ,  21 490   ,  10 902   ,  10 992   ,  21 894   ,  11 185   ,  11 305   ,  22 490   ,  11 612   ,  11 722   ,  23 334   ,  12 057   ,  12 123   ,  24 180   ,  12 389   ,  12 387   ,  24 776   ,  12 700   ,  12 628   ,  25 328   
,18,  6 156   ,  6 474   ,  12 630   ,  6 333   ,  6 329   ,  12 662   ,  6 643   ,  6 372   ,  13 015   ,  7 114   ,  6 599   ,  13 713   ,  7 491   ,  6 795   ,  14 286   ,  7 825   ,  7 024   ,  14 849   ,  8 229   ,  7 349   ,  15 578   ,  8 520   ,  7 597   ,  16 117   ,  10 365   ,  9 281   ,  19 646   ,  10 857   ,  9 774   ,  20 631   ,  11 156   ,  10 108   ,  21 264   ,  11 375   ,  10 363   ,  21 738   ,  11 670   ,  10 658   ,  22 328   ,  12 115   ,  11 051   ,  23 166   ,  12 580   ,  11 428   ,  24 008   ,  12 926   ,  11 677   ,  24 603   
,19,  5 922   ,  6 454   ,  12 376   ,  6 140   ,  6 429   ,  12 569   ,  6 318   ,  6 286   ,  12 604   ,  6 628   ,  6 330   ,  12 958   ,  7 100   ,  6 557   ,  13 657   ,  7 478   ,  6 754   ,  14 232   ,  7 805   ,  6 977   ,  14 782   ,  8 211   ,  7 302   ,  15 513   ,  10 052   ,  8 937   ,  18 989   ,  10 417   ,  9 289   ,  19 706   ,  10 819   ,  9 699   ,  20 518   ,  11 157   ,  10 067   ,  21 224   ,  11 376   ,  10 322   ,  21 698   ,  11 670   ,  10 616   ,  22 286   ,  12 116   ,  11 007   ,  23 123   ,  12 582   ,  11 383   ,  23 965   
,20,  5 649   ,  6 230   ,  11 879   ,  5 915   ,  6 405   ,  12 320   ,  6 133   ,  6 382   ,  12 515   ,  6 312   ,  6 240   ,  12 552   ,  6 623   ,  6 286   ,  12 909   ,  7 097   ,  6 513   ,  13 610   ,  7 470   ,  6 705   ,  14 175   ,  7 800   ,  6 928   ,  14 728   ,  9 707   ,  8 586   ,  18 293   ,  10 120   ,  8 940   ,  19 060   ,  10 399   ,  9 213   ,  19 612   ,  10 839   ,  9 655   ,  20 494   ,  11 178   ,  10 023   ,  21 201   ,  11 398   ,  10 276   ,  21 674   ,  11 693   ,  10 569   ,  22 262   ,  12 141   ,  10 959   ,  23 100   
