NAKAMBÉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,8,  27 180   ,  26 512   ,  53 692   ,  27 743   ,  27 194   ,  54 937   ,  28 500   ,  27 986   ,  56 486   ,  29 632   ,  29 034   ,  58 666   ,  30 826   ,  30 047   ,  60 873   ,  31 740   ,  30 722   ,  62 462   ,  32 588   ,  31 315   ,  63 903   ,  33 232   ,  31 740   ,  64 972   ,  32 246   ,  30 685   ,  62 931   ,  32 538   ,  30 893   ,  63 431   ,  32 890   ,  31 176   ,  64 066   ,  33 197   ,  31 414   ,  64 611   ,  33 471   ,  31 617   ,  65 088   ,  33 735   ,  31 807   ,  65 542   ,  34 002   ,  31 997   ,  65 999   ,  34 264   ,  32 179   ,  66 443   
,9,  25 976   ,  24 885   ,  50 861   ,  26 815   ,  25 845   ,  52 660   ,  27 378   ,  26 514   ,  53 892   ,  28 132   ,  27 289   ,  55 421   ,  29 258   ,  28 313   ,  57 571   ,  30 444   ,  29 302   ,  59 746   ,  31 329   ,  29 936   ,  61 265   ,  32 176   ,  30 518   ,  62 694   ,  31 935   ,  30 108   ,  62 043   ,  31 919   ,  29 969   ,  61 888   ,  32 175   ,  30 136   ,  62 311   ,  32 527   ,  30 413   ,  62 940   ,  32 835   ,  30 646   ,  63 481   ,  33 110   ,  30 845   ,  63 955   ,  33 374   ,  31 030   ,  64 404   ,  33 638   ,  31 213   ,  64 851   
,10,  24 840   ,  23 637   ,  48 477   ,  25 912   ,  24 785   ,  50 697   ,  26 754   ,  25 743   ,  52 497   ,  27 324   ,  26 412   ,  53 736   ,  28 084   ,  27 185   ,  55 269   ,  29 215   ,  28 207   ,  57 422   ,  30 381   ,  29 169   ,  59 550   ,  31 274   ,  29 804   ,  61 078   ,  31 271   ,  29 580   ,  60 851   ,  31 975   ,  30 051   ,  62 026   ,  31 925   ,  29 877   ,  61 802   ,  32 184   ,  30 043   ,  62 227   ,  32 539   ,  30 320   ,  62 859   ,  32 850   ,  30 553   ,  63 403   ,  33 127   ,  30 751   ,  63 878   ,  33 390   ,  30 933   ,  64 323   
,11,  24 300   ,  22 809   ,  47 109   ,  25 080   ,  23 606   ,  48 686   ,  26 168   ,  24 754   ,  50 922   ,  27 026   ,  25 714   ,  52 740   ,  27 608   ,  26 383   ,  53 991   ,  28 382   ,  27 155   ,  55 537   ,  29 507   ,  28 153   ,  57 660   ,  30 694   ,  29 116   ,  59 810   ,  30 773   ,  28 969   ,  59 742   ,  31 689   ,  29 600   ,  61 289   ,  32 365   ,  30 035   ,  62 400   ,  32 316   ,  29 859   ,  62 175   ,  32 582   ,  30 026   ,  62 608   ,  32 945   ,  30 303   ,  63 248   ,  33 262   ,  30 535   ,  63 797   ,  33 542   ,  30 730   ,  64 272   
,12,  23 060   ,  21 525   ,  44 585   ,  23 943   ,  22 317   ,  46 260   ,  24 716   ,  23 098   ,  47 814   ,  25 796   ,  24 224   ,  50 020   ,  26 648   ,  25 163   ,  51 811   ,  27 228   ,  25 818   ,  53 046   ,  27 974   ,  26 552   ,  54 526   ,  29 092   ,  27 530   ,  56 622   ,  29 477   ,  27 727   ,  57 204   ,  30 423   ,  28 395   ,  58 818   ,  31 292   ,  28 978   ,  60 270   ,  31 962   ,  29 403   ,  61 365   ,  31 918   ,  29 231   ,  61 149   ,  32 184   ,  29 395   ,  61 579   ,  32 545   ,  29 665   ,  62 210   ,  32 858   ,  29 889   ,  62 747   
,13,  21 773   ,  20 247   ,  42 020   ,  22 966   ,  21 254   ,  44 220   ,  23 851   ,  22 037   ,  45 888   ,  24 628   ,  22 810   ,  47 438   ,  25 711   ,  23 922   ,  49 633   ,  26 566   ,  24 850   ,  51 416   ,  27 127   ,  25 476   ,  52 603   ,  27 879   ,  26 203   ,  54 082   ,  28 253   ,  26 459   ,  54 712   ,  29 465   ,  27 424   ,  56 889   ,  30 377   ,  28 052   ,  58 429   ,  31 247   ,  28 626   ,  59 873   ,  31 920   ,  29 046   ,  60 966   ,  31 880   ,  28 877   ,  60 757   ,  32 148   ,  29 037   ,  61 185   ,  32 508   ,  29 300   ,  61 808   
,14,  20 563   ,  19 306   ,  39 869   ,  21 529   ,  20 006   ,  41 535   ,  22 715   ,  21 002   ,  43 717   ,  23 596   ,  21 776   ,  45 372   ,  24 371   ,  22 540   ,  46 911   ,  25 448   ,  23 638   ,  49 086   ,  26 278   ,  24 534   ,  50 812   ,  26 841   ,  25 154   ,  51 995   ,  26 880   ,  25 203   ,  52 083   ,  28 027   ,  26 188   ,  54 215   ,  29 198   ,  27 112   ,  56 310   ,  30 103   ,  27 730   ,  57 833   ,  30 970   ,  28 297   ,  59 267   ,  31 640   ,  28 711   ,  60 351   ,  31 602   ,  28 542   ,  60 144   ,  31 867   ,  28 696   ,  60 563   
,15,  18 599   ,  18 369   ,  36 968   ,  19 633   ,  18 968   ,  38 601   ,  20 561   ,  19 656   ,  40 217   ,  21 701   ,  20 635   ,  42 336   ,  22 549   ,  21 396   ,  43 945   ,  23 296   ,  22 145   ,  45 441   ,  24 311   ,  23 204   ,  47 515   ,  25 113   ,  24 086   ,  49 199   ,  25 007   ,  24 073   ,  49 080   ,  25 767   ,  24 812   ,  50 579   ,  26 838   ,  25 753   ,  52 591   ,  27 963   ,  26 659   ,  54 622   ,  28 835   ,  27 266   ,  56 101   ,  29 669   ,  27 823   ,  57 492   ,  30 315   ,  28 228   ,  58 543   ,  30 278   ,  28 057   ,  58 335   
,16,  16 710   ,  17 539   ,  34 249   ,  17 941   ,  18 217   ,  36 158   ,  18 943   ,  18 812   ,  37 755   ,  19 845   ,  19 495   ,  39 340   ,  20 951   ,  20 466   ,  41 417   ,  21 775   ,  21 219   ,  42 994   ,  22 483   ,  21 944   ,  44 427   ,  23 470   ,  22 995   ,  46 465   ,  23 636   ,  23 267   ,  46 903   ,  24 204   ,  23 903   ,  48 107   ,  24 915   ,  24 610   ,  49 525   ,  25 953   ,  25 540   ,  51 493   ,  27 046   ,  26 438   ,  53 484   ,  27 893   ,  27 039   ,  54 932   ,  28 703   ,  27 589   ,  56 292   ,  29 328   ,  27 985   ,  57 313   
,17,  15 309   ,  17 285   ,  32 594   ,  16 100   ,  17 459   ,  33 559   ,  17 291   ,  18 135   ,  35 426   ,  18 262   ,  18 728   ,  36 990   ,  19 138   ,  19 409   ,  38 547   ,  20 209   ,  20 374   ,  40 583   ,  20 992   ,  21 107   ,  42 099   ,  21 681   ,  21 830   ,  43 511   ,  22 065   ,  22 302   ,  44 367   ,  22 851   ,  23 198   ,  46 049   ,  23 377   ,  23 807   ,  47 184   ,  24 065   ,  24 508   ,  48 573   ,  25 072   ,  25 434   ,  50 506   ,  26 132   ,  26 328   ,  52 460   ,  26 953   ,  26 924   ,  53 877   ,  27 735   ,  27 467   ,  55 202   
