DJÔRÔ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,8,  13 299   ,  12 883   ,  26 182   ,  13 562   ,  13 197   ,  26 759   ,  13 918   ,  13 564   ,  27 482   ,  14 455   ,  14 055   ,  28 510   ,  15 018   ,  14 527   ,  29 545   ,  15 442   ,  14 834   ,  30 276   ,  16 048   ,  15 309   ,  31 357   ,  16 559   ,  15 707   ,  32 266   ,  16 465   ,  15 571   ,  32 036   ,  16 557   ,  15 633   ,  32 190   ,  16 674   ,  15 733   ,  32 407   ,  16 764   ,  15 808   ,  32 572   ,  16 835   ,  15 865   ,  32 700   ,  16 900   ,  15 915   ,  32 815   ,  16 966   ,  15 964   ,  32 930   ,  17 029   ,  16 008   ,  33 037   
,9,  12 903   ,  12 452   ,  25 355   ,  13 307   ,  12 915   ,  26 222   ,  13 573   ,  13 232   ,  26 805   ,  13 931   ,  13 602   ,  27 533   ,  14 470   ,  14 095   ,  28 565   ,  15 036   ,  14 569   ,  29 605   ,  15 662   ,  15 070   ,  30 732   ,  16 276   ,  15 551   ,  31 827   ,  16 554   ,  15 732   ,  32 286   ,  16 488   ,  15 616   ,  32 104   ,  16 559   ,  15 660   ,  32 219   ,  16 674   ,  15 759   ,  32 433   ,  16 765   ,  15 834   ,  32 599   ,  16 838   ,  15 892   ,  32 730   ,  16 905   ,  15 941   ,  32 846   ,  16 971   ,  15 988   ,  32 959   
,10,  12 249   ,  11 875   ,  24 124   ,  12 767   ,  12 435   ,  25 202   ,  13 168   ,  12 899   ,  26 067   ,  13 434   ,  13 218   ,  26 652   ,  13 790   ,  13 588   ,  27 378   ,  14 325   ,  14 081   ,  28 406   ,  15 079   ,  14 743   ,  29 822   ,  15 706   ,  15 249   ,  30 955   ,  16 093   ,  15 518   ,  31 611   ,  16 398   ,  15 722   ,  32 120   ,  16 311   ,  15 588   ,  31 899   ,  16 380   ,  15 630   ,  32 010   ,  16 495   ,  15 729   ,  32 224   ,  16 586   ,  15 805   ,  32 391   ,  16 659   ,  15 861   ,  32 520   ,  16 725   ,  15 909   ,  32 634   
,11,  11 841   ,  11 463   ,  23 304   ,  12 210   ,  11 847   ,  24 057   ,  12 727   ,  12 408   ,  25 135   ,  13 130   ,  12 873   ,  26 003   ,  13 395   ,  13 191   ,  26 586   ,  13 752   ,  13 560   ,  27 312   ,  14 471   ,  14 234   ,  28 705   ,  15 232   ,  14 902   ,  30 134   ,  15 649   ,  15 203   ,  30 852   ,  16 059   ,  15 491   ,  31 550   ,  16 340   ,  15 675   ,  32 015   ,  16 252   ,  15 540   ,  31 792   ,  16 321   ,  15 582   ,  31 903   ,  16 437   ,  15 681   ,  32 118   ,  16 529   ,  15 756   ,  32 285   ,  16 602   ,  15 810   ,  32 412   
,12,  11 496   ,  11 096   ,  22 592   ,  11 926   ,  11 488   ,  23 414   ,  12 298   ,  11 875   ,  24 173   ,  12 821   ,  12 438   ,  25 259   ,  13 228   ,  12 905   ,  26 133   ,  13 497   ,  13 224   ,  26 721   ,  14 036   ,  13 769   ,  27 805   ,  14 770   ,  14 452   ,  29 222   ,  15 336   ,  14 925   ,  30 261   ,  15 773   ,  15 242   ,  31 015   ,  16 163   ,  15 512   ,  31 675   ,  16 445   ,  15 695   ,  32 140   ,  16 357   ,  15 559   ,  31 916   ,  16 428   ,  15 602   ,  32 030   ,  16 546   ,  15 699   ,  32 245   ,  16 639   ,  15 772   ,  32 411   
,13,  11 223   ,  9 882   ,  21 105   ,  11 828   ,  10 359   ,  22 187   ,  12 271   ,  10 727   ,  22 998   ,  12 657   ,  11 089   ,  23 746   ,  13 196   ,  11 615   ,  24 811   ,  13 616   ,  12 051   ,  25 667   ,  14 074   ,  12 509   ,  26 583   ,  14 635   ,  13 024   ,  27 659   ,  15 198   ,  13 485   ,  28 683   ,  15 795   ,  13 938   ,  29 733   ,  16 223   ,  14 218   ,  30 441   ,  16 623   ,  14 468   ,  31 091   ,  16 914   ,  14 638   ,  31 552   ,  16 825   ,  14 512   ,  31 337   ,  16 899   ,  14 550   ,  31 449   ,  17 021   ,  14 639   ,  31 660   
,14,  10 699   ,  9 458   ,  20 157   ,  11 191   ,  9 787   ,  20 978   ,  11 796   ,  10 261   ,  22 057   ,  12 240   ,  10 626   ,  22 866   ,  12 626   ,  10 985   ,  23 611   ,  13 165   ,  11 506   ,  24 671   ,  13 761   ,  12 091   ,  25 852   ,  14 222   ,  12 549   ,  26 771   ,  14 596   ,  12 893   ,  27 489   ,  15 165   ,  13 360   ,  28 525   ,  15 740   ,  13 793   ,  29 533   ,  16 165   ,  14 067   ,  30 232   ,  16 564   ,  14 314   ,  30 878   ,  16 855   ,  14 482   ,  31 337   ,  16 768   ,  14 355   ,  31 123   ,  16 841   ,  14 391   ,  31 232   
,15,  9 782   ,  8 896   ,  18 678   ,  10 316   ,  9 174   ,  19 490   ,  10 793   ,  9 495   ,  20 288   ,  11 379   ,  9 955   ,  21 334   ,  11 809   ,  10 309   ,  22 118   ,  12 183   ,  10 657   ,  22 840   ,  12 869   ,  11 306   ,  24 175   ,  13 451   ,  11 880   ,  25 331   ,  13 726   ,  12 175   ,  25 901   ,  14 094   ,  12 514   ,  26 608   ,  14 624   ,  12 953   ,  27 577   ,  15 178   ,  13 370   ,  28 548   ,  15 589   ,  13 636   ,  29 225   ,  15 977   ,  13 875   ,  29 852   ,  16 259   ,  14 036   ,  30 295   ,  16 175   ,  13 910   ,  30 085   
,16,  9 038   ,  8 557   ,  17 595   ,  9 694   ,  8 875   ,  18 569   ,  10 225   ,  9 153   ,  19 378   ,  10 700   ,  9 474   ,  20 174   ,  11 282   ,  9 933   ,  21 215   ,  11 710   ,  10 286   ,  21 996   ,  12 238   ,  10 770   ,  23 008   ,  12 927   ,  11 424   ,  24 351   ,  13 341   ,  11 853   ,  25 194   ,  13 614   ,  12 144   ,  25 758   ,  13 961   ,  12 468   ,  26 429   ,  14 486   ,  12 902   ,  27 388   ,  15 036   ,  13 318   ,  28 354   ,  15 446   ,  13 582   ,  29 028   ,  15 831   ,  13 818   ,  29 649   ,  16 111   ,  13 976   ,  30 087   
,17,  8 551   ,  8 433   ,  16 984   ,  8 985   ,  8 506   ,  17 491   ,  9 640   ,  8 824   ,  18 464   ,  10 170   ,  9 101   ,  19 271   ,  10 644   ,  9 420   ,  20 064   ,  11 225   ,  9 877   ,  21 102   ,  11 802   ,  10 360   ,  22 162   ,  12 334   ,  10 846   ,  23 180   ,  12 862   ,  11 362   ,  24 224   ,  13 274   ,  11 786   ,  25 060   ,  13 529   ,  12 061   ,  25 590   ,  13 873   ,  12 381   ,  26 254   ,  14 397   ,  12 813   ,  27 210   ,  14 945   ,  13 225   ,  28 170   ,  15 353   ,  13 486   ,  28 839   ,  15 737   ,  13 718   ,  29 455   
