KOULSÉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,8,  27 870   ,  28 081   ,  55 951   ,  28 496   ,  28 846   ,  57 342   ,  29 320   ,  29 729   ,  59 049   ,  30 530   ,  30 888   ,  61 418   ,  31 802   ,  32 014   ,  63 816   ,  32 786   ,  32 780   ,  65 566   ,  33 695   ,  33 457   ,  67 152   ,  34 390   ,  33 955   ,  68 345   ,  37 314   ,  36 729   ,  74 043   ,  37 697   ,  37 044   ,  74 741   ,  38 107   ,  37 412   ,  75 519   ,  38 484   ,  37 751   ,  76 235   ,  38 821   ,  38 053   ,  76 874   ,  39 144   ,  38 341   ,  77 485   ,  39 470   ,  38 633   ,  78 103   ,  39 790   ,  38 918   ,  78 708   
,9,  26 832   ,  27 026   ,  53 858   ,  27 745   ,  28 109   ,  55 854   ,  28 373   ,  28 879   ,  57 252   ,  29 198   ,  29 766   ,  58 964   ,  30 407   ,  30 930   ,  61 337   ,  31 678   ,  32 057   ,  63 735   ,  32 632   ,  32 795   ,  65 427   ,  33 542   ,  33 474   ,  67 016   ,  37 226   ,  36 952   ,  74 178   ,  37 251   ,  36 847   ,  74 098   ,  37 553   ,  37 080   ,  74 633   ,  37 984   ,  37 474   ,  75 458   ,  38 363   ,  37 819   ,  76 182   ,  38 701   ,  38 123   ,  76 824   ,  39 026   ,  38 415   ,  77 441   ,  39 350   ,  38 706   ,  78 056   
,10,  25 275   ,  25 664   ,  50 939   ,  26 411   ,  26 950   ,  53 361   ,  27 314   ,  28 034   ,  55 348   ,  27 936   ,  28 804   ,  56 740   ,  28 752   ,  29 692   ,  58 444   ,  29 945   ,  30 852   ,  60 797   ,  31 172   ,  31 947   ,  63 119   ,  32 116   ,  32 684   ,  64 800   ,  35 908   ,  36 296   ,  72 204   ,  36 760   ,  36 940   ,  73 700   ,  36 704   ,  36 753   ,  73 457   ,  37 022   ,  37 010   ,  74 032   ,  37 450   ,  37 408   ,  74 858   ,  37 824   ,  37 754   ,  75 578   ,  38 159   ,  38 060   ,  76 219   ,  38 478   ,  38 350   ,  76 828   
,11,  24 243   ,  24 666   ,  48 909   ,  25 063   ,  25 565   ,  50 628   ,  26 193   ,  26 848   ,  53 041   ,  27 092   ,  27 930   ,  55 022   ,  27 712   ,  28 699   ,  56 411   ,  28 523   ,  29 583   ,  58 106   ,  29 684   ,  30 711   ,  60 395   ,  30 904   ,  31 802   ,  62 706   ,  34 646   ,  35 404   ,  70 050   ,  35 720   ,  36 239   ,  71 959   ,  36 483   ,  36 799   ,  73 282   ,  36 448   ,  36 637   ,  73 085   ,  36 767   ,  36 897   ,  73 664   ,  37 192   ,  37 295   ,  74 487   ,  37 566   ,  37 642   ,  75 208   ,  37 897   ,  37 946   ,  75 843   
,12,  23 350   ,  23 771   ,  47 121   ,  24 285   ,  24 680   ,  48 965   ,  25 110   ,  25 582   ,  50 692   ,  26 245   ,  26 868   ,  53 113   ,  27 149   ,  27 952   ,  55 101   ,  27 773   ,  28 721   ,  56 494   ,  28 563   ,  29 577   ,  58 140   ,  29 729   ,  30 705   ,  60 434   ,  33 684   ,  34 603   ,  68 287   ,  34 806   ,  35 500   ,  70 306   ,  35 802   ,  36 256   ,  72 058   ,  36 589   ,  36 840   ,  73 429   ,  36 557   ,  36 681   ,  73 238   ,  36 878   ,  36 943   ,  73 821   ,  37 306   ,  37 343   ,  74 649   ,  37 680   ,  37 688   ,  75 368   
,13,  22 224   ,  22 806   ,  45 030   ,  23 483   ,  23 974   ,  47 457   ,  24 427   ,  24 894   ,  49 321   ,  25 260   ,  25 805   ,  51 065   ,  26 405   ,  27 104   ,  53 509   ,  27 317   ,  28 196   ,  55 513   ,  27 921   ,  28 945   ,  56 866   ,  28 720   ,  29 810   ,  58 530   ,  32 545   ,  33 680   ,  66 225   ,  33 983   ,  34 971   ,  68 954   ,  35 035   ,  35 798   ,  70 833   ,  36 059   ,  36 583   ,  72 642   ,  36 855   ,  37 176   ,  74 031   ,  36 824   ,  37 017   ,  73 841   ,  37 149   ,  37 283   ,  74 432   ,  37 580   ,  37 684   ,  75 264   
,14,  20 982   ,  21 642   ,  42 624   ,  22 006   ,  22 459   ,  44 465   ,  23 256   ,  23 612   ,  46 868   ,  24 193   ,  24 518   ,  48 711   ,  25 022   ,  25 416   ,  50 438   ,  26 158   ,  26 693   ,  52 851   ,  27 039   ,  27 742   ,  54 781   ,  27 641   ,  28 479   ,  56 120   ,  30 954   ,  31 928   ,  62 882   ,  32 313   ,  33 235   ,  65 548   ,  33 665   ,  34 433   ,  68 098   ,  34 728   ,  35 268   ,  69 996   ,  35 746   ,  36 045   ,  71 791   ,  36 535   ,  36 629   ,  73 164   ,  36 506   ,  36 472   ,  72 978   ,  36 827   ,  36 730   ,  73 557   
,15,  19 346   ,  19 889   ,  39 235   ,  20 456   ,  20 568   ,  41 024   ,  21 458   ,  21 346   ,  42 804   ,  22 680   ,  22 442   ,  45 122   ,  23 599   ,  23 304   ,  46 903   ,  24 410   ,  24 155   ,  48 565   ,  25 499   ,  25 344   ,  50 843   ,  26 363   ,  26 340   ,  52 703   ,  29 354   ,  29 457   ,  58 811   ,  30 282   ,  30 416   ,  60 698   ,  31 542   ,  31 592   ,  63 134   ,  32 883   ,  32 751   ,  65 634   ,  33 926   ,  33 547   ,  67 473   ,  34 922   ,  34 286   ,  69 208   ,  35 696   ,  34 841   ,  70 537   ,  35 667   ,  34 688   ,  70 355   
,16,  17 247   ,  18 667   ,  35 914   ,  18 549   ,  19 417   ,  37 966   ,  19 617   ,  20 080   ,  39 697   ,  20 581   ,  20 841   ,  41 422   ,  21 757   ,  21 911   ,  43 668   ,  22 640   ,  22 751   ,  45 391   ,  23 399   ,  23 559   ,  46 958   ,  24 448   ,  24 719   ,  49 167   ,  27 531   ,  27 985   ,  55 516   ,  28 226   ,  28 802   ,  57 028   ,  29 056   ,  29 675   ,  58 731   ,  30 284   ,  30 840   ,  61 124   ,  31 575   ,  31 973   ,  63 548   ,  32 578   ,  32 751   ,  65 329   ,  33 538   ,  33 471   ,  67 009   ,  34 281   ,  34 010   ,  68 291   
,17,  16 178   ,  18 747   ,  34 925   ,  17 043   ,  18 962   ,  36 005   ,  18 334   ,  19 726   ,  38 060   ,  19 392   ,  20 400   ,  39 792   ,  20 348   ,  21 174   ,  41 522   ,  21 514   ,  22 260   ,  43 774   ,  22 370   ,  23 091   ,  45 461   ,  23 124   ,  23 913   ,  47 037   ,  26 314   ,  27 335   ,  53 649   ,  27 284   ,  28 483   ,  55 767   ,  27 914   ,  29 252   ,  57 166   ,  28 752   ,  30 157   ,  58 909   ,  29 970   ,  31 344   ,  61 314   ,  31 250   ,  32 496   ,  63 746   ,  32 245   ,  33 286   ,  65 531   ,  33 194   ,  34 014   ,  67 208   
