OUBRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,8,  17 576   ,  17 424   ,  35 000   ,  17 918   ,  17 845   ,  35 763   ,  18 384   ,  18 335   ,  36 719   ,  19 091   ,  18 993   ,  38 084   ,  19 834   ,  19 625   ,  39 459   ,  20 397   ,  20 036   ,  40 433   ,  20 915   ,  20 392   ,  41 307   ,  21 300   ,  20 638   ,  41 938   ,  18 428   ,  17 786   ,  36 214   ,  18 564   ,  17 875   ,  36 439   ,  18 730   ,  18 006   ,  36 736   ,  18 867   ,  18 110   ,  36 977   ,  18 983   ,  18 196   ,  37 179   ,  19 093   ,  18 275   ,  37 368   ,  19 203   ,  18 354   ,  37 557   ,  19 312   ,  18 430   ,  37 742   
,9,  16 949   ,  16 808   ,  33 757   ,  17 474   ,  17 429   ,  34 903   ,  17 819   ,  17 852   ,  35 671   ,  18 287   ,  18 345   ,  36 632   ,  18 994   ,  19 005   ,  37 999   ,  19 739   ,  19 639   ,  39 378   ,  20 287   ,  20 035   ,  40 322   ,  20 808   ,  20 393   ,  41 201   ,  18 414   ,  17 936   ,  36 350   ,  18 373   ,  17 821   ,  36 194   ,  18 487   ,  17 887   ,  36 374   ,  18 651   ,  18 019   ,  36 670   ,  18 789   ,  18 126   ,  36 915   ,  18 907   ,  18 213   ,  37 120   ,  19 018   ,  18 293   ,  37 311   ,  19 129   ,  18 372   ,  37 501   
,10,  15 991   ,  16 001   ,  31 992   ,  16 661   ,  16 751   ,  33 412   ,  17 181   ,  17 372   ,  34 553   ,  17 525   ,  17 796   ,  35 321   ,  17 990   ,  18 289   ,  36 279   ,  18 690   ,  18 948   ,  37 638   ,  19 412   ,  19 565   ,  38 977   ,  19 956   ,  19 961   ,  39 917   ,  17 791   ,  17 660   ,  35 451   ,  18 161   ,  17 910   ,  36 071   ,  18 098   ,  17 773   ,  35 871   ,  18 209   ,  17 840   ,  36 049   ,  18 372   ,  17 973   ,  36 345   ,  18 509   ,  18 081   ,  36 590   ,  18 626   ,  18 168   ,  36 794   ,  18 735   ,  18 248   ,  36 983   
,11,  15 364   ,  15 415   ,  30 779   ,  15 837   ,  15 929   ,  31 766   ,  16 504   ,  16 678   ,  33 182   ,  17 023   ,  17 297   ,  34 320   ,  17 368   ,  17 720   ,  35 088   ,  17 832   ,  18 212   ,  36 044   ,  18 515   ,  18 853   ,  37 368   ,  19 235   ,  19 468   ,  38 703   ,  17 194   ,  17 268   ,  34 462   ,  17 676   ,  17 612   ,  35 288   ,  18 019   ,  17 838   ,  35 857   ,  17 956   ,  17 702   ,  35 658   ,  18 067   ,  17 770   ,  35 837   ,  18 230   ,  17 904   ,  36 134   ,  18 366   ,  18 012   ,  36 378   ,  18 483   ,  18 099   ,  36 582   
,12,  14 824   ,  14 893   ,  29 717   ,  15 373   ,  15 417   ,  30 790   ,  15 850   ,  15 932   ,  31 782   ,  16 521   ,  16 682   ,  33 203   ,  17 045   ,  17 303   ,  34 348   ,  17 394   ,  17 726   ,  35 120   ,  17 848   ,  18 203   ,  36 051   ,  18 537   ,  18 845   ,  37 382   ,  16 747   ,  16 920   ,  33 667   ,  17 255   ,  17 297   ,  34 552   ,  17 714   ,  17 619   ,  35 333   ,  18 058   ,  17 845   ,  35 903   ,  17 996   ,  17 711   ,  35 707   ,  18 108   ,  17 780   ,  35 888   ,  18 272   ,  17 915   ,  36 187   ,  18 410   ,  18 022   ,  36 432   
,13,  14 134   ,  14 326   ,  28 460   ,  14 891   ,  15 015   ,  29 906   ,  15 445   ,  15 544   ,  30 989   ,  15 928   ,  16 064   ,  31 992   ,  16 607   ,  16 821   ,  33 428   ,  17 138   ,  17 448   ,  34 586   ,  17 478   ,  17 860   ,  35 338   ,  17 938   ,  18 343   ,  36 281   ,  16 209   ,  16 512   ,  32 721   ,  16 876   ,  17 083   ,  33 959   ,  17 365   ,  17 442   ,  34 807   ,  17 827   ,  17 767   ,  35 594   ,  18 174   ,  17 997   ,  36 171   ,  18 113   ,  17 862   ,  35 975   ,  18 227   ,  17 932   ,  36 159   ,  18 393   ,  18 067   ,  36 460   
,14,  13 368   ,  13 630   ,  26 998   ,  13 979   ,  14 103   ,  28 082   ,  14 731   ,  14 782   ,  29 513   ,  15 283   ,  15 303   ,  30 586   ,  15 765   ,  15 815   ,  31 580   ,  16 440   ,  16 561   ,  33 001   ,  16 955   ,  17 163   ,  34 118   ,  17 295   ,  17 570   ,  34 865   ,  15 443   ,  15 694   ,  31 137   ,  16 075   ,  16 278   ,  32 353   ,  16 715   ,  16 821   ,  33 536   ,  17 199   ,  17 174   ,  34 373   ,  17 658   ,  17 495   ,  35 153   ,  18 002   ,  17 721   ,  35 723   ,  17 943   ,  17 588   ,  35 531   ,  18 056   ,  17 656   ,  35 712   
,15,  12 960   ,  13 568   ,  26 528   ,  13 663   ,  13 989   ,  27 652   ,  14 292   ,  14 475   ,  28 767   ,  15 065   ,  15 172   ,  30 237   ,  15 634   ,  15 707   ,  31 341   ,  16 131   ,  16 233   ,  32 364   ,  16 813   ,  16 984   ,  33 797   ,  17 344   ,  17 602   ,  34 946   ,  15 399   ,  15 683   ,  31 082   ,  15 840   ,  16 136   ,  31 976   ,  16 468   ,  16 717   ,  33 185   ,  17 124   ,  17 274   ,  34 398   ,  17 622   ,  17 637   ,  35 259   ,  18 094   ,  17 967   ,  36 061   ,  18 448   ,  18 199   ,  36 647   ,  18 388   ,  18 061   ,  36 449   
,16,  11 736   ,  12 355   ,  24 091   ,  12 585   ,  12 813   ,  25 398   ,  13 271   ,  13 211   ,  26 482   ,  13 886   ,  13 670   ,  27 556   ,  14 641   ,  14 328   ,  28 969   ,  15 198   ,  14 833   ,  30 031   ,  15 672   ,  15 317   ,  30 989   ,  16 338   ,  16 026   ,  32 364   ,  14 670   ,  14 456   ,  29 126   ,  14 998   ,  14 825   ,  29 823   ,  15 409   ,  15 235   ,  30 644   ,  16 019   ,  15 782   ,  31 801   ,  16 660   ,  16 309   ,  32 969   ,  17 146   ,  16 652   ,  33 798   ,  17 606   ,  16 963   ,  34 569   ,  17 952   ,  17 180   ,  35 132   
,17,  10 749   ,  11 938   ,  22 687   ,  11 291   ,  12 039   ,  23 330   ,  12 111   ,  12 486   ,  24 597   ,  12 775   ,  12 874   ,  25 649   ,  13 370   ,  13 322   ,  26 692   ,  14 101   ,  13 964   ,  28 065   ,  14 629   ,  14 444   ,  29 073   ,  15 089   ,  14 917   ,  30 006   ,  13 692   ,  13 585   ,  27 277   ,  14 156   ,  14 106   ,  28 262   ,  14 454   ,  14 449   ,  28 903   ,  14 850   ,  14 848   ,  29 698   ,  15 440   ,  15 382   ,  30 822   ,  16 059   ,  15 896   ,  31 955   ,  16 528   ,  16 230   ,  32 758   ,  16 973   ,  16 532   ,  33 505   
