TAPOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,8,  10 235   ,  10 086   ,  20 321   ,  10 518   ,  10 421   ,  20 939   ,  10 875   ,  10 801   ,  21 676   ,  11 376   ,  11 284   ,  22 660   ,  11 903   ,  11 757   ,  23 660   ,  12 324   ,  12 099   ,  24 423   ,  12 717   ,  12 408   ,  25 125   ,  13 032   ,  12 653   ,  25 685   ,  13 342   ,  12 928   ,  26 270   ,  13 504   ,  13 075   ,  26 579   ,  13 729   ,  13 292   ,  27 021   ,  13 917   ,  13 475   ,  27 392   ,  14 092   ,  13 645   ,  27 737   ,  14 262   ,  13 809   ,  28 071   ,  14 434   ,  13 973   ,  28 407   ,  14 604   ,  14 135   ,  28 739   
,9,  9 846   ,  9 668   ,  19 514   ,  10 232   ,  10 113   ,  20 345   ,  10 514   ,  10 449   ,  20 963   ,  10 870   ,  10 830   ,  21 700   ,  11 371   ,  11 312   ,  22 683   ,  11 897   ,  11 783   ,  23 680   ,  12 306   ,  12 113   ,  24 419   ,  12 700   ,  12 423   ,  25 123   ,  13 300   ,  12 953   ,  26 253   ,  13 333   ,  12 951   ,  26 284   ,  13 517   ,  13 120   ,  26 637   ,  13 725   ,  13 321   ,  27 046   ,  13 914   ,  13 505   ,  27 419   ,  14 088   ,  13 674   ,  27 762   ,  14 259   ,  13 837   ,  28 096   ,  14 431   ,  14 000   ,  28 431   
,10,  9 395   ,  8 797   ,  18 192   ,  9 866   ,  9 291   ,  19 157   ,  10 253   ,  9 720   ,  19 973   ,  10 535   ,  10 042   ,  20 577   ,  10 892   ,  10 406   ,  21 298   ,  11 392   ,  10 866   ,  22 258   ,  11 908   ,  11 307   ,  23 215   ,  12 318   ,  11 623   ,  23 941   ,  12 995   ,  12 191   ,  25 186   ,  13 328   ,  12 442   ,  25 770   ,  13 383   ,  12 461   ,  25 844   ,  13 551   ,  12 607   ,  26 158   ,  13 759   ,  12 800   ,  26 559   ,  13 948   ,  12 976   ,  26 924   ,  14 124   ,  13 137   ,  27 261   ,  14 294   ,  13 292   ,  27 586   
,11,  8 952   ,  8 208   ,  17 160   ,  9 302   ,  8 557   ,  17 859   ,  9 768   ,  9 038   ,  18 806   ,  10 150   ,  9 453   ,  19 603   ,  10 429   ,  9 765   ,  20 194   ,  10 780   ,  10 116   ,  20 896   ,  11 265   ,  10 553   ,  21 818   ,  11 776   ,  10 980   ,  22 756   ,  12 457   ,  11 545   ,  24 002   ,  12 866   ,  11 850   ,  24 716   ,  13 216   ,  12 113   ,  25 329   ,  13 254   ,  12 116   ,  25 370   ,  13 420   ,  12 258   ,  25 678   ,  13 625   ,  12 445   ,  26 070   ,  13 813   ,  12 615   ,  26 428   ,  13 986   ,  12 769   ,  26 755   
,12,  8 394   ,  7 636   ,  16 030   ,  8 774   ,  7 974   ,  16 748   ,  9 116   ,  8 313   ,  17 429   ,  9 573   ,  8 779   ,  18 352   ,  9 947   ,  9 181   ,  19 128   ,  10 219   ,  9 481   ,  19 700   ,  10 553   ,  9 811   ,  20 364   ,  11 028   ,  10 234   ,  21 262   ,  11 790   ,  10 893   ,  22 683   ,  12 205   ,  11 206   ,  23 411   ,  12 626   ,  11 521   ,  24 147   ,  12 952   ,  11 761   ,  24 713   ,  12 990   ,  11 763   ,  24 753   ,  13 153   ,  11 900   ,  25 053   ,  13 355   ,  12 080   ,  25 435   ,  13 538   ,  12 243   ,  25 781   
,13,  7 746   ,  6 945   ,  14 691   ,  8 226   ,  7 343   ,  15 569   ,  8 598   ,  7 668   ,  16 266   ,  8 933   ,  7 992   ,  16 925   ,  9 380   ,  8 439   ,  17 819   ,  9 745   ,  8 823   ,  18 568   ,  10 002   ,  9 101   ,  19 103   ,  10 329   ,  9 418   ,  19 747   ,  11 045   ,  10 051   ,  21 096   ,  11 554   ,  10 464   ,  22 018   ,  11 979   ,  10 783   ,  22 762   ,  12 376   ,  11 071   ,  23 447   ,  12 697   ,  11 301   ,  23 998   ,  12 733   ,  11 303   ,  24 036   ,  12 893   ,  11 433   ,  24 326   ,  13 091   ,  11 604   ,  24 695   
,14,  7 438   ,  6 657   ,  14 095   ,  7 840   ,  6 948   ,  14 788   ,  8 326   ,  7 347   ,  15 673   ,  8 702   ,  7 671   ,  16 373   ,  9 040   ,  7 994   ,  17 034   ,  9 491   ,  8 437   ,  17 928   ,  9 851   ,  8 811   ,  18 662   ,  10 111   ,  9 089   ,  19 200   ,  10 684   ,  9 624   ,  20 308   ,  11 173   ,  10 045   ,  21 218   ,  11 707   ,  10 477   ,  22 184   ,  12 123   ,  10 781   ,  22 904   ,  12 525   ,  11 069   ,  23 594   ,  12 849   ,  11 297   ,  24 146   ,  12 886   ,  11 297   ,  24 183   ,  13 048   ,  11 425   ,  24 473   
,15,  6 798   ,  6 332   ,  13 130   ,  7 224   ,  6 586   ,  13 810   ,  7 615   ,  6 874   ,  14 489   ,  8 086   ,  7 266   ,  15 352   ,  8 451   ,  7 585   ,  16 036   ,  8 779   ,  7 902   ,  16 681   ,  9 209   ,  8 331   ,  17 540   ,  9 558   ,  8 700   ,  18 258   ,  10 043   ,  9 189   ,  19 232   ,  10 379   ,  9 515   ,  19 894   ,  10 872   ,  9 948   ,  20 820   ,  11 378   ,  10 361   ,  21 739   ,  11 783   ,  10 662   ,  22 445   ,  12 174   ,  10 944   ,  23 118   ,  12 490   ,  11 169   ,  23 659   ,  12 526   ,  11 167   ,  23 693   
,16,  6 251   ,  6 250   ,  12 501   ,  6 756   ,  6 539   ,  13 295   ,  7 180   ,  6 801   ,  13 981   ,  7 568   ,  7 097   ,  14 665   ,  8 037   ,  7 501   ,  15 538   ,  8 399   ,  7 827   ,  16 226   ,  8 716   ,  8 145   ,  16 861   ,  9 143   ,  8 587   ,  17 730   ,  9 715   ,  9 182   ,  18 897   ,  9 979   ,  9 476   ,  19 455   ,  10 330   ,  9 828   ,  20 158   ,  10 808   ,  10 262   ,  21 070   ,  11 311   ,  10 687   ,  21 998   ,  11 714   ,  10 995   ,  22 709   ,  12 104   ,  11 285   ,  23 389   ,  12 417   ,  11 515   ,  23 932   
,17,  5 870   ,  6 213   ,  12 083   ,  6 215   ,  6 321   ,  12 536   ,  6 717   ,  6 613   ,  13 330   ,  7 138   ,  6 877   ,  14 015   ,  7 524   ,  7 175   ,  14 699   ,  7 989   ,  7 581   ,  15 570   ,  8 341   ,  7 902   ,  16 243   ,  8 657   ,  8 223   ,  16 880   ,  9 295   ,  8 878   ,  18 173   ,  9 656   ,  9 276   ,  18 932   ,  9 935   ,  9 590   ,  19 525   ,  10 272   ,  9 933   ,  20 205   ,  10 747   ,  10 371   ,  21 118   ,  11 248   ,  10 799   ,  22 047   ,  11 649   ,  11 109   ,  22 758   ,  12 037   ,  11 400   ,  23 437   
