SIRBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,8,  13 137   ,  12 945   ,  26 082   ,  13 454   ,  13 329   ,  26 783   ,  13 865   ,  13 772   ,  27 637   ,  14 459   ,  14 343   ,  28 802   ,  15 085   ,  14 898   ,  29 983   ,  15 573   ,  15 289   ,  30 862   ,  16 027   ,  15 637   ,  31 664   ,  16 381   ,  15 904   ,  32 285   ,  16 814   ,  16 291   ,  33 105   ,  16 977   ,  16 437   ,  33 414   ,  17 218   ,  16 670   ,  33 888   ,  17 414   ,  16 860   ,  34 274   ,  17 590   ,  17 032   ,  34 622   ,  17 760   ,  17 195   ,  34 955   ,  17 931   ,  17 359   ,  35 290   ,  18 101   ,  17 519   ,  35 620   
,9,  12 635   ,  12 407   ,  25 042   ,  13 087   ,  12 937   ,  26 024   ,  13 406   ,  13 323   ,  26 729   ,  13 817   ,  13 765   ,  27 582   ,  14 410   ,  14 337   ,  28 747   ,  15 034   ,  14 890   ,  29 924   ,  15 508   ,  15 265   ,  30 773   ,  15 963   ,  15 615   ,  31 578   ,  16 761   ,  16 324   ,  33 085   ,  16 761   ,  16 283   ,  33 044   ,  16 953   ,  16 455   ,  33 408   ,  17 172   ,  16 668   ,  33 840   ,  17 368   ,  16 858   ,  34 226   ,  17 545   ,  17 028   ,  34 573   ,  17 715   ,  17 191   ,  34 906   ,  17 885   ,  17 352   ,  35 237   
,10,  12 057   ,  11 289   ,  23 346   ,  12 620   ,  11 885   ,  24 505   ,  13 073   ,  12 392   ,  25 465   ,  13 391   ,  12 763   ,  26 154   ,  13 802   ,  13 187   ,  26 989   ,  14 397   ,  13 732   ,  28 129   ,  15 006   ,  14 249   ,  29 255   ,  15 483   ,  14 610   ,  30 093   ,  16 377   ,  15 364   ,  31 741   ,  16 756   ,  15 641   ,  32 397   ,  16 786   ,  15 628   ,  32 414   ,  16 955   ,  15 774   ,  32 729   ,  17 174   ,  15 978   ,  33 152   ,  17 369   ,  16 158   ,  33 527   ,  17 546   ,  16 321   ,  33 867   ,  17 716   ,  16 474   ,  34 190   
,11,  11 490   ,  10 535   ,  22 025   ,  11 898   ,  10 946   ,  22 844   ,  12 455   ,  11 523   ,  23 978   ,  12 902   ,  12 016   ,  24 918   ,  13 217   ,  12 375   ,  25 592   ,  13 624   ,  12 783   ,  26 407   ,  14 197   ,  13 298   ,  27 495   ,  14 800   ,  13 801   ,  28 601   ,  15 698   ,  14 550   ,  30 248   ,  16 176   ,  14 898   ,  31 074   ,  16 575   ,  15 193   ,  31 768   ,  16 583   ,  15 161   ,  31 744   ,  16 751   ,  15 301   ,  32 052   ,  16 968   ,  15 498   ,  32 466   ,  17 161   ,  15 672   ,  32 833   ,  17 335   ,  15 826   ,  33 161   
,12,  10 774   ,  9 800   ,  20 574   ,  11 224   ,  10 201   ,  21 425   ,  11 624   ,  10 599   ,  22 223   ,  12 168   ,  11 159   ,  23 327   ,  12 605   ,  11 635   ,  24 240   ,  12 914   ,  11 981   ,  24 895   ,  13 299   ,  12 364   ,  25 663   ,  13 862   ,  12 863   ,  26 725   ,  14 858   ,  13 728   ,  28 586   ,  15 345   ,  14 089   ,  29 434   ,  15 835   ,  14 449   ,  30 284   ,  16 207   ,  14 716   ,  30 923   ,  16 214   ,  14 684   ,  30 898   ,  16 378   ,  14 819   ,  31 197   ,  16 590   ,  15 008   ,  31 598   ,  16 779   ,  15 174   ,  31 953   
,13,  9 943   ,  8 912   ,  18 855   ,  10 523   ,  9 392   ,  19 915   ,  10 963   ,  9 777   ,  20 740   ,  11 355   ,  10 159   ,  21 514   ,  11 888   ,  10 695   ,  22 583   ,  12 315   ,  11 149   ,  23 464   ,  12 604   ,  11 470   ,  24 074   ,  12 983   ,  11 838   ,  24 821   ,  13 918   ,  12 665   ,  26 583   ,  14 525   ,  13 156   ,  27 681   ,  15 025   ,  13 524   ,  28 549   ,  15 486   ,  13 852   ,  29 338   ,  15 848   ,  14 108   ,  29 956   ,  15 857   ,  14 075   ,  29 932   ,  16 018   ,  14 203   ,  30 221   ,  16 225   ,  14 382   ,  30 607   
,14,  9 547   ,  8 543   ,  18 090   ,  10 029   ,  8 888   ,  18 917   ,  10 615   ,  9 368   ,  19 983   ,  11 060   ,  9 750   ,  20 810   ,  11 456   ,  10 130   ,  21 586   ,  11 994   ,  10 661   ,  22 655   ,  12 415   ,  11 104   ,  23 519   ,  12 708   ,  11 423   ,  24 131   ,  13 464   ,  12 128   ,  25 592   ,  14 047   ,  12 629   ,  26 676   ,  14 682   ,  13 139   ,  27 821   ,  15 167   ,  13 489   ,  28 656   ,  15 635   ,  13 816   ,  29 451   ,  16 000   ,  14 069   ,  30 069   ,  16 010   ,  14 036   ,  30 046   ,  16 171   ,  14 159   ,  30 330   
,15,  8 725   ,  8 126   ,  16 851   ,  9 240   ,  8 423   ,  17 663   ,  9 708   ,  8 765   ,  18 473   ,  10 278   ,  9 236   ,  19 514   ,  10 710   ,  9 612   ,  20 322   ,  11 093   ,  9 985   ,  21 078   ,  11 605   ,  10 499   ,  22 104   ,  12 015   ,  10 935   ,  22 950   ,  12 655   ,  11 581   ,  24 236   ,  13 049   ,  11 961   ,  25 010   ,  13 637   ,  12 477   ,  26 114   ,  14 236   ,  12 964   ,  27 200   ,  14 707   ,  13 308   ,  28 015   ,  15 159   ,  13 629   ,  28 788   ,  15 517   ,  13 876   ,  29 393   ,  15 524   ,  13 840   ,  29 364   
,16,  8 023   ,  8 021   ,  16 044   ,  8 643   ,  8 364   ,  17 007   ,  9 154   ,  8 671   ,  17 825   ,  9 619   ,  9 020   ,  18 639   ,  10 184   ,  9 505   ,  19 689   ,  10 613   ,  9 891   ,  20 504   ,  10 983   ,  10 263   ,  21 246   ,  11 492   ,  10 792   ,  22 284   ,  12 243   ,  11 570   ,  23 813   ,  12 545   ,  11 912   ,  24 457   ,  12 957   ,  12 326   ,  25 283   ,  13 523   ,  12 839   ,  26 362   ,  14 120   ,  13 340   ,  27 460   ,  14 587   ,  13 693   ,  28 280   ,  15 036   ,  14 020   ,  29 056   ,  15 391   ,  14 270   ,  29 661   
,17,  7 532   ,  7 975   ,  15 507   ,  7 950   ,  8 086   ,  16 036   ,  8 565   ,  8 432   ,  16 997   ,  9 073   ,  8 741   ,  17 814   ,  9 535   ,  9 093   ,  18 628   ,  10 095   ,  9 580   ,  19 675   ,  10 512   ,  9 959   ,  20 471   ,  10 881   ,  10 335   ,  21 216   ,  11 715   ,  11 188   ,  22 903   ,  12 139   ,  11 663   ,  23 802   ,  12 460   ,  12 028   ,  24 488   ,  12 852   ,  12 428   ,  25 280   ,  13 416   ,  12 946   ,  26 362   ,  14 007   ,  13 449   ,  27 456   ,  14 473   ,  13 802   ,  28 275   ,  14 918   ,  14 128   ,  29 046   
