NAZINON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,8,  11 967   ,  11 507   ,  23 474   ,  12 160   ,  11 746   ,  23 906   ,  12 435   ,  12 029   ,  24 464   ,  12 872   ,  12 420   ,  25 292   ,  13 331   ,  12 791   ,  26 122   ,  13 667   ,  13 016   ,  26 683   ,  13 973   ,  13 205   ,  27 178   ,  14 190   ,  13 323   ,  27 513   ,  14 099   ,  13 182   ,  27 281   ,  14 171   ,  13 215   ,  27 386   ,  14 269   ,  13 282   ,  27 551   ,  14 347   ,  13 331   ,  27 678   ,  14 413   ,  13 370   ,  27 783   ,  14 477   ,  13 406   ,  27 883   ,  14 545   ,  13 446   ,  27 991   ,  14 614   ,  13 486   ,  28 100   
,9,  11 609   ,  11 144   ,  22 753   ,  11 929   ,  11 518   ,  23 447   ,  12 125   ,  11 758   ,  23 883   ,  12 404   ,  12 043   ,  24 447   ,  12 843   ,  12 435   ,  25 278   ,  13 306   ,  12 808   ,  26 114   ,  13 635   ,  13 025   ,  26 660   ,  13 946   ,  13 217   ,  27 163   ,  14 173   ,  13 345   ,  27 518   ,  14 110   ,  13 227   ,  27 337   ,  14 168   ,  13 246   ,  27 414   ,  14 269   ,  13 316   ,  27 585   ,  14 352   ,  13 370   ,  27 722   ,  14 423   ,  13 413   ,  27 836   ,  14 491   ,  13 453   ,  27 944   ,  14 563   ,  13 497   ,  28 060   
,10,  11 019   ,  10 648   ,  21 667   ,  11 442   ,  11 111   ,  22 553   ,  11 761   ,  11 485   ,  23 246   ,  11 958   ,  11 726   ,  23 684   ,  12 236   ,  12 011   ,  24 247   ,  12 674   ,  12 403   ,  25 077   ,  13 124   ,  12 767   ,  25 891   ,  13 454   ,  12 985   ,  26 439   ,  13 775   ,  13 189   ,  26 964   ,  14 030   ,  13 342   ,  27 372   ,  13 953   ,  13 211   ,  27 164   ,  14 013   ,  13 233   ,  27 246   ,  14 117   ,  13 307   ,  27 424   ,  14 203   ,  13 366   ,  27 569   ,  14 277   ,  13 412   ,  27 689   ,  14 348   ,  13 456   ,  27 804   
,11,  10 647   ,  10 297   ,  20 944   ,  10 938   ,  10 605   ,  21 543   ,  11 362   ,  11 067   ,  22 429   ,  11 682   ,  11 441   ,  23 123   ,  11 881   ,  11 682   ,  23 563   ,  12 161   ,  11 967   ,  24 128   ,  12 590   ,  12 349   ,  24 939   ,  13 042   ,  12 713   ,  25 755   ,  13 389   ,  12 945   ,  26 334   ,  13 733   ,  13 171   ,  26 904   ,  13 972   ,  13 309   ,  27 281   ,  13 898   ,  13 181   ,  27 079   ,  13 961   ,  13 207   ,  27 168   ,  14 069   ,  13 285   ,  27 354   ,  14 158   ,  13 347   ,  27 505   ,  14 236   ,  13 396   ,  27 632   
,12,  10 331   ,  9 984   ,  20 315   ,  10 677   ,  10 301   ,  20 978   ,  10 973   ,  10 610   ,  21 583   ,  11 401   ,  11 073   ,  22 474   ,  11 726   ,  11 447   ,  23 173   ,  11 929   ,  11 689   ,  23 618   ,  12 205   ,  11 966   ,  24 171   ,  12 639   ,  12 350   ,  24 989   ,  13 114   ,  12 730   ,  25 844   ,  13 481   ,  12 981   ,  26 462   ,  13 812   ,  13 193   ,  27 005   ,  14 055   ,  13 335   ,  27 390   ,  13 985   ,  13 210   ,  27 195   ,  14 053   ,  13 240   ,  27 293   ,  14 165   ,  13 322   ,  27 487   ,  14 260   ,  13 387   ,  27 647   
,13,  9 905   ,  9 638   ,  19 543   ,  10 400   ,  10 069   ,  20 469   ,  10 752   ,  10 389   ,  21 141   ,  11 053   ,  10 701   ,  21 754   ,  11 488   ,  11 169   ,  22 657   ,  11 819   ,  11 547   ,  23 366   ,  12 018   ,  11 783   ,  23 801   ,  12 299   ,  12 064   ,  24 363   ,  12 763   ,  12 467   ,  25 230   ,  13 259   ,  12 867   ,  26 126   ,  13 616   ,  13 107   ,  26 723   ,  13 953   ,  13 324   ,  27 277   ,  14 202   ,  13 471   ,  27 673   ,  14 135   ,  13 349   ,  27 484   ,  14 208   ,  13 383   ,  27 591   ,  14 326   ,  13 468   ,  27 794   
,14,  9 418   ,  9 202   ,  18 620   ,  9 816   ,  9 490   ,  19 306   ,  10 310   ,  9 914   ,  20 224   ,  10 663   ,  10 230   ,  20 893   ,  10 964   ,  10 537   ,  21 501   ,  11 399   ,  10 998   ,  22 397   ,  11 722   ,  11 362   ,  23 084   ,  11 923   ,  11 596   ,  23 519   ,  12 227   ,  11 891   ,  24 118   ,  12 698   ,  12 303   ,  25 001   ,  13 177   ,  12 685   ,  25 862   ,  13 534   ,  12 924   ,  26 458   ,  13 874   ,  13 141   ,  27 015   ,  14 125   ,  13 290   ,  27 415   ,  14 063   ,  13 172   ,  27 235   ,  14 140   ,  13 208   ,  27 348   
,15,  9 179   ,  9 191   ,  18 370   ,  9 645   ,  9 445   ,  19 090   ,  10 055   ,  9 740   ,  19 795   ,  10 565   ,  10 176   ,  20 741   ,  10 930   ,  10 500   ,  21 430   ,  11 243   ,  10 816   ,  22 059   ,  11 684   ,  11 281   ,  22 965   ,  12 019   ,  11 655   ,  23 674   ,  12 255   ,  11 922   ,  24 177   ,  12 578   ,  12 236   ,  24 814   ,  13 050   ,  12 648   ,  25 698   ,  13 545   ,  13 042   ,  26 587   ,  13 917   ,  13 292   ,  27 209   ,  14 271   ,  13 519   ,  27 790   ,  14 534   ,  13 675   ,  28 209   ,  14 475   ,  13 556   ,  28 031   
,16,  8 719   ,  8 850   ,  17 569   ,  9 318   ,  9 147   ,  18 465   ,  9 794   ,  9 400   ,  19 194   ,  10 215   ,  9 695   ,  19 910   ,  10 737   ,  10 128   ,  20 865   ,  11 111   ,  10 451   ,  21 562   ,  11 424   ,  10 758   ,  22 182   ,  11 876   ,  11 221   ,  23 097   ,  12 246   ,  11 620   ,  23 866   ,  12 491   ,  11 887   ,  24 378   ,  12 808   ,  12 188   ,  24 996   ,  13 292   ,  12 600   ,  25 892   ,  13 801   ,  12 997   ,  26 798   ,  14 185   ,  13 249   ,  27 434   ,  14 550   ,  13 478   ,  28 028   ,  14 823   ,  13 635   ,  28 458   
,17,  8 270   ,  8 482   ,  16 752   ,  8 658   ,  8 526   ,  17 184   ,  9 256   ,  8 813   ,  18 069   ,  9 733   ,  9 058   ,  18 791   ,  10 154   ,  9 342   ,  19 496   ,  10 677   ,  9 760   ,  20 437   ,  11 044   ,  10 064   ,  21 108   ,  11 359   ,  10 361   ,  21 720   ,  11 837   ,  10 833   ,  22 670   ,  12 210   ,  11 220   ,  23 430   ,  12 443   ,  11 467   ,  23 910   ,  12 761   ,  11 760   ,  24 521   ,  13 247   ,  12 161   ,  25 408   ,  13 759   ,  12 547   ,  26 306   ,  14 146   ,  12 793   ,  26 939   ,  14 514   ,  13 016   ,  27 530   
