BANKUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,,2031,,,2032,,,2033,,,2034,,,2035,,
, Ages,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,,Ensemble,,
,,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble,Homme ,Femme,Ensemble
,8,  16 749   ,  15 930   ,  32 679   ,  17 054   ,  16 296   ,  33 350   ,  17 477   ,  16 728   ,  34 205   ,  18 125   ,  17 315   ,  35 440   ,  18 806   ,  17 880   ,  36 686   ,  19 314   ,  18 247   ,  37 561   ,  19 554   ,  18 359   ,  37 913   ,  19 656   ,  18 363   ,  38 019   ,  19 589   ,  18 260   ,  37 849   ,  19 744   ,  18 385   ,  38 129   ,  19 927   ,  18 553   ,  38 480   ,  20 079   ,  18 691   ,  38 770   ,  20 210   ,  18 810   ,  39 020   ,  20 331   ,  18 919   ,  39 250   ,  20 456   ,  19 029   ,  39 485   ,  20 579   ,  19 137   ,  39 716   
,9,  16 232   ,  15 349   ,  31 581   ,  16 716   ,  15 898   ,  32 614   ,  17 023   ,  16 267   ,  33 290   ,  17 449   ,  16 704   ,  34 153   ,  18 100   ,  17 294   ,  35 394   ,  18 786   ,  17 864   ,  36 650   ,  19 062   ,  18 015   ,  37 077   ,  19 299   ,  18 124   ,  37 423   ,  19 674   ,  18 391   ,  38 065   ,  19 639   ,  18 309   ,  37 948   ,  19 768   ,  18 409   ,  38 177   ,  19 950   ,  18 576   ,  38 526   ,  20 104   ,  18 715   ,  38 819   ,  20 234   ,  18 833   ,  39 067   ,  20 359   ,  18 943   ,  39 302   ,  20 486   ,  19 055   ,  39 541   
,10,  15 392   ,  14 593   ,  29 985   ,  16 018   ,  15 261   ,  31 279   ,  16 499   ,  15 811   ,  32 310   ,  16 806   ,  16 183   ,  32 989   ,  17 230   ,  16 621   ,  33 851   ,  17 878   ,  17 213   ,  35 091   ,  18 332   ,  17 571   ,  35 903   ,  18 602   ,  17 717   ,  36 319   ,  19 104   ,  18 086   ,  37 190   ,  19 510   ,  18 376   ,  37 886   ,  19 451   ,  18 269   ,  37 720   ,  19 575   ,  18 368   ,  37 943   ,  19 757   ,  18 534   ,  38 291   ,  19 909   ,  18 673   ,  38 582   ,  20 041   ,  18 791   ,  38 832   ,  20 167   ,  18 902   ,  39 069   
,11,  14 864   ,  14 041   ,  28 905   ,  15 303   ,  14 494   ,  29 797   ,  15 929   ,  15 161   ,  31 090   ,  16 409   ,  15 710   ,  32 119   ,  16 718   ,  16 085   ,  32 803   ,  17 143   ,  16 525   ,  33 668   ,  17 574   ,  16 910   ,  34 484   ,  18 020   ,  17 259   ,  35 279   ,  18 557   ,  17 662   ,  36 219   ,  19 086   ,  18 048   ,  37 134   ,  19 463   ,  18 314   ,  37 777   ,  19 402   ,  18 203   ,  37 605   ,  19 527   ,  18 303   ,  37 830   ,  19 708   ,  18 467   ,  38 175   ,  19 862   ,  18 607   ,  38 469   ,  19 996   ,  18 725   ,  38 721   
,12,  14 414   ,  13 549   ,  27 963   ,  14 929   ,  14 009   ,  28 938   ,  15 374   ,  14 463   ,  29 837   ,  16 004   ,  15 132   ,  31 136   ,  16 491   ,  15 686   ,  32 177   ,  16 806   ,  16 063   ,  32 869   ,  17 026   ,  16 306   ,  33 332   ,  17 455   ,  16 685   ,  34 140   ,  18 166   ,  17 285   ,  35 451   ,  18 725   ,  17 704   ,  36 429   ,  19 231   ,  18 066   ,  37 297   ,  19 610   ,  18 327   ,  37 937   ,  19 548   ,  18 218   ,  37 766   ,  19 677   ,  18 317   ,  37 994   ,  19 860   ,  18 483   ,  38 343   ,  20 017   ,  18 622   ,  38 639   
,13,  13 813   ,  13 015   ,  26 828   ,  14 536   ,  13 627   ,  28 163   ,  15 058   ,  14 092   ,  29 150   ,  15 508   ,  14 553   ,  30 061   ,  16 149   ,  15 229   ,  31 378   ,  16 643   ,  15 790   ,  32 433   ,  16 757   ,  15 977   ,  32 734   ,  16 977   ,  16 219   ,  33 196   ,  17 671   ,  16 845   ,  34 516   ,  18 408   ,  17 461   ,  35 869   ,  18 948   ,  17 860   ,  36 808   ,  19 459   ,  18 224   ,  37 683   ,  19 842   ,  18 487   ,  38 329   ,  19 781   ,  18 377   ,  38 158   ,  19 911   ,  18 475   ,  38 386   ,  20 101   ,  18 644   ,  38 745   
,14,  13 130   ,  12 366   ,  25 496   ,  13 715   ,  12 781   ,  26 496   ,  14 434   ,  13 383   ,  27 817   ,  14 956   ,  13 844   ,  28 800   ,  15 407   ,  14 298   ,  29 705   ,  16 046   ,  14 966   ,  31 012   ,  16 340   ,  15 332   ,  31 672   ,  16 451   ,  15 515   ,  31 966   ,  16 922   ,  15 989   ,  32 911   ,  17 622   ,  16 615   ,  34 237   ,  18 331   ,  17 200   ,  35 531   ,  18 868   ,  17 591   ,  36 459   ,  19 377   ,  17 946   ,  37 323   ,  19 761   ,  18 206   ,  37 967   ,  19 702   ,  18 096   ,  37 798   ,  19 833   ,  18 194   ,  38 027   
,15,  12 790   ,  10 770   ,  23 560   ,  13 469   ,  11 091   ,  24 560   ,  14 070   ,  11 465   ,  25 535   ,  14 813   ,  12 007   ,  26 820   ,  15 351   ,  12 422   ,  27 773   ,  15 819   ,  12 834   ,  28 653   ,  16 279   ,  13 274   ,  29 553   ,  16 577   ,  13 597   ,  30 174   ,  16 953   ,  13 978   ,  30 931   ,  17 448   ,  14 409   ,  31 857   ,  18 146   ,  14 953   ,  33 099   ,  18 875   ,  15 478   ,  34 353   ,  19 429   ,  15 828   ,  35 257   ,  19 955   ,  16 148   ,  36 103   ,  20 352   ,  16 382   ,  36 734   ,  20 293   ,  16 282   ,  36 575   
,16,  11 828   ,  10 138   ,  21 966   ,  12 668   ,  10 502   ,  23 170   ,  13 342   ,  10 818   ,  24 160   ,  13 942   ,  11 184   ,  25 126   ,  14 680   ,  11 716   ,  26 396   ,  15 219   ,  12 124   ,  27 343   ,  15 495   ,  12 376   ,  27 871   ,  15 946   ,  12 798   ,  28 744   ,  16 494   ,  13 320   ,  29 814   ,  16 868   ,  13 686   ,  30 554   ,  17 339   ,  14 089   ,  31 428   ,  18 030   ,  14 618   ,  32 648   ,  18 757   ,  15 131   ,  33 888   ,  19 310   ,  15 472   ,  34 782   ,  19 834   ,  15 785   ,  35 619   ,  20 232   ,  16 011   ,  36 243   
,17,  11 133   ,  9 848   ,  20 981   ,  11 680   ,  9 921   ,  21 601   ,  12 514   ,  10 278   ,  22 792   ,  13 184   ,  10 590   ,  23 774   ,  13 779   ,  10 952   ,  24 731   ,  14 512   ,  11 475   ,  25 987   ,  14 866   ,  11 734   ,  26 600   ,  15 136   ,  11 976   ,  27 112   ,  15 820   ,  12 585   ,  28 405   ,  16 364   ,  13 091   ,  29 455   ,  16 715   ,  13 435   ,  30 150   ,  17 179   ,  13 828   ,  31 007   ,  17 866   ,  14 348   ,  32 214   ,  18 587   ,  14 851   ,  33 438   ,  19 137   ,  15 185   ,  34 322   ,  19 659   ,  15 490   ,  35 149   
