"indicateur","région","produits","Unit","Date","Value"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Haricot local blanc","FCFA/kg","2025M2","401.124336285563"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Haricot local blanc","FCFA/kg","2025M3","589.397350077288"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Haricot local blanc","FCFA/kg","2025M4","697.037812232726"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Haricot local blanc","FCFA/kg","2025M5","759.718174545235"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Haricot local blanc","FCFA/kg","2025M6","708.197154665662"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Haricot local blanc","FCFA/kg","2025M7","660.121339110375"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Haricot local blanc","FCFA/kg","2025M8","592.030018439016"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Haricot local blanc","FCFA/kg","2025M9","647.888988223067"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2024M1","19500"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2024M2","18000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2024M3","18000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2024M4","21500"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2024M5","24000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2024M6","24000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2024M7","25000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2024M8","27000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2024M9","27000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2024M11","22000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2024M12","22000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2025M1","23999.9999999999"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2025M2","25000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2025M3","25000"
"Prix moyens mensuels de quelques produits par région","Boucle du Mouhoun","Maïs blanc1","FCFA/Sac de 100 kg","2025M4","25000"
