"indicateur","rubrique","Unit","Date","Value"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","1991","48.73"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","1992","60.41"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","1993","53.96"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","1994","48.01"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","1995","56.96"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","1996","48.4"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","1997","62.62"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","1998","42.37"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","1999","64.63"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2000","49.1"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2001","62.3"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2002","62.9"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2003","70"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2004","73.7"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2005","69"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2006","69.9"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2007","66.8"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2008","58.5"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2009","72.6547091331602"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2010","65.8977527364606"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2011","64"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2012","65.2"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2013","60.9"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2014","82.2"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2015","73.5"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2016","62.0874702346495"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2017","73.71982417155"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2018","65.7807299717313"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2019","55.2"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2020","66"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2021","58.3453561767358"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2022","63.3"
"Evolution des résultats du Certificat d'Etudes Primaires (CEP)","Pourcentage","%","2023","71.5"
