"indicateur","localité","Unit","Date","Value"
"Création des entreprises enregistrées au CEFORE par localité","Fada N’Gourma","Nombre","2018","255"
"Création des entreprises enregistrées au CEFORE par localité","Fada N’Gourma","Nombre","2019","247"
"Création des entreprises enregistrées au CEFORE par localité","Fada N’Gourma","Nombre","2020","235"
"Création des entreprises enregistrées au CEFORE par localité","Fada N’Gourma","Nombre","2021","193"
"Création des entreprises enregistrées au CEFORE par localité","Fada N’Gourma","Nombre","2022","156"
"Création des entreprises enregistrées au CEFORE par localité","Fada N’Gourma","Nombre","2023","340"
"Création des entreprises enregistrées au CEFORE par localité","Bobo-Dioulasso","Nombre","2010","495"
"Création des entreprises enregistrées au CEFORE par localité","Bobo-Dioulasso","Nombre","2011","512"
"Création des entreprises enregistrées au CEFORE par localité","Bobo-Dioulasso","Nombre","2012","696"
"Création des entreprises enregistrées au CEFORE par localité","Bobo-Dioulasso","Nombre","2013","732"
"Création des entreprises enregistrées au CEFORE par localité","Bobo-Dioulasso","Nombre","2014","1133"
"Création des entreprises enregistrées au CEFORE par localité","Bobo-Dioulasso","Nombre","2015","1040"
"Création des entreprises enregistrées au CEFORE par localité","Bobo-Dioulasso","Nombre","2016","1787"
"Création des entreprises enregistrées au CEFORE par localité","Bobo-Dioulasso","Nombre","2017","1635"
"Création des entreprises enregistrées au CEFORE par localité","Bobo-Dioulasso","Nombre","2018","1640"
"Création des entreprises enregistrées au CEFORE par localité","Bobo-Dioulasso","Nombre","2019","1508"
"Création des entreprises enregistrées au CEFORE par localité","Bobo-Dioulasso","Nombre","2020","1793"
"Création des entreprises enregistrées au CEFORE par localité","Bobo-Dioulasso","Nombre","2021","1715"
"Création des entreprises enregistrées au CEFORE par localité","Bobo-Dioulasso","Nombre","2022","1862"
"Création des entreprises enregistrées au CEFORE par localité","Bobo-Dioulasso","Nombre","2023","2607"
"Création des entreprises enregistrées au CEFORE par localité","Ouahigouya","Nombre","2010","105"
"Création des entreprises enregistrées au CEFORE par localité","Ouahigouya","Nombre","2011","181"
"Création des entreprises enregistrées au CEFORE par localité","Ouahigouya","Nombre","2012","182"
"Création des entreprises enregistrées au CEFORE par localité","Ouahigouya","Nombre","2013","235"
"Création des entreprises enregistrées au CEFORE par localité","Ouahigouya","Nombre","2014","305"
"Création des entreprises enregistrées au CEFORE par localité","Ouahigouya","Nombre","2015","228"
"Création des entreprises enregistrées au CEFORE par localité","Ouahigouya","Nombre","2016","467"
"Création des entreprises enregistrées au CEFORE par localité","Ouahigouya","Nombre","2017","496"
"Création des entreprises enregistrées au CEFORE par localité","Ouahigouya","Nombre","2018","428"
"Création des entreprises enregistrées au CEFORE par localité","Ouahigouya","Nombre","2019","413"
"Création des entreprises enregistrées au CEFORE par localité","Ouahigouya","Nombre","2020","445"
"Création des entreprises enregistrées au CEFORE par localité","Ouahigouya","Nombre","2021","479"
"Création des entreprises enregistrées au CEFORE par localité","Ouahigouya","Nombre","2022","438"
"Création des entreprises enregistrées au CEFORE par localité","Ouahigouya","Nombre","2023","634"
"Création des entreprises enregistrées au CEFORE par localité","Dori","Nombre","2012","11"
"Création des entreprises enregistrées au CEFORE par localité","Dori","Nombre","2013","90"
"Création des entreprises enregistrées au CEFORE par localité","Dori","Nombre","2014","137"
"Création des entreprises enregistrées au CEFORE par localité","Dori","Nombre","2015","114"
"Création des entreprises enregistrées au CEFORE par localité","Dori","Nombre","2016","170"
"Création des entreprises enregistrées au CEFORE par localité","Dori","Nombre","2017","297"
"Création des entreprises enregistrées au CEFORE par localité","Dori","Nombre","2018","230"
"Création des entreprises enregistrées au CEFORE par localité","Dori","Nombre","2019","143"
"Création des entreprises enregistrées au CEFORE par localité","Dori","Nombre","2020","145"
"Création des entreprises enregistrées au CEFORE par localité","Dori","Nombre","2021","186"
"Création des entreprises enregistrées au CEFORE par localité","Dori","Nombre","2022","86"
"Création des entreprises enregistrées au CEFORE par localité","Dori","Nombre","2023","158"
"Création des entreprises enregistrées au CEFORE par localité","Gaoua","Nombre","2010","35"
"Création des entreprises enregistrées au CEFORE par localité","Gaoua","Nombre","2011","95"
"Création des entreprises enregistrées au CEFORE par localité","Gaoua","Nombre","2012","84"
"Création des entreprises enregistrées au CEFORE par localité","Gaoua","Nombre","2013","94"
"Création des entreprises enregistrées au CEFORE par localité","Gaoua","Nombre","2014","120"
"Création des entreprises enregistrées au CEFORE par localité","Gaoua","Nombre","2015","121"
"Création des entreprises enregistrées au CEFORE par localité","Gaoua","Nombre","2016","185"
"Création des entreprises enregistrées au CEFORE par localité","Gaoua","Nombre","2017","244"
"Création des entreprises enregistrées au CEFORE par localité","Gaoua","Nombre","2018","171"
"Création des entreprises enregistrées au CEFORE par localité","Gaoua","Nombre","2019","131"
"Création des entreprises enregistrées au CEFORE par localité","Gaoua","Nombre","2020","130"
"Création des entreprises enregistrées au CEFORE par localité","Gaoua","Nombre","2021","151"
"Création des entreprises enregistrées au CEFORE par localité","Gaoua","Nombre","2022","129"
"Création des entreprises enregistrées au CEFORE par localité","Gaoua","Nombre","2023","206"
"Création des entreprises enregistrées au CEFORE par localité","Banfora","Nombre","2017","113"
"Création des entreprises enregistrées au CEFORE par localité","Banfora","Nombre","2018","224"
"Création des entreprises enregistrées au CEFORE par localité","Banfora","Nombre","2019","273"
"Création des entreprises enregistrées au CEFORE par localité","Banfora","Nombre","2020","311"
"Création des entreprises enregistrées au CEFORE par localité","Banfora","Nombre","2021","333"
"Création des entreprises enregistrées au CEFORE par localité","Banfora","Nombre","2022","269"
"Création des entreprises enregistrées au CEFORE par localité","Banfora","Nombre","2023","615"
"Création des entreprises enregistrées au CEFORE par localité","Koupèla","Nombre","2017","104"
"Création des entreprises enregistrées au CEFORE par localité","Koupèla","Nombre","2018","156"
"Création des entreprises enregistrées au CEFORE par localité","Koupèla","Nombre","2019","147"
"Création des entreprises enregistrées au CEFORE par localité","Koupèla","Nombre","2020","196"
"Création des entreprises enregistrées au CEFORE par localité","Koupèla","Nombre","2021","131"
"Création des entreprises enregistrées au CEFORE par localité","Koupèla","Nombre","2022","116"
"Création des entreprises enregistrées au CEFORE par localité","Koupèla","Nombre","2023","188"
"Création des entreprises enregistrées au CEFORE par localité","Ziniaré","Nombre","2018","8"
"Création des entreprises enregistrées au CEFORE par localité","Ziniaré","Nombre","2019","117"
"Création des entreprises enregistrées au CEFORE par localité","Ziniaré","Nombre","2020","128"
"Création des entreprises enregistrées au CEFORE par localité","Ziniaré","Nombre","2021","155"
"Création des entreprises enregistrées au CEFORE par localité","Ziniaré","Nombre","2022","75"
"Création des entreprises enregistrées au CEFORE par localité","Ziniaré","Nombre","2023","181"
"Création des entreprises enregistrées au CEFORE par localité","Manga","Nombre","2018","42"
"Création des entreprises enregistrées au CEFORE par localité","Manga","Nombre","2019","162"
"Création des entreprises enregistrées au CEFORE par localité","Manga","Nombre","2020","144"
