"indicateur","type","rubrique","Unit","Date","Value"
"Nombre et coût de projets financés par type de fonds","FONADR","Coût","FCFA","2016","341800000"
"Nombre et coût de projets financés par type de fonds","FONADR","Coût","FCFA","2017","221900000"
"Nombre et coût de projets financés par type de fonds","FONADR","Coût","FCFA","2018","181000000"
"Nombre et coût de projets financés par type de fonds","FONADR","Coût","FCFA","2019","181600000"
"Nombre et coût de projets financés par type de fonds","FONADR","Coût","FCFA","2020","250800000"
"Nombre et coût de projets financés par type de fonds","FONADR","Coût","FCFA","2022","161900000"
"Nombre et coût de projets financés par type de fonds","FONADR","Coût","FCFA","2023","181478000"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2003","1095"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2004","1244"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2005","1202"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2006","1623"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2007","1645"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2008","822"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2009","1330"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2010","1244"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2011","1034"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2012","1499"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2013","1719"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2014","2257"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2015","2055"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2016","2119"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2017","2133"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2018","2132"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2019","2225"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2020","8032"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2021","1765"
"Nombre et coût de projets financés par type de fonds","FASI","Nombre","Nombre","2022","2290"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2003","509900000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2004","570200000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2005","578000000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2006","755700000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2007","812400000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2008","378700000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2009","601300000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2010","532500000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2011","43000000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2012","642600000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2013","764663000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2014","948400000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2015","886600000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2016","941200000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2017","899000000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2018","933900000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2019","1021300000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2020","3336855000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2021","785300000"
"Nombre et coût de projets financés par type de fonds","FASI","Coût","FCFA","2022","1021500000"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2003","101"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2004","70"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2005","148"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2006","118"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2007","124"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2008","69"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2009","216"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2010","141"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2011","61"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2012","56"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2013","165"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2014","243"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2015","893"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2016","270"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2017","603"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2018","193"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2019","304"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2020","1775"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2021","407"
"Nombre et coût de projets financés par type de fonds","FAPE","Nombre","Nombre","2022","336"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2003","249500000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2004","108000000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2005","436000000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2006","478000000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2007","458900000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2008","114000000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2009","398000000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2010","278500000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2011","149800000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2012","193000000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2013","460565000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2014","658700000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2015","1740100000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2016","640100000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2017","1496900000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2018","501900000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2019","743900000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2020","4148950000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2021","1008700000"
"Nombre et coût de projets financés par type de fonds","FAPE","Coût","FCFA","2022","716000000"
"Nombre et coût de projets financés par type de fonds","FAIJ","Nombre","Nombre","2008","825"
"Nombre et coût de projets financés par type de fonds","FAIJ","Nombre","Nombre","2009","1297"
"Nombre et coût de projets financés par type de fonds","FAIJ","Nombre","Nombre","2011","906"
"Nombre et coût de projets financés par type de fonds","FAIJ","Nombre","Nombre","2012","687"
"Nombre et coût de projets financés par type de fonds","FAIJ","Nombre","Nombre","2013","901"
"Nombre et coût de projets financés par type de fonds","FAIJ","Nombre","Nombre","2014","272"
"Nombre et coût de projets financés par type de fonds","FAIJ","Nombre","Nombre","2015","484"
"Nombre et coût de projets financés par type de fonds","FAIJ","Nombre","Nombre","2016","619"
"Nombre et coût de projets financés par type de fonds","FAIJ","Nombre","Nombre","2017","972"
"Nombre et coût de projets financés par type de fonds","FAIJ","Nombre","Nombre","2018","118"
"Nombre et coût de projets financés par type de fonds","FAIJ","Nombre","Nombre","2019","532"
"Nombre et coût de projets financés par type de fonds","FAIJ","Coût","FCFA","2008","799400000"
"Nombre et coût de projets financés par type de fonds","FAIJ","Coût","FCFA","2009","1305500000"
"Nombre et coût de projets financés par type de fonds","FAIJ","Coût","FCFA","2010","1011500000"
"Nombre et coût de projets financés par type de fonds","FAIJ","Coût","FCFA","2011","717600000"
"Nombre et coût de projets financés par type de fonds","FAIJ","Coût","FCFA","2012","616200000"
"Nombre et coût de projets financés par type de fonds","FAIJ","Coût","FCFA","2013","714056000"
"Nombre et coût de projets financés par type de fonds","FAIJ","Coût","FCFA","2014","310500000"
"Nombre et coût de projets financés par type de fonds","FAIJ","Coût","FCFA","2015","481900000"
"Nombre et coût de projets financés par type de fonds","FAIJ","Coût","FCFA","2016","793500000"
"Nombre et coût de projets financés par type de fonds","FAIJ","Coût","FCFA","2017","785000000"
"Nombre et coût de projets financés par type de fonds","FAIJ","Coût","FCFA","2018","110100000"
"Nombre et coût de projets financés par type de fonds","FAIJ","Coût","FCFA","2019","448700000"
"Nombre et coût de projets financés par type de fonds","FAARF","Nombre","Nombre","2013","7673"
"Nombre et coût de projets financés par type de fonds","FAARF","Nombre","Nombre","2014","8560"
"Nombre et coût de projets financés par type de fonds","FAARF","Nombre","Nombre","2015","9017"
"Nombre et coût de projets financés par type de fonds","FAARF","Nombre","Nombre","2016","9884"
"Nombre et coût de projets financés par type de fonds","FAARF","Nombre","Nombre","2017","9513"
"Nombre et coût de projets financés par type de fonds","FAARF","Nombre","Nombre","2018","10175"
"Nombre et coût de projets financés par type de fonds","FAARF","Nombre","Nombre","2019","10669"
"Nombre et coût de projets financés par type de fonds","FAARF","Nombre","Nombre","2020","14290"
"Nombre et coût de projets financés par type de fonds","FAARF","Nombre","Nombre","2021","16305"
"Nombre et coût de projets financés par type de fonds","FAARF","Nombre","Nombre","2022","17659"
"Nombre et coût de projets financés par type de fonds","FAARF","Nombre","Nombre","2023","15030"
"Nombre et coût de projets financés par type de fonds","FAARF","Coût","FCFA","2013","6405600000"
"Nombre et coût de projets financés par type de fonds","FAARF","Coût","FCFA","2014","7381500000"
"Nombre et coût de projets financés par type de fonds","FAARF","Coût","FCFA","2015","8444900000"
"Nombre et coût de projets financés par type de fonds","FAARF","Coût","FCFA","2016","9406200000"
"Nombre et coût de projets financés par type de fonds","FAARF","Coût","FCFA","2017","9329000000"
"Nombre et coût de projets financés par type de fonds","FAARF","Coût","FCFA","2018","10462600000"
"Nombre et coût de projets financés par type de fonds","FAARF","Coût","FCFA","2019","11064000000"
"Nombre et coût de projets financés par type de fonds","FAARF","Coût","FCFA","2020","15227300000"
"Nombre et coût de projets financés par type de fonds","FAARF","Coût","FCFA","2021","16305000000"
"Nombre et coût de projets financés par type de fonds","FAARF","Coût","FCFA","2022","21531800000"
"Nombre et coût de projets financés par type de fonds","FAARF","Coût","FCFA","2023","17991000"
