"indicateur","motifs-de-deces","rubriques","Unit","Date","Value"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","SIDA","Adultes Feminins","Nombre","2015","133"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","SIDA","Adultes Feminins","Nombre","2016","143"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","SIDA","Adultes Masculins","Nombre","2014","143"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","SIDA","Adultes Masculins","Nombre","2015","159"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","SIDA","Adultes Masculins","Nombre","2016","143"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","SIDA","Total","Nombre","2014","317"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","SIDA","Total","Nombre","2015","315"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","SIDA","Total","Nombre","2016","306"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","SIDA","Proportion","%","2014","2"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","SIDA","Proportion","%","2015","1.8"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","SIDA","Proportion","%","2016","2"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","< 1 ans","Nombre","2017","525"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","< 1 ans","Nombre","2018","820"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","1-4 ans","Nombre","2017","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","1-4 ans","Nombre","2018","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","5-14 ans","Nombre","2017","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","5-14 ans","Nombre","2018","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","5-14 ans","Nombre","2021","64"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","5-14 ans","Nombre","2022","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","Adultes Feminins","Nombre","2017","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","Adultes Feminins","Nombre","2018","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","Adultes Masculins","Nombre","2017","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","Adultes Masculins","Nombre","2018","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","Total","Nombre","2017","525"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","Total","Nombre","2018","820"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","Total","Nombre","2021","1267"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","Total","Nombre","2022","1390"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","Proportion","%","2017","2.28688417476151"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","Proportion","%","2018","3.68771361755711"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","Proportion","%","2021","4.4"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","Proportion","%","2022","4.56981293355689"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","Proportion","%","2023","4.93255671367259"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","Moins de 5 ans","Nombre","2022","1390"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","Souffrance néonatale","16 ans et plus","Nombre","2022","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","IRAS","5-14 ans","Nombre","2022","97"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","IRAS","Total","Nombre","2022","1639"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","IRAS","Proportion","%","2022","5.38843409935234"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","IRAS","Moins de 5 ans","Nombre","2022","722"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","IRAS","16 ans et plus","Nombre","2022","820"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","MAS en interne","5-14 ans","Nombre","2022","0"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","MAS en interne","Total","Nombre","2022","1371"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","MAS en interne","Proportion","%","2022","4.50734786468094"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","MAS en interne","Proportion","%","2023","3.67872470876763"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","MAS en interne","Moins de 5 ans","Nombre","2022","1371"
"Les 10 principales causes de décès dans les centres médicaux et les hôpitaux à partir de 2014","MAS en interne","16 ans et plus","Nombre","2022","0"
