"indicateur","décès","Unit","Date","Value"
"Evolution des cas et des décès des maladies épidémiques","Cas de diarrhée sanguinolente","Nombre","2014","891"
"Evolution des cas et des décès des maladies épidémiques","Cas de diarrhée sanguinolente","Nombre","2015","648"
"Evolution des cas et des décès des maladies épidémiques","Cas de diarrhée sanguinolente","Nombre","2016","198"
"Evolution des cas et des décès des maladies épidémiques","Cas de diarrhée sanguinolente","Nombre","2017","263"
"Evolution des cas et des décès des maladies épidémiques","Cas de diarrhée sanguinolente","Nombre","2018","914"
"Evolution des cas et des décès des maladies épidémiques","Cas de diarrhée sanguinolente","Nombre","2019","118"
"Evolution des cas et des décès des maladies épidémiques","Cas de diarrhée sanguinolente","Nombre","2020","134"
"Evolution des cas et des décès des maladies épidémiques","Cas de diarrhée sanguinolente","Nombre","2021","267"
"Evolution des cas et des décès des maladies épidémiques","Cas de diarrhée sanguinolente","Nombre","2022","270"
"Evolution des cas et des décès des maladies épidémiques","Cas de diarrhée sanguinolente","Nombre","2023","280"
"Evolution des cas et des décès des maladies épidémiques","Cas de diarrhée sanguinolente","Nombre","2024","393"
"Evolution des cas et des décès des maladies épidémiques","Décès de diarrhée sanguinolente","Nombre","2014","0"
"Evolution des cas et des décès des maladies épidémiques","Décès de diarrhée sanguinolente","Nombre","2015","3"
"Evolution des cas et des décès des maladies épidémiques","Décès de diarrhée sanguinolente","Nombre","2016","0"
"Evolution des cas et des décès des maladies épidémiques","Décès de diarrhée sanguinolente","Nombre","2017","0"
"Evolution des cas et des décès des maladies épidémiques","Décès de diarrhée sanguinolente","Nombre","2018","40"
"Evolution des cas et des décès des maladies épidémiques","Décès de diarrhée sanguinolente","Nombre","2019","1"
"Evolution des cas et des décès des maladies épidémiques","Décès de diarrhée sanguinolente","Nombre","2020","1"
"Evolution des cas et des décès des maladies épidémiques","Décès de diarrhée sanguinolente","Nombre","2021","0"
"Evolution des cas et des décès des maladies épidémiques","Décès de diarrhée sanguinolente","Nombre","2022","0"
"Evolution des cas et des décès des maladies épidémiques","Décès de diarrhée sanguinolente","Nombre","2023","1"
"Evolution des cas et des décès des maladies épidémiques","Décès de diarrhée sanguinolente","Nombre","2024","1"
"Evolution des cas et des décès des maladies épidémiques","Cas d'ictère fébrile","Nombre","2014","1040"
"Evolution des cas et des décès des maladies épidémiques","Cas d'ictère fébrile","Nombre","2015","726"
"Evolution des cas et des décès des maladies épidémiques","Cas d'ictère fébrile","Nombre","2016","912"
"Evolution des cas et des décès des maladies épidémiques","Cas d'ictère fébrile","Nombre","2017","1222"
"Evolution des cas et des décès des maladies épidémiques","Cas d'ictère fébrile","Nombre","2018","1096"
"Evolution des cas et des décès des maladies épidémiques","Cas d'ictère fébrile","Nombre","2019","318"
"Evolution des cas et des décès des maladies épidémiques","Cas d'ictère fébrile","Nombre","2020","1224"
"Evolution des cas et des décès des maladies épidémiques","Cas d'ictère fébrile","Nombre","2021","1006"
"Evolution des cas et des décès des maladies épidémiques","Cas d'ictère fébrile","Nombre","2022","897"
"Evolution des cas et des décès des maladies épidémiques","Cas d'ictère fébrile","Nombre","2023","851"
"Evolution des cas et des décès des maladies épidémiques","Cas d'ictère fébrile","Nombre","2024","1602"
"Evolution des cas et des décès des maladies épidémiques","Décès d'ictère fébrile","Nombre","2014","33"
"Evolution des cas et des décès des maladies épidémiques","Décès d'ictère fébrile","Nombre","2015","26"
"Evolution des cas et des décès des maladies épidémiques","Décès d'ictère fébrile","Nombre","2016","14"
"Evolution des cas et des décès des maladies épidémiques","Décès d'ictère fébrile","Nombre","2017","23"
"Evolution des cas et des décès des maladies épidémiques","Décès d'ictère fébrile","Nombre","2018","24"
"Evolution des cas et des décès des maladies épidémiques","Décès d'ictère fébrile","Nombre","2019","8"
"Evolution des cas et des décès des maladies épidémiques","Décès d'ictère fébrile","Nombre","2020","20"
"Evolution des cas et des décès des maladies épidémiques","Décès d'ictère fébrile","Nombre","2021","16"
"Evolution des cas et des décès des maladies épidémiques","Décès d'ictère fébrile","Nombre","2022","4"
"Evolution des cas et des décès des maladies épidémiques","Décès d'ictère fébrile","Nombre","2023","12"
"Evolution des cas et des décès des maladies épidémiques","Décès d'ictère fébrile","Nombre","2024","8"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2014","321"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2015","267"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2016","274"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2017","309"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2018","344"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2019","261"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2020","1177"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2021","1290"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2022","1279"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2023","1136"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2024","1314"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2014","2"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2015","0"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2016","2"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2017","1"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2018","1"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2019","0"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2020","90"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2021","1"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2022","0"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2023","0"
"Evolution des cas et des décès des maladies épidémiques","PFA","Nombre","2024","2"
"Evolution des cas et des décès des maladies épidémiques","Cas de rougeole","Nombre","2014","2384"
"Evolution des cas et des décès des maladies épidémiques","Cas de rougeole","Nombre","2015","251"
"Evolution des cas et des décès des maladies épidémiques","Cas de rougeole","Nombre","2016","417"
"Evolution des cas et des décès des maladies épidémiques","Cas de rougeole","Nombre","2017","169"
"Evolution des cas et des décès des maladies épidémiques","Cas de rougeole","Nombre","2018","4488"
"Evolution des cas et des décès des maladies épidémiques","Cas de rougeole","Nombre","2019","1148"
"Evolution des cas et des décès des maladies épidémiques","Cas de rougeole","Nombre","2020","2556"
"Evolution des cas et des décès des maladies épidémiques","Cas de rougeole","Nombre","2021","3393"
"Evolution des cas et des décès des maladies épidémiques","Cas de rougeole","Nombre","2022","3735"
"Evolution des cas et des décès des maladies épidémiques","Cas de rougeole","Nombre","2023","2428"
"Evolution des cas et des décès des maladies épidémiques","Cas de rougeole","Nombre","2024","10776"
"Evolution des cas et des décès des maladies épidémiques","Décès de rougeole","Nombre","2014","8"
"Evolution des cas et des décès des maladies épidémiques","Décès de rougeole","Nombre","2015","1"
"Evolution des cas et des décès des maladies épidémiques","Décès de rougeole","Nombre","2016","2"
"Evolution des cas et des décès des maladies épidémiques","Décès de rougeole","Nombre","2017","0"
