"indicateur","region","Unit","Date","Value"
"Effectif des réfugiés au Burkina Faso par région administrative","EST","Nombre","2024","733"
"Effectif des réfugiés au Burkina Faso par région administrative","EST","Nombre","2025","733"
"Effectif des réfugiés au Burkina Faso par région administrative","CASCADES","Nombre","2019","1"
"Effectif des réfugiés au Burkina Faso par région administrative","CASCADES","Nombre","2020","0"
"Effectif des réfugiés au Burkina Faso par région administrative","CASCADES","Nombre","2021","1"
"Effectif des réfugiés au Burkina Faso par région administrative","CASCADES","Nombre","2022","0"
"Effectif des réfugiés au Burkina Faso par région administrative","CASCADES","Nombre","2023","54"
"Effectif des réfugiés au Burkina Faso par région administrative","CASCADES","Nombre","2024","54"
"Effectif des réfugiés au Burkina Faso par région administrative","CASCADES","Nombre","2025","54"
"Effectif des réfugiés au Burkina Faso par région administrative","SUD OUEST","Nombre","2019","0"
"Effectif des réfugiés au Burkina Faso par région administrative","SUD OUEST","Nombre","2020","0"
"Effectif des réfugiés au Burkina Faso par région administrative","SUD OUEST","Nombre","2021","0"
"Effectif des réfugiés au Burkina Faso par région administrative","SUD OUEST","Nombre","2022","0"
"Effectif des réfugiés au Burkina Faso par région administrative","SUD OUEST","Nombre","2023","210"
"Effectif des réfugiés au Burkina Faso par région administrative","SUD OUEST","Nombre","2024","211"
"Effectif des réfugiés au Burkina Faso par région administrative","SUD OUEST","Nombre","2025","398"
"Effectif des réfugiés au Burkina Faso par région administrative","PLATEAU CENTRAL","Nombre","2019","0"
"Effectif des réfugiés au Burkina Faso par région administrative","PLATEAU CENTRAL","Nombre","2020","0"
"Effectif des réfugiés au Burkina Faso par région administrative","PLATEAU CENTRAL","Nombre","2021","0"
"Effectif des réfugiés au Burkina Faso par région administrative","PLATEAU CENTRAL","Nombre","2022","5"
"Effectif des réfugiés au Burkina Faso par région administrative","PLATEAU CENTRAL","Nombre","2023","7"
"Effectif des réfugiés au Burkina Faso par région administrative","PLATEAU CENTRAL","Nombre","2024","7"
"Effectif des réfugiés au Burkina Faso par région administrative","PLATEAU CENTRAL","Nombre","2025","7"
